#  julian_day      temp_K          RH              Pres            rad             UVB             O3              so2             co              no              no2             nh3             pm25            hono            air             acetaldehyde    toluene         xyluene         OPEN            ch3oh           c2h5oh          c2h6            hcho            methylglyoxal   isoprene        monoterpene     sesquiterpene   h2so4           Julian day      cs_sa_dry       cs_sa_wet       cs_hno3_dry     cs_hno3_wet
   3.5000000e+01   2.7215000e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   1.9919961e+09   1.8833987e+11   2.9746443e+13   2.4155296e+11   1.0747395e+12   1.0181811e+11   7.3267300e+01   4.3205028e+09   2.7045909e+19   1.4879685e+11   1.4876170e+11   1.1325664e+11   5.3888974e+09   5.9202413e+09   5.0977482e+07   7.4601813e+15   7.5625771e+10   8.2549253e+09   7.2478896e+10   2.5405980e+10   5.1082541e+10   3.5078814e+04   3.5000000e+01   2.6156208e-02   2.7786321e-02   2.6156208e-04   2.7786321e-04
   3.5006944e+01   2.7211667e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   4.8577977e+10   1.7676509e+11   2.7843626e+13   2.0133688e+11   1.0080416e+12   9.2584844e+10   7.0202800e+01   3.8649385e+09   2.7049222e+19   1.4330741e+11   1.3951006e+11   1.0526209e+11   5.1578494e+09   5.8753796e+09   4.9206818e+07   7.4574795e+15   7.2591411e+10   8.0770735e+09   7.1917745e+10   2.5114738e+10   5.1167974e+10   4.8972346e+04   3.5006944e+01   2.6153437e-02   2.7783324e-02   2.6153437e-04   2.7783324e-04
   3.5013889e+01   2.7208333e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   9.5175373e+10   1.6518747e+11   2.5940343e+13   1.6111094e+11   9.4132725e+11   8.3349314e+10   6.7138300e+01   3.4092625e+09   2.7052536e+19   1.3781662e+11   1.3025616e+11   9.7265589e+10   4.9267447e+09   5.8305068e+09   4.7435720e+07   7.4547771e+15   6.9556308e+10   7.8991782e+09   7.1356594e+10   2.4823495e+10   5.1253407e+10   6.2869282e+04   3.5013889e+01   2.5640958e-02   2.7248170e-02   2.5640958e-04   2.7248170e-04
   3.5020833e+01   2.7205000e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   1.4178419e+11   1.5360702e+11   2.4036593e+13   1.2087515e+11   8.7459660e+11   7.4111521e+10   6.4073800e+01   2.9534748e+09   2.7055851e+19   1.3232448e+11   1.2099999e+11   8.9267126e+10   4.6955834e+09   5.7856231e+09   4.5664188e+07   7.4520741e+15   6.6520461e+10   7.7212392e+09   7.0795443e+10   2.4532253e+10   5.1338840e+10   7.6769623e+04   3.5020833e+01   2.3339431e-02   2.4810939e-02   2.3339431e-04   2.4810939e-04
   3.5027778e+01   2.7201667e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   1.8840443e+11   1.4202373e+11   2.2132377e+13   8.0629490e+10   8.0784960e+11   6.4871464e+10   6.1009300e+01   2.4975755e+09   2.7059166e+19   1.2683100e+11   1.1174155e+11   8.1266703e+10   4.4643655e+09   5.7407283e+09   4.3892222e+07   7.4493704e+15   6.3483870e+10   7.5432567e+09   7.0456221e+10   2.5310093e+10   5.1047233e+10   9.0673371e+04   3.5027778e+01   2.2041174e-02   2.3433857e-02   2.2041174e-04   2.3433857e-04
   3.5034722e+01   2.7198333e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   2.3503609e+11   1.3043760e+11   2.0227695e+13   4.0373969e+10   7.4108623e+11   5.5629142e+10   5.7944800e+01   2.0415643e+09   2.7062482e+19   1.2133617e+11   1.0248084e+11   7.3264319e+10   4.2330909e+09   5.6958226e+09   4.2119822e+07   7.4466660e+15   6.0446535e+10   7.3652305e+09   7.0116999e+10   2.6087934e+10   5.0755626e+10   1.0458053e+05   3.5034722e+01   2.1894616e-02   2.3274864e-02   2.1894616e-04   2.3274864e-04
   3.5041667e+01   2.7195000e+02   4.4000000e+01   1.0162000e+03   1.0000000e-02   1.0000000e-02   2.8167919e+11   1.1884863e+11   1.8322545e+13   1.0857960e+08   6.7430650e+11   4.6384555e+10   5.4880300e+01   1.5854414e+09   2.7065799e+19   1.1584000e+11   9.3217861e+10   6.5259973e+10   4.0017596e+09   5.6509059e+09   4.0346987e+07   7.4439609e+15   5.7408455e+10   7.1871606e+09   6.9777777e+10   2.6865775e+10   5.0464020e+10   1.1849109e+05   3.5041667e+01   1.9292961e-02   2.0531844e-02   1.9292961e-04   2.0531844e-04
   3.5048611e+01   2.7191667e+02   4.4000000e+01   1.0162833e+03   1.0000000e-02   1.0000000e-02   3.4678563e+11   1.1040585e+11   1.6906709e+13   9.0576669e+07   6.1083630e+11   4.2344268e+10   5.1850400e+01   1.3996310e+09   2.7071337e+19   1.0622129e+11   8.5821598e+10   5.9799817e+10   3.6428856e+09   5.4025816e+09   3.8088225e+07   7.4403630e+15   5.3825443e+10   6.6407704e+09   6.8219217e+10   2.6868326e+10   4.8587654e+10   2.5102597e+05   3.5048611e+01   1.7120092e-02   1.8222642e-02   1.7120092e-04   1.8222642e-04
   3.5055556e+01   2.7188333e+02   4.4000000e+01   1.0163667e+03   1.0000000e-02   1.0000000e-02   4.1191871e+11   1.0195960e+11   1.5490293e+13   7.2566370e+07   5.4734010e+11   3.8302326e+10   4.8820500e+01   1.2137444e+09   2.7076876e+19   9.6598651e+10   7.8422305e+10   5.4337424e+10   3.2838646e+09   5.1541556e+09   3.5828538e+07   7.4367633e+15   5.0240963e+10   6.0941564e+09   6.6660656e+10   2.6870876e+10   4.6711288e+10   3.8361507e+05   3.5055556e+01   1.6906145e-02   1.8003222e-02   1.6906145e-04   1.8003222e-04
   3.5062500e+01   2.7185000e+02   4.4000000e+01   1.0164500e+03   1.0000000e-02   1.0000000e-02   4.7707843e+11   9.3509897e+10   1.4073297e+13   5.4548698e+07   4.8381789e+11   3.4258729e+10   4.5790600e+01   1.0277818e+09   2.7082417e+19   8.6972066e+10   7.1019981e+10   4.8872794e+10   2.9246965e+09   4.9056277e+09   3.3567924e+07   7.4331619e+15   4.6655014e+10   5.5473185e+09   6.5102096e+10   2.6873426e+10   4.4834923e+10   5.1625843e+05   3.5062500e+01   1.6230513e-02   1.7285859e-02   1.6230513e-04   1.7285859e-04
