#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
9.30000000000000000000e+01  -2.49000000000000021316e+00  9.73070000000000050022e+02  9.64399999999999977263e+01  1.55051399999999994783e+00  5.85974140625000000000e+04  1.18984757812500000000e+05  3.95138427125256352923e+00  6.25632500000000008056e-03  1.84348000000000013188e+02  5.83999999999999963585e-01  5.00000000000000027756e-02  5.10300000000000011369e+01  1.79999999999999993339e-01
9.30069444444444428655e+01  -2.64000000000000012434e+00  9.73150070343724109989e+02  9.65099680255799654560e+01  1.38233890793697966615e+00  6.04698398402619059198e+04  1.18484023438432806870e+05  4.14745914345783095456e+00  5.99268247354504349916e-03  1.83916666665976720196e+02  5.67333066662400575808e-01  5.00000000000000027756e-02  5.11273333334890267565e+01  2.09999744002026783596e-01
9.30138888888888857309e+01  -2.75999840127884432661e+00  9.73309984012788390828e+02  9.62099999999999937472e+01  1.00533413651168035408e+00  6.23422656180238191155e+04  1.17983289064365613740e+05  3.75116005222654047557e+00  5.72903994709008691777e-03  1.83485333331953427205e+02  5.50666133324801188031e-01  5.00000000000000027756e-02  5.12246666669780523762e+01  1.40000127999805157319e-01
9.30208333333333285964e+01  -2.86999520383694273207e+00  9.73330014388489189514e+02  9.60999856115108173071e+01  1.53858890476498366695e+00  6.42146913957857323112e+04  1.17482554690298406058e+05  5.20881491696261278435e+00  5.46539742063513033637e-03  1.83053999994017601693e+02  5.33998528047106235661e-01  5.00000000000000027756e-02  5.13220000005950467425e+01  2.59999856001447038345e-01
9.30277777777777714618e+01  -2.91999999999999992895e+00  9.73609952038368419380e+02  9.60699872102315737266e+01  8.12717520638786550258e-01  6.37561393237712036353e+04  1.13379244799313411932e+05  5.47340797609189699813e+00  5.51845624338617897486e-03  1.81807333331340061022e+02  5.03332842682389647315e-01  5.00000000000000027756e-02  5.14460000001982677986e+01  2.00000319997466508015e-01
9.30347222222222285382e+01  -2.99000639488421304790e+00  9.73610035171863160031e+02  9.58800063948842051786e+01  1.78570758730008161130e+00  6.32975872387287963647e+04  1.09275934888186588068e+05  2.47917592814022036407e+00  5.57930280423284824520e-03  1.80560666668659933976e+02  4.72667157317610331368e-01  5.00000000000000027756e-02  5.15699999998017375447e+01  2.59999936000506692846e-01
9.30416666666666714036e+01  -3.12999520383694251890e+00  9.73699971223021748301e+02  9.57800191846522324113e+01  1.44946553333446215284e+00  6.28390351854160107905e+04  1.05172624981653687428e+05  2.44956604453268900201e+00  5.64014936507939261545e-03  1.79314000005982393304e+02  4.42001471952893798534e-01  5.00000000000000027756e-02  5.16939999994049586007e+01  2.20000000000000001110e-01
9.30486111111111142691e+01  -3.24999840127884453977e+00  9.73780004796163439096e+02  9.52700015987211514812e+01  1.11812721746017484925e+00  6.80578593944440071937e+04  1.01889825508602458285e+05  2.00000000000000000000e+00  5.71610294444447643303e-03  1.80222666663759696348e+02  4.24667221342206746559e-01  5.00000000000000027756e-02  5.15580000004350864629e+01  2.19999840000243584992e-01
9.30555555555555571345e+01  -3.34998721023198298141e+00  9.73899961630695884196e+02  9.50600191846520345962e+01  1.02031713650769551016e+00  7.32766836034720035968e+04  9.86070260355512291426e+04  3.12046169584845412004e+00  5.79281822222225181024e-03  1.81131333331879858406e+02  4.07333610671103407697e-01  5.00000000000000027756e-02  5.14220000002175439135e+01  4.40000063999493318256e-01
9.30625000000000000000e+01  -3.43000000000000015987e+00  9.73960000000000036380e+02  9.50900000000000034106e+01  5.89469000000000020734e-01  7.84955078125000000000e+04  9.53242265625000000000e+04  2.67986919477908980269e+00  5.86790238095239932714e-03  1.82039999999999992042e+02  3.90000000000000013323e-01  5.00000000000000027756e-02  5.12860000000000013642e+01  2.80000000000000026645e-01
9.30694444444444428655e+01  -3.54001278976801714293e+00  9.73920031974419998733e+02  9.49500255795360317279e+01  1.53565969206426777838e+00  7.33343242283646250144e+04  1.16449218710646833642e+05  7.17483959615146904554e+00  5.92196322751323191852e-03  1.82456000000665426342e+02  7.20671957417971964510e-01  5.00000000000000027756e-02  5.09559999994721408711e+01  2.59999488004053591617e-01
9.30763888888888857309e+01  -3.62999840127884443319e+00  9.74160004796163434548e+02  9.48700000000000045475e+01  2.15718049840545456064e+00  6.81731406442292500287e+04  1.37574210858793667285e+05  4.90819975960666443626e+00  5.97602407407406364254e-03  1.82872000001330860641e+02  1.05134391483594402672e+00  5.00000000000000027756e-02  5.06259999989442803781e+01  3.69999920000121773622e-01
9.30833333333333285964e+01  -3.73000959232611473126e+00  9.74240052757793591809e+02  9.46699808153477704309e+01  -1.52743380953663854260e-01  6.30119570600938823191e+04  1.58699203006940486375e+05  3.40644797152106404425e+00  6.02541555555557474533e-03  1.83287999998624371756e+02  1.38199040030721431727e+00  5.00000000000000027756e-02  5.02960000014364183585e+01  5.39999712002894094454e-01
9.30902777777777714618e+01  -3.84999040767368061466e+00  9.74489974420463113347e+02  9.40000095923263216946e+01  7.71553488889784144789e-01  6.31243111977072912850e+04  1.57571885418767487863e+05  2.59991038802631813098e+00  5.98219796296299392846e-03  1.83001333332874992266e+02  1.18199680010254115636e+00  5.00000000000000027756e-02  5.05953333338119364271e+01  3.70000703994426305421e-01
9.30972222222222285382e+01  -3.93000319744210679929e+00  9.74589977617905333318e+02  9.35399968025578942843e+01  -1.98785955546236625668e-01  6.32366653647927087150e+04  1.56444567706232512137e+05  3.74947105597355978546e+00  5.93898037037032464069e-03  1.82714666667125015920e+02  9.82003199897458767254e-01  5.00000000000000027756e-02  5.08946666661880655624e+01  6.09999488004053569412e-01
9.31041666666666714036e+01  -3.96001918465222946253e+00  9.74580000000000040927e+02  9.38900000000000005684e+01  8.00074976188346553840e-01  6.33490195504282673937e+04  1.55317249943274917314e+05  2.79533681425206204096e+00  5.89731055555557225761e-03  1.82428000001375636430e+02  7.82009599692785606351e-01  5.00000000000000027756e-02  5.11939999985635836310e+01  4.49999616003858737834e-01
9.31111111111111142691e+01  -3.93999680255768902626e+00  9.74689998401278899109e+02  9.42399984012788394239e+01  1.14612888730250306324e+00  6.67806849086188449292e+04  1.45167137983016611543e+05  3.05898988698582252610e+00  5.91858370370371492108e-03  1.81641333335849992636e+02  7.29335018693628156505e-01  5.00000000000000027756e-02  5.12766666664022068289e+01  4.49999904000146166982e-01
9.31180555555555571345e+01  -3.98000639488400853594e+00  9.74650044764188010049e+02  9.41500319744200453442e+01  1.26554640952474772853e+00  7.02123502668094151886e+04  1.35017026022758305771e+05  3.15202570405303328371e+00  5.93985685185185758456e-03  1.80854666667925016554e+02  6.76667509346814077809e-01  5.00000000000000027756e-02  5.13593333332010999470e+01  6.10000255997973139799e-01
9.31250000000000000000e+01  -4.04999999999999982236e+00  9.74830000000000040927e+02  9.32000000000000028422e+01  7.13613000000000052836e-01  7.36440156250000000000e+04  1.24866914062500000000e+05  4.81425619172052865480e+00  5.96113000000000024803e-03  1.80068000000000012051e+02  6.23999999999999999112e-01  5.39999999999999993894e-02  5.14420000000000001705e+01  5.20000000000000017764e-01
9.31319444444444428655e+01  -4.11001918465202553676e+00  9.74870076738608076994e+02  9.33500191846520266381e+01  8.68728650793262890950e-01  7.81675156165732914815e+04  1.32557161444007389946e+05  2.95760515664695855520e+00  5.90539587301588779489e-03  1.80788666667819427403e+02  6.18666581331968168378e-01  5.00000000000000027756e-02  5.12846666664149992698e+01  5.19999232006080447377e-01
9.31388888888888857309e+01  -4.20999680255768904402e+00  9.75029998401278817255e+02  9.39699968025576879427e+01  1.53489906825018374015e+00  8.26910156081465975149e+04  1.40247408825514779892e+05  2.00000000000000000000e+00  5.84966174603177620911e-03  1.81509333335638842755e+02  6.13333162663936337644e-01  5.00000000000000027756e-02  5.11273333328299983691e+01  5.20000031999951262129e-01
9.31458333333333285964e+01  -4.24000959232611496219e+00  9.75039990407673826667e+02  9.41400000000000005684e+01  8.95262609524527963600e-01  8.72145155997198889963e+04  1.47937656207022140734e+05  2.00000000000000000000e+00  5.79392761904766375597e-03  1.82229999991672599435e+02  6.08000831973374733508e-01  5.00000000000000027756e-02  5.09699999991202332694e+01  6.00000479995176583259e-01
9.31527777777777714618e+01  -4.34999999999999964473e+00  9.75129974420463099705e+02  9.39400095923263194209e+01  2.81052946030565908853e-01  8.38742968812246836023e+04  1.56587197900547762401e+05  2.85668097220035033246e+00  5.77959280423281842459e-03  1.80494666663892047609e+02  6.25333610657779814801e-01  5.00000000000000027756e-02  5.07866666663735344400e+01  5.29999968000253396383e-01
9.31597222222222285382e+01  -4.47999680255789378691e+00  9.75110051159073691451e+02  9.42100191846526371364e+01  2.14598022220431700058e-01  8.05340781187753163977e+04  1.65236739599452237599e+05  2.75806815515426606567e+00  5.76627600529099580695e-03  1.78759333336107943069e+02  6.42666389342220201186e-01  6.39999952000318284018e-02  5.06033333336264661284e+01  5.79999840001266697698e-01
9.31666666666666714036e+01  -4.54999999999999982236e+00  9.75270014388489130397e+02  9.43700191846522358219e+01  5.58259523812653979391e-01  7.71938593575794802746e+04  1.73886281140980543569e+05  2.74133839974195181455e+00  5.75295920634920007752e-03  1.77024000008327391242e+02  6.59999168026625282479e-01  9.39999856000340999751e-02  5.04200000008797672990e+01  5.09999424005788126735e-01
9.31736111111111142691e+01  -4.62000159872115556681e+00  9.75360019184653879165e+02  9.44599920063942164461e+01  7.75939811112637101154e-01  7.40767161342196486657e+04  1.54378872323153715115e+05  3.46273578206124721390e+00  5.67196351851850279202e-03  1.79534666658634677106e+02  6.10668245358588435145e-01  5.20000134399746169467e-02  5.05273333329899614341e+01  3.39999952000073102365e-01
9.31805555555555571345e+01  -4.68000639488400782540e+00  9.75500108713028112106e+02  9.44599999999999937472e+01  9.86362907936979671497e-01  7.09595729108598316088e+04  1.34871463505326857558e+05  4.40470288267882992272e+00  5.58755544973545559967e-03  1.82045333329317344351e+02  5.61334122679294278413e-01  5.00000000000000027756e-02  5.06346666664949793812e+01  3.60000447996453087907e-01
9.31875000000000000000e+01  -4.78000000000000024869e+00  9.75720000000000027285e+02  9.46099999999999994316e+01  1.13313400000000008561e+00  6.78424296875000000000e+04  1.15364054687500000000e+05  2.37980693219125516435e+00  5.50314738095240927468e-03  1.84556000000000011596e+02  5.12000000000000010658e-01  5.00000000000000027756e-02  5.07419999999999973284e+01  3.80000000000000004441e-01
9.31944444444444428655e+01  -4.80002557953603403718e+00  9.75740070343724141821e+02  9.45900000000000034106e+01  1.40900876508028227718e+00  6.64790182317065336974e+04  1.19246640617767232470e+05  3.01557519523217631985e+00  5.43505833333335873492e-03  1.84071999999225823785e+02  4.98666453329920489335e-01  5.00000000000000027756e-02  5.06953333332586808524e+01  3.60000255997973195310e-01
9.32013888888888857309e+01  -4.89000159872115514048e+00  9.75760015987211545507e+02  9.48600015987211548918e+01  7.00886514286406137053e-01  6.51156067759130601189e+04  1.23129226548034479492e+05  2.57947043656552521540e+00  5.36823541666669491745e-03  1.83587999998451635975e+02  4.85332906659840968011e-01  5.00000000000000027756e-02  5.06486666665173714819e+01  4.69999792000316607421e-01
9.32083333333333285964e+01  -4.95000959232611492666e+00  9.75870000000000004547e+02  9.49899952038369406182e+01  9.59933857147809099786e-01  6.37521953201195865404e+04  1.27011812478301711963e+05  4.21089414042215359757e+00  5.30295031746033391357e-03  1.83103999995364461029e+02  4.72001503951869738618e-01  7.99999884800272897944e-02  5.06020000002559271479e+01  3.40000335996623603840e-01
9.32152777777777714618e+01  -4.98999680255789357375e+00  9.76070006394884217116e+02  9.49199968025578897368e+01  1.23269337142234514104e+00  6.50410442684314912185e+04  1.07148968787015503040e+05  2.00000000000000000000e+00  5.26816526455028966147e-03  1.82137999998455484274e+02  5.03333834650601885663e-01  5.59999961600254683725e-02  5.06553333334186035586e+01  3.29999392004813651980e-01
9.32222222222222285382e+01  -5.05999999999999960920e+00  9.76289968025578900779e+02  9.49900031974421068526e+01  1.68900806983748541512e+00  6.63298932315685087815e+04  8.72861249629844969604e+04  2.47266851859041869588e+00  5.23338021164017428571e-03  1.81172000001544518000e+02  5.34666165349398037065e-01  5.00000000000000027756e-02  5.07086666665813936561e+01  2.60000223998226531741e-01
9.32291666666666714036e+01  -5.06999520383694246561e+00  9.76439942446043346536e+02  9.49000095923261142161e+01  1.82555620475921065449e+00  6.76187422262810578104e+04  6.74232813635267521022e+04  2.28680379322709859125e+00  5.19995753968255716715e-03  1.80206000004635541245e+02  5.65998496048130239622e-01  5.00000000000000027756e-02  5.07619999997440700668e+01  2.59999856001447038345e-01
9.32361111111111142691e+01  -5.07999680255768915060e+00  9.76529988808951884494e+02  9.50299952038365347562e+01  2.86771536984635666556e+00  7.45580364841873815749e+04  8.77372058048511680681e+04  6.30576608096602164721e+00  5.22193835978837072459e-03  1.83127333323987556923e+02  5.99998911982594473891e-01  5.00000000000000027756e-02  5.08419999997440683615e+01  1.20000143999780775617e-01
9.32430555555555571345e+01  -5.04999999999999982236e+00  9.76639955235811953571e+02  9.50499999999999971578e+01  4.03874460634879195453e+00  8.14973307420936907874e+04  1.08051130246175598586e+05  2.27752640236791314976e+00  5.24391917989418514939e-03  1.86048666661993763682e+02  6.33999455991297256041e-01  5.00000000000000027756e-02  5.09219999998720354029e+01  2.40000511995946408383e-01
9.32500000000000000000e+01  -5.00000000000000000000e+00  9.76740000000000009095e+02  9.51299999999999954525e+01  5.38612999999999964018e+00  8.84366250000000000000e+04  1.28365054687500000000e+05  2.68752185774811236385e+00  5.26589999999999957420e-03  1.88969999999999998863e+02  6.68000000000000038192e-01  5.00000000000000027756e-02  5.10020000000000024443e+01  2.39999999999999991118e-01
9.32569444444444428655e+01  -4.97998721023198331892e+00  9.77019910471623916237e+02  9.51800063948840175954e+01  1.24229546984062544368e+01  9.81593202943878568476e+04  1.24081770841312551056e+05  3.52192782183109454053e+00  5.27673994708994370528e-03  1.85737333328162435464e+02  6.80666869336575608429e-01  5.00000000000000027756e-02  5.10586666667573112477e+01  3.79998784009627332825e-01
9.32638888888888857309e+01  -4.94000159872115585102e+00  9.77079976019182709024e+02  9.50200031974423069414e+01  2.36194010634854230091e+01  1.07882015588775713695e+05  1.19798486995125087560e+05  2.00000000000000000000e+00  5.28757989417988870373e-03  1.82504666656324872065e+02  6.93333738673151067644e-01  5.00000000000000027756e-02  5.11153333335146200511e+01  1.70000159999756428331e-01
9.32708333333333285964e+01  -4.78000959232611499772e+00  9.77139976019184700817e+02  9.47000047961630571081e+01  3.20918992856515785661e+01  1.17604710883163570543e+05  1.15515203148937638616e+05  3.05799506469849147194e+00  5.29841984126983283482e-03  1.79272000013119708228e+02  7.05995552142342663871e-01  5.00000000000000027756e-02  5.11720000011676887652e+01  2.60000287997105949955e-01
9.32777777777777714618e+01  -4.70999999999999996447e+00  9.77259955235810480190e+02  9.46399968025578885999e+01  4.37676944763092663493e+01  1.20431559890565345995e+05  1.24423218733399422490e+05  2.00000000000000000000e+00  5.25566693121697764424e-03  1.82006000004371372825e+02  6.13331850714177395645e-01  5.00000000000000027756e-02  5.14153333337223941157e+01  1.70000447996453113442e-01
9.32847222222222285382e+01  -4.54000319744210667494e+00  9.77379968025578932611e+02  9.44800000000000039790e+01  6.49988187620566293390e+01  1.23258408859434654005e+05  1.33331234391600562958e+05  4.40272692189398995311e+00  5.21159616402113237688e-03  1.84739999995628608076e+02  5.20668149285822501326e-01  5.79999955200297123703e-02  5.16586666662776039516e+01  2.69999680002533493095e-01
9.32916666666666714036e+01  -4.44999040767388542861e+00  9.77459976019184750839e+02  9.44599999999999937472e+01  5.94152236191392688625e+01  1.26085258151786300004e+05  1.42239250351818656782e+05  2.00000000000000000000e+00  5.16752539682537644777e-03  1.87473999986880272672e+02  4.28004447857657344123e-01  8.59999865600318408321e-02  5.19019999988323093021e+01  3.79999280007235151757e-01
