#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
1.18000000000000000000e+02  3.87000000000000010658e+00  9.88090000000000031832e+02  7.89200000000000017053e+01  5.87328999999999989967e-01  1.09119445312500000000e+05  7.70776484375000000000e+04  2.08846648421798652961e+00  2.98832500000000000906e-03  1.45873999999999995225e+02  1.79999999999999993339e-01  5.00000000000000027756e-02  4.03260000000000005116e+01  1.00000000000000005551e-01
1.18006944444444442865e+02  4.36000000000000031974e+00  9.88179968025579910318e+02  7.55000191846520323224e+01  -6.33559999999999956533e-02  1.37013572864703455707e+05  5.78392890983386096195e+04  2.07187589705267560802e+00  2.78857466931222222617e-03  1.42439999994507047631e+02  1.68666485330432408540e-01  5.00000000000000027756e-02  4.09106666676018875251e+01  5.00000000000000027756e-02
1.18013888888888885731e+02  4.84999680255768872428e+00  9.88169982414067249010e+02  7.05100703437308453658e+01  5.97952857142389104794e-01  1.64907700416906911414e+05  3.86009297591772192391e+04  2.21395884257664166128e+00  2.58882433862444444328e-03  1.39005999989014128460e+02  1.57332970660864823742e-01  5.00000000000000027756e-02  4.14953333352037674331e+01  5.00000000000000027756e-02
1.18020833333333328596e+02  5.30000959232611457139e+00  9.88139932853717141370e+02  6.72192805755413900215e+01  1.15626010952486169003e+00  1.92801827969110396225e+05  1.93625704200158361346e+04  2.09807079321619527335e+00  2.38907400793666666039e-03  1.35572000008234596180e+02  1.46001759943677339448e-01  5.00000000000000027756e-02  4.20799999757824494395e+01  5.00000000000000027756e-02
1.18027777777777771462e+02  5.26995843325261503765e+00  9.88069964828136903634e+02  6.79800287769789690628e+01  1.12186801586963835753e+00  1.56981992254252225393e+05  2.97164322723716795736e+04  3.40471207140906662048e+00  2.39044132275131621795e-03  1.37288000002743700634e+02  1.82667253314534094866e-01  5.00000000000000027756e-02  3.70333333252642589173e+01  5.00000000000000027756e-02
1.18034722222222228538e+02  5.49004796163159713984e+00  9.87950057553958004064e+02  5.79596674660209245644e+01  1.80555869840700128348e-01  1.21162156183247774607e+05  4.00702942901283240644e+04  8.66532834433379051120e+00  2.39675415343915815258e-03  1.39003999997256300958e+02  2.19332746685465873604e-01  5.00000000000000027756e-02  3.19866666747357406564e+01  1.59999072007347170610e-01
1.18041666666666671404e+02  6.34001918465222935595e+00  9.88129956834532436005e+02  5.94296019184662398516e+01  6.58074119047336814070e-01  8.53423202678258530796e+04  5.04241562324330079718e+04  7.28381948160352177268e+00  2.40306698412698707679e-03  1.40719999991765405412e+02  2.55998240056322656777e-01  5.00000000000000027756e-02  2.69400000242175465814e+01  5.00000000000000027756e-02
1.18048611111111114269e+02  2.71998081534613467269e+00  9.88239974420461521731e+02  8.38903836930773110225e+01  -2.08965155555921822117e-01  7.73485455431338923518e+04  4.72808046757886768319e+04  1.16015884995777600608e+01  2.67616758333345241758e-03  1.41543333330699368844e+02  3.13331498637316185896e-01  5.00000000000000027756e-02  2.79239999968520393736e+01  5.00000000000000027756e-02
1.18055555555555557135e+02  1.97005755395607629055e+00  9.88320000000000050022e+02  8.17314708233219562317e+01  -6.87819431743761922071e-01  6.93547708184419461759e+04  4.41374531191443384159e+04  7.87755088977191686439e+00  2.96271966666677728092e-03  1.42366666665349669074e+02  3.70665749318658088729e-01  5.00000000000000027756e-02  2.89079999984260176404e+01  5.00000000000000027756e-02
1.18062500000000000000e+02  2.43000000000000015987e+00  9.88440000000000054570e+02  8.09699999999999988631e+01  -1.14212299999999999933e+00  6.13609960937500000000e+04  4.09941015625000000000e+04  9.11158935239479994550e+00  3.21997333333329249783e-03  1.43189999999999997726e+02  4.27999999999999991562e-01  5.00000000000000027756e-02  2.98919999999999994600e+01  5.00000000000000027756e-02
