#          Time_in_sec([])              CONDENS_SINK([])              CON_SIN_NITR([])
0.00000000000000000000e+00    1.00250740261311364065e+03    1.00339655155697585087e+03
3.00000000000000000000e+02    1.00266734248259729156e+03    1.00324281259347401374e+03
6.00000000000000000000e+02    1.00283951651835616303e+03    1.00309410708408677237e+03
9.00000000000000000000e+02    1.00302478900949631679e+03    1.00295065191339210742e+03
1.20000000000000000000e+03    1.00322406349605762443e+03    1.00281260228016674318e+03
1.50000000000000000000e+03    1.00343827918938677612e+03    1.00268005757757828178e+03
1.80000000000000000000e+03    1.00366840601147328016e+03    1.00255306731569430667e+03
2.10000000000000000000e+03    1.00391543804165871734e+03    1.00243163696209899172e+03
2.40000000000000000000e+03    1.00418038515253556398e+03    1.00231573359924675515e+03
2.70000000000000000000e+03    1.00446426261661406443e+03    1.00220529131893897556e+03
3.00000000000000000000e+03    1.00476807847336749546e+03    1.00210021629444383962e+03
3.30000000000000000000e+03    1.00509281846457861320e+03    1.00200039148888174623e+03
3.60000000000000000000e+03    1.00543942837664087619e+03    1.00190568097436585049e+03
3.90000000000000000000e+03    1.00580879367362308585e+03    1.00181593384992856954e+03
4.20000000000000000000e+03    1.00620171636635325285e+03    1.00173098775750304412e+03
4.50000000000000000000e+03    1.00661888914194537392e+03    1.00165067200427608896e+03
4.80000000000000000000e+03    1.00706086687591732698e+03    1.00157481030675376132e+03
5.10000000000000000000e+03    1.00752803576532733132e+03    1.00150322317709321851e+03
5.40000000000000000000e+03    1.00802058045507146744e+03    1.00143572997586727524e+03
5.70000000000000000000e+03    1.00853844967822908529e+03    1.00137215065770351430e+03
6.00000000000000000000e+03    1.00908132109114728792e+03    1.00131230723736860000e+03
6.30000000000000000000e+03    1.00964856614923712641e+03    1.00125602500410423090e+03
6.60000000000000000000e+03    1.01023921603291489646e+03    1.00120313351152412906e+03
6.90000000000000000000e+03    1.01085192978586712798e+03    1.00115346736935805438e+03
7.20000000000000000000e+03    1.01148496595960955347e+03    1.00110686686190354067e+03
7.50000000000000000000e+03    1.01213615915792081523e+03    1.00106317841636757748e+03
7.80000000000000000000e+03    1.01280290293060340900e+03    1.00102225494243793946e+03
8.10000000000000000000e+03    1.01348214046692464763e+03    1.00098395606251790468e+03
8.40000000000000000000e+03    1.01417036447507678076e+03    1.00094814825014441340e+03
8.70000000000000000000e+03    1.01486362749727152277e+03    1.00091470489224059293e+03
9.00000000000000000000e+03    1.01555756369607513534e+03    1.00088350628907710416e+03
9.30000000000000000000e+03    1.01624742285571971934e+03    1.00085443960414102094e+03
9.60000000000000000000e+03    1.01692811697661579728e+03    1.00082739877456765498e+03
9.90000000000000000000e+03    1.01759427941158162412e+03    1.00080228439138238627e+03
1.02000000000000000000e+04    1.01824033601315011310e+03    1.00077900355752205996e+03
1.05000000000000000000e+04    1.01886058725245288770e+03    1.00075746973047762367e+03
1.08000000000000000000e+04    1.01944929975565162295e+03    1.00073760255538843467e+03
1.11000000000000000000e+04    1.02000080521068753114e+03    1.00071932769354486936e+03
1.14000000000000000000e+04    1.02050960415377778645e+03    1.00070257665048825402e+03
1.17000000000000000000e+04    1.02097047177967044718e+03    1.00068728660724582369e+03
1.20000000000000000000e+04    1.02137856265781385900e+03    1.00067340025767407496e+03
1.23000000000000000000e+04    1.02172951109951804938e+03    1.00066086565441764833e+03
1.26000000000000000000e+04    1.02201952392379939738e+03    1.00064963606559717846e+03
1.29000000000000000000e+04    1.02224546251917172413e+03    1.00063966984401656646e+03
1.32000000000000000000e+04    1.02240491139376456431e+03    1.00063093031042262737e+03
1.35000000000000000000e+04    1.02249623083651692923e+03    1.00062338565214497521e+03
1.38000000000000000000e+04    1.02251859185894033999e+03    1.00061700883828689257e+03
1.41000000000000000000e+04    1.02247199222373546945e+03    1.00061177755252754196e+03
1.44000000000000000000e+04    1.02235725306120423284e+03    1.00060767414451879631e+03
1.47000000000000000000e+04    1.02217599629107053261e+03    1.00060468560081994838e+03
1.50000000000000000000e+04    1.02193060376885978258e+03    1.00060280353630048467e+03
1.53000000000000000000e+04    1.02162415972652820528e+03    1.00060202420695952696e+03
1.56000000000000000000e+04    1.02126037864430509217e+03    1.00060234854514658309e+03
1.59000000000000000000e+04    1.02084352114821876967e+03    1.00060378221823498279e+03
1.62000000000000000000e+04    1.02037830085627604149e+03    1.00060633571187656798e+03
1.65000000000000000000e+04    1.01986978528482052297e+03    1.00061002443907375437e+03
1.68000000000000000000e+04    1.01932329397292812700e+03    1.00061486887642104193e+03
1.71000000000000000000e+04    1.01874429689275200417e+03    1.00062089472900652254e+03
1.74000000000000000000e+04    1.01813831600092817098e+03    1.00062813312561797829e+03
1.77000000000000000000e+04    1.01751083246985433561e+03    1.00063662084606721692e+03
1.80000000000000000000e+04    1.01686720174155118457e+03    1.00064640058262739331e+03
1.83000000000000000000e+04    1.01621257809698761321e+03    1.00065752123777986071e+03
1.86000000000000000000e+04    1.01555184995683237048e+03    1.00067003826067173122e+03
1.89000000000000000000e+04    1.01488958665101517909e+03    1.00068401402490678720e+03
1.92000000000000000000e+04    1.01422999693699932777e+03    1.00069951825052089589e+03
1.95000000000000000000e+04    1.01357689912934085896e+03    1.00071662847322045309e+03
