#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
1.12000000000000000000e+02  3.77000000000000001776e+00  9.83740000000000009095e+02  9.33400000000000034106e+01  -1.31848999999999993982e-01  9.03425781250000000000e+04  7.03777500000000000000e+04  2.00000000000000000000e+00  2.30291000000000002645e-03  1.48503999999999990678e+02  9.40000000000000002220e-02  5.00000000000000027756e-02  3.65760000000000005116e+01  5.00000000000000027756e-02
1.12006944444444442865e+02  3.65006394884008456003e+00  9.83790057553955989533e+02  9.39700063948840096373e+01  -1.33851099365099801553e+00  8.80034270876908703940e+04  6.60143385497951530851e+04  2.00000000000000000000e+00  2.20459650793653405207e-03  1.49939333335629243038e+02  9.06666133324801198912e-02  5.00000000000000027756e-02  3.64653333331563160868e+01  5.99992320060803996373e-02
1.12013888888888885731e+02  3.71999360511537835450e+00  9.83820015987211604624e+02  9.44399856115095985842e+01  -1.75442029682623101827e+00  8.56642760503817407880e+04  6.16509270995902916184e+04  2.00000000000000000000e+00  2.10628301587306807768e-03  1.51374666671258495398e+02  8.73332266649602395603e-02  5.00000000000000027756e-02  3.63546666663126245567e+01  5.00000000000000027756e-02
1.12020833333333328596e+02  3.65998561151082801857e+00  9.83910067146282813155e+02  9.52300000000000039790e+01  -1.50972360952519490951e+00  8.33251250130726257339e+04  5.72875156493854374276e+04  2.00000000000000000000e+00  2.00796952380960210330e-03  1.52809999985379903364e+02  8.40015999487976061655e-02  5.00000000000000027756e-02  3.62439999989186887319e+01  5.00000000000000027756e-02
1.12027777777777771462e+02  3.60999040767368040150e+00  9.83900022382094675777e+02  9.56499680255789428429e+01  -2.62071212380691953570e+00  6.81795586219745891867e+04  3.60157702219327256898e+04  2.00000000000000000000e+00  2.00922481481481110185e-03  1.49763333328462039162e+02  1.17333866649576457064e-01  5.00000000000000027756e-02  3.60186666663063803639e+01  5.00000000000000027756e-02
1.12034722222222228538e+02  3.42998401278946785098e+00  9.83940047961631648832e+02  9.62600127897684245681e+01  -2.42392322856959729904e+00  5.30339921592754108133e+04  1.47440246999422743102e+04  2.00000000000000000000e+00  2.01292851851852128836e-03  1.46716666671537950606e+02  1.50666133350423531168e-01  5.00000000000000027756e-02  3.57933333336936172486e+01  5.00000000000000027756e-02
1.12041666666666671404e+02  3.42998081534777066182e+00  9.83990014388489157682e+02  9.67099568345324769325e+01  -1.77987426666689763088e+00  3.78884258352076722076e+04  -6.52772068619189758465e+03  2.00000000000000000000e+00  2.01663222222222366861e-03  1.43670000014620086404e+02  1.83998400051202382066e-01  5.00000000000000027756e-02  3.55680000010813088807e+01  5.00000000000000027756e-02
1.12048611111111114269e+02  3.40999520383653376143e+00  9.84050004796163420906e+02  9.66299999999999954525e+01  -1.52093523015848619551e+00  4.75433489943051172304e+04  -3.49779377126334793502e+03  2.00000000000000000000e+00  2.04715830555556857137e-03  1.44326666664565891551e+02  1.68667157341182899488e-01  5.00000000000000027756e-02  3.53960000005502521958e+01  5.00000000000000027756e-02
1.12055555555555557135e+02  3.33003836930405094918e+00  9.84090102318144204219e+02  9.68999872102319841360e+01  -1.20376012380969155124e+00  5.71982721534025622532e+04  -4.67866856334799194883e+02  2.00000000000000000000e+00  2.07903677777778990790e-03  1.44983333332282938954e+02  1.53333578670591441639e-01  5.00000000000000027756e-02  3.52240000002751258990e+01  5.00000000000000027756e-02
1.12062500000000000000e+02  3.37999999999999989342e+00  9.84149999999999977263e+02  9.69399999999999977263e+01  -1.07149000000000005350e+00  6.68531953125000000000e+04  2.56206005859375000000e+03  2.00000000000000000000e+00  2.11373261904764311869e-03  1.45639999999999986358e+02  1.38000000000000011546e-01  5.00000000000000027756e-02  3.50519999999999996021e+01  5.00000000000000027756e-02
