#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
9.80000000000000000000e+01  6.80000000000000048850e-01  9.95860000000000013642e+02  7.19699999999999988631e+01  5.65070000000000016716e-02  3.87048085937500000000e+04  4.97306445312500000000e+04  2.00000000000000000000e+00  2.59764499999999998875e-03  1.68592000000000012960e+02  6.42000000000000015099e-01  5.00000000000000027756e-02  4.30820000000000007390e+01  5.00000000000000027756e-02
9.80069444444444428655e+01  5.69987210231982954767e-01  9.95840051159072118026e+02  7.22000703437240929361e+01  1.67271606348587814628e-01  3.41360104251777520403e+04  6.68006301765341195278e+04  2.00000000000000000000e+00  2.72371477513224172218e-03  1.68353333332951592638e+02  7.36001504024060615450e-01  5.00000000000000027756e-02  4.28926666663638158639e+01  5.00000000000000027756e-02
9.80138888888888857309e+01  5.40007993605777225632e-01  9.95650015987211531865e+02  7.23300175859327083572e+01  3.47674346032173287036e-01  2.95672122566055113566e+04  8.38706158218182536075e+04  2.00000000000000000000e+00  2.84978455026448345561e-03  1.68114666665903143894e+02  8.30003008048121215801e-01  5.00000000000000027756e-02  4.27033333327276309888e+01  5.00000000000000027756e-02
9.80208333333333285964e+01  4.30004796163057367853e-01  9.95720019184652301192e+02  7.33300479616305693753e+01  9.94800476057055259316e-03  2.49984140880332633969e+04  1.00940601467102373135e+05  2.00000000000000000000e+00  2.97585432539672518903e-03  1.67876000003458273113e+02  9.23999392019456911029e-01  5.00000000000000027756e-02  4.25139999999360185257e+01  5.00000000000000027756e-02
9.80277777777777714618e+01  4.40022382094745367898e-01  9.95520035171863128198e+02  7.38199392485999652536e+01  1.96783269814818639887e-02  2.92814570232683145150e+04  9.42290989708405832062e+04  2.00000000000000000000e+00  2.97247015873016579013e-03  1.68596666667818936958e+02  9.11333130673161018187e-01  5.00000000000000027756e-02  4.25006666666453511993e+01  5.00000000000000027756e-02
9.80347222222222285382e+01  3.09993605115787052018e-01  9.95409993605115801074e+02  7.45399776179052651059e+01  4.24746333333862302606e-01  3.35645000079816818470e+04  8.75175963416594167938e+04  2.00000000000000000000e+00  2.96590269841269385878e-03  1.69317333332181078731e+02  8.98666869326839035104e-01  5.00000000000000027756e-02  4.24873333333546483459e+01  5.00000000000000027756e-02
9.80416666666666714036e+01  2.99980815347770435331e-01  9.95329980815347767020e+02  7.47399568345324780694e+01  2.40581999999999990303e-01  3.78475429431012089481e+04  8.08060936600558197824e+04  2.00000000000000000000e+00  2.95933523809523537154e-03  1.70037999996541742576e+02  8.86000607980543142261e-01  5.00000000000000027756e-02  4.24740000000639810196e+01  7.00000000000000066613e-02
9.80486111111111142691e+01  3.20001598721155466887e-01  9.95150004796163443643e+02  7.50899776179038269674e+01  5.89615092064367019020e-01  3.32580735506091441493e+04  6.47119205129538822803e+04  2.00000000000000000000e+00  2.92220933333331737633e-03  1.69711333334378394966e+02  8.64000704011262388171e-01  5.00000000000000027756e-02  4.24006666669012659554e+01  5.00000000000000027756e-02
9.80555555555555571345e+01  3.40006394884008522617e-01  9.95030089528376038288e+02  7.50600575539560850302e+01  3.62327790476290101385e-01  2.86686041581170720747e+04  4.86177473658519447781e+04  2.00000000000000000000e+00  2.88354266666665179364e-03  1.69384666667189179634e+02  8.42000352005631169661e-01  5.00000000000000027756e-02  4.23273333334506318693e+01  5.00000000000000027756e-02
9.80625000000000000000e+01  3.40000000000000024425e-01  9.95059999999999945430e+02  7.50699999999999931788e+01  3.51030000000000022564e-02  2.40791347656250000000e+04  3.25235742187500000000e+04  2.00000000000000000000e+00  2.84385142857141066941e-03  1.69057999999999992724e+02  8.19999999999999951150e-01  5.80000000000000029421e-02  4.22539999999999977831e+01  1.49999999999999994449e-01
9.80694444444444428655e+01  3.69974420463966058303e-01  9.95099993605115969331e+02  7.52099104716238713308e+01  2.83267695238142380720e-01  2.63341393187158791989e+04  4.25828359187608803040e+04  2.03332409756165732873e+00  2.79095460317459924740e-03  1.71700666670893809851e+02  7.97332970660864837065e-01  5.00000000000000027756e-02  4.23793333335338147094e+01  5.00000000000000027756e-02
9.80763888888888857309e+01  4.29998401278844533113e-01  9.95149988808951889041e+02  7.54699568345288014370e+01  2.34123626983903154741e-01  2.85891438718067620357e+04  5.26420976187717606081e+04  2.00000000000000000000e+00  2.73805777777778782539e-03  1.74343333341787598556e+02  7.74665941321729611957e-01  5.00000000000000027756e-02  4.25046666670676245303e+01  5.00000000000000027756e-02
9.80833333333333285964e+01  4.20023980815286912538e-01  9.95209932853717191392e+02  7.54799232613910788814e+01  -4.41633476188680110242e-02  3.08441484248976412346e+04  6.27013593187826336361e+04  2.00000000000000000000e+00  2.68689349206349941540e-03  1.76986000000275112143e+02  7.52002079933436928805e-01  5.00000000000000027756e-02  4.26300000000895806807e+01  8.99996640033763894984e-02
