#Compound                    Mass               C   O   N   H   S  Cl  Br
C134CO                       270.278400000000  13   6   0  18   0   0   0
BCCOOH                       254.365100000000  15   3   0  26   0   0   0
DNMXYOLOOH                   294.172400000000   8  10   2  10   0   0   0
C823CO                       156.179100000000   8   3   0  12   0   0   0
C124OH                       214.301300000000  12   3   0  22   0   0   0
C137CO                       224.296100000000  13   3   0  20   0   0   0
MBOAOOH                      136.146400000000   5   4   0  12   0   0   0
DEMPHOLOOH                   246.257000000000  11   6   0  18   0   0   0
EBZMUCOOH                    204.177300000000   8   6   0  12   0   0   0
DMKOHOOH                     162.140600000000   6   5   0  10   0   0   0
IPBZBPR2OH                   186.205100000000   9   4   0  14   0   0   0
C42OH                        165.101500000000   4   6   1   7   0   0   0
C63NO3                       177.155200000000   6   5   1  11   0   0   0
NPETOLO2                     262.193500000000   9   8   1  12   0   0   0
NPTLQO                       200.125600000000   7   6   1   6   0   0   0
C917NO3                      215.203200000000   9   5   1  13   0   0   0
NEBNZOLOOH                   249.174800000000   8   8   1  11   0   0   0
NPETOLOH                     247.202000000000   9   7   1  13   0   0   0
C731OOH                      160.167800000000   7   4   0  12   0   0   0
NC524OOH                     213.142700000000   5   8   1  11   0   0   0
C925OOH                      220.219700000000   9   6   0  16   0   0   0
H3C2C4CO2H                   132.114600000000   5   4   0   8   0   0   0
NPETLQO2                     244.178200000000   9   7   1  10   0   0   0
PXYMUCNO3                    233.175400000000   8   7   1  11   0   0   0
C1010OOH                     200.231600000000  10   4   0  16   0   0   0
TMB2FUOOH                    176.167200000000   7   5   0  12   0   0   0
H3C25CCO3H                   190.150700000000   7   6   0  10   0   0   0
C823OOH                      174.194400000000   8   4   0  14   0   0   0
C88OOH                       172.178500000000   8   4   0  12   0   0   0
C1013CO2H                    214.258200000000  11   4   0  18   0   0   0
C7EDCOOH                     176.167200000000   7   5   0  12   0   0   0
NMXYQO2                      230.151600000000   8   7   1   8   0   0   0
C827OOH                      174.194400000000   8   4   0  14   0   0   0
NDNPBZLOOH                   353.196500000000   9  12   3  11   0   0   0
NDNPETLOOH                   353.196500000000   9  12   3  11   0   0   0
C1312O                       241.303400000000  13   4   0  21   0   0   0
OTNCATECO                    262.193500000000   9   8   1  12   0   0   0
HNC524CO                     195.127500000000   5   7   1   9   0   0   0
C139NO3                      303.308300000000  13   7   1  21   0   0   0
METLOBPROH                   184.189200000000   9   4   0  12   0   0   0
NPHENOOH                     221.121700000000   6   8   1   7   0   0   0
C57NO3                       179.128100000000   5   6   1   9   0   0   0
C1313NO3                     287.308900000000  13   6   1  21   0   0   0
BCALBCO                      250.333400000000  15   3   0  22   0   0   0
IPBZMUCOH                    202.204500000000   9   5   0  14   0   0   0
C9M2CO6OH                    184.232200000000  10   3   0  16   0   0   0
C152OOH                      302.363300000000  15   6   0  26   0   0   0
HO13C3CO3H                   136.103300000000   4   5   0   8   0   0   0
C82OOH                       176.210200000000   8   4   0  16   0   0   0
C716OOH                      174.151300000000   7   5   0  10   0   0   0
C83COOHOOH                   204.177300000000   8   6   0  12   0   0   0
C151OH                       286.363900000000  15   5   0  26   0   0   0
C151O2                       301.355400000000  15   6   0  25   0   0   0
C629OOH                      162.140600000000   6   5   0  10   0   0   0
C134O                        271.286400000000  13   6   0  19   0   0   0
C920CO3H                     216.231000000000  10   5   0  16   0   0   0
LIMCOH                       170.248700000000  10   2   0  18   0   0   0
PXYFUOOH                     148.114000000000   5   5   0   8   0   0   0
C735OOH                      174.151300000000   7   5   0  10   0   0   0
CO25C6CO2H                   158.151900000000   7   4   0  10   0   0   0
NDNT124LO                    336.189200000000   9  11   3  10   0   0   0
PETLMUCO2H                   184.189200000000   9   4   0  12   0   0   0
C88PAN                       245.186100000000   9   7   1  11   0   0   0
C121OOH                      216.317200000000  12   3   0  24   0   0   0
BCALBOOH                     268.348700000000  15   4   0  24   0   0   0
LIMBOOH                      186.248100000000  10   3   0  18   0   0   0
C733OOH                      176.167200000000   7   5   0  12   0   0   0
C815CO2OOH                   172.178500000000   8   4   0  12   0   0   0
TM135BPNO3                   231.202600000000   9   6   1  13   0   0   0
TM124MUO2H                   184.189200000000   9   4   0  12   0   0   0
EBFUOOH                      162.140600000000   6   5   0  10   0   0   0
T123NCATO                    262.193500000000   9   8   1  12   0   0   0
C1310O                       257.302800000000  13   5   0  21   0   0   0
BCLKET                       238.322700000000  14   3   0  22   0   0   0
C1210OOH                     228.284800000000  12   4   0  20   0   0   0
NPXYOLO                      232.167500000000   8   7   1  10   0   0   0
C919OH                       186.205100000000   9   4   0  14   0   0   0
PTNCATECO                    262.193500000000   9   8   1  12   0   0   0
C4MALOHOOH                   148.114000000000   5   5   0   8   0   0   0
C1211CO3                     271.286400000000  13   6   0  19   0   0   0
MVKOHBOOH                    136.103300000000   4   5   0   8   0   0   0
C1213OOH                     276.283000000000  12   7   0  20   0   0   0
C9M2CO6OOH                   200.231600000000  10   4   0  16   0   0   0
C7CO3OHOOH                   190.150700000000   7   6   0  10   0   0   0
HO3C106NO3                   219.278000000000  10   4   1  21   0   0   0
DNIPBNZLO2                   307.191000000000   9  10   2  11   0   0   0
TM123BP2OH                   186.205100000000   9   4   0  14   0   0   0
C534OOH                      180.112800000000   5   7   0   8   0   0   0
INAHPCO3                     226.118300000000   5   9   1   8   0   0   0
IPBZMUCO3H                   200.188600000000   9   5   0  12   0   0   0
DETLMUOOH                    246.257000000000  11   6   0  18   0   0   0
NPEBQOOH                     231.159600000000   8   7   1   9   0   0   0
HO3C126NO3                   247.331200000000  12   4   1  25   0   0   0
INAHPCO3H                    227.126300000000   5   9   1   9   0   0   0
TM124QOOH                    200.188600000000   9   5   0  12   0   0   0
IPNNCATOOH                   324.198400000000   9  11   2  12   0   0   0
C1312OOH                     258.310800000000  13   5   0  22   0   0   0
C916NO3                      231.202600000000   9   6   1  13   0   0   0
EBENZOLOH                    188.177900000000   8   5   0  12   0   0   0
HO3C116OOH                   204.306500000000  11   3   0  24   0   0   0
INANCO3H                     256.124400000000   5  10   2   8   0   0   0
EBENZOLOOH                   204.177300000000   8   6   0  12   0   0   0
C71OOH                       162.183700000000   7   4   0  14   0   0   0
NC6PAN1                      294.129300000000   7  11   2   6   0   0   0
INANPAN                      301.122000000000   5  12   3   7   0   0   0
TLFUOOH                      148.114000000000   5   5   0   8   0   0   0
C9DCOOH                      184.189200000000   9   4   0  12   0   0   0
INB1NBCO3H                   256.124400000000   5  10   2   8   0   0   0
IPRBQO2                      199.180600000000   9   5   0  11   0   0   0
MXYBPER2OH                   172.178500000000   8   4   0  12   0   0   0
C827CO2H                     186.205100000000   9   4   0  14   0   0   0
EMPONO2OOH                   263.201400000000   9   8   1  13   0   0   0
TM123BPOOH                   202.204500000000   9   5   0  14   0   0   0
TM124OLOOH                   218.203900000000   9   6   0  14   0   0   0
EBZMUCCO2H                   170.162600000000   8   4   0  10   0   0   0
MXYQOOH                      186.162000000000   8   5   0  10   0   0   0
HO36C11                      188.307100000000  11   2   0  24   0   0   0
HO36C10                      174.280500000000  10   2   0  22   0   0   0
C1213OH                      260.283600000000  12   6   0  20   0   0   0
NC623OOH                     209.154000000000   6   7   1  11   0   0   0
C7MJPCO3H                    216.188000000000   9   6   0  12   0   0   0
C1213O2                      275.275100000000  12   7   0  19   0   0   0
OXYQOH                       170.162600000000   8   4   0  10   0   0   0
C133CO                       256.294900000000  13   5   0  20   0   0   0
C151OOH                      302.363300000000  15   6   0  26   0   0   0
H134M3C5                     134.173600000000   6   3   0  14   0   0   0
C623NO3                      193.154600000000   6   6   1  11   0   0   0
BCLKCO                       253.314100000000  14   4   0  21   0   0   0
PC3ODBCO2H                   142.152500000000   7   3   0  10   0   0   0
C6COOHCO3H                   188.134800000000   7   6   0   8   0   0   0
NPETLQOOH                    245.186100000000   9   7   1  11   0   0   0
TLEMUCOOH                    190.150700000000   7   6   0  10   0   0   0
DNOXYOLOOH                   294.172400000000   8  10   2  10   0   0   0
LMLKBOOH                     202.204500000000   9   5   0  14   0   0   0
C57OH                        134.130500000000   5   4   0  10   0   0   0
MNNCATECO                    279.137900000000   7  10   2   7   0   0   0
NBCALOH                      315.362100000000  15   6   1  25   0   0   0
C7DCOH                       160.167800000000   7   4   0  12   0   0   0
IPBZBPROOH                   202.204500000000   9   5   0  14   0   0   0
