#Compound,Mass,parameter_A,parameter_B,Surface_tension,alpha_wall,density,Henrys_constant,parameter_C
C134CO,270.2784,13.356489852669,6816.46355099571,0.05,0.00005,1400,0,0
BCCOOH,254.3651,12.335575423393,6397.14829253474,0.05,0.00005,1400,0,0
DNMXYOLOOH,294.1724,12.045639192651,6418.41677007986,0.05,0.00005,1400,0,0
C823CO,156.1791,9.945579338565,4833.54323931782,0.05,0.00005,1400,0,0
C124OH,214.3013,10.104215088718,5166.8214672363,0.05,0.00005,1400,0,0
C137CO,224.2961,11.058265473332,5532.81345959115,0.05,0.00005,1400,0,0
MBOAOOH,136.1464,9.924866792237,4979.40876963583,0.05,0.00005,1400,0,0
DEMPHOLOOH,246.257,13.001444737298,7078.60496085064,0.05,0.00005,1400,0,0
EBZMUCOOH,204.1773,10.840544725074,5698.36451858191,0.05,0.00005,1400,0,0
DMKOHOOH,162.1406,9.437491416368,4815.01824601385,0.05,0.00005,1400,0,0
IPBZBPR2OH,186.2051,10.414313326745,5167.16829618206,0.05,0.00005,1400,0,0
C42OH,165.1015,9.951056799768,4829.22213512632,0.05,0.00005,1400,0,0
C63NO3,177.1552,10.710677120272,5049.36015457469,0.05,0.00005,1400,0,0
NPETOLO2,262.1935,10.587574467389,5140.57380255694,0.05,0.00005,1400,0,0
NPTLQO,200.1256,9.083093552323,4519.82870320759,0.05,0.00005,1400,0,0
C917NO3,215.2032,10.713404057654,5378.98247880298,0.05,0.00005,1400,0,0
NEBNZOLOOH,249.1748,13.047261727357,6765.4471287828,0.05,0.00005,1400,0,0
NPETOLOH,247.202,12.060141111013,6122.98178588429,0.05,0.00005,1400,0,0
C731OOH,160.1678,9.684924752366,4767.26732291162,0.05,0.00005,1400,0,0
NC524OOH,213.1427,15.266248624725,8456.81157828658,0.05,0.00005,1400,0,0
C925OOH,220.2197,14.349884586915,7698.00988012167,0.05,0.00005,1400,0,0
H3C2C4CO2H,132.1146,9.667657328627,4878.42706056795,0.05,0.00005,1400,0,0
NPETLQO2,244.1782,9.683349318427,4929.10466929354,0.05,0.00005,1400,0,0
PXYMUCNO3,233.1754,10.775977413847,5361.93905590522,0.05,0.00005,1400,0,0
C1010OOH,200.2316,10.507763215269,5426.19181762249,0.05,0.00005,1400,0,0
TMB2FUOOH,176.1672,10.647403925416,5287.15966616728,0.05,0.00005,1400,0,0
H3C25CCO3H,190.1507,10.591016973225,5519.35747127221,0.05,0.00005,1400,0,0
C823OOH,174.1944,11.197583171144,5849.10163183476,0.05,0.00005,1400,0,0
C88OOH,172.1785,10.112749225829,4889.65713352173,0.05,0.00005,1400,0,0
C1013CO2H,214.2582,10.625073337341,5108.02634131802,0.05,0.00005,1400,0,0
C7EDCOOH,176.1672,9.793041197655,5065.9304714836,0.05,0.00005,1400,0,0
NMXYQO2,230.1516,9.327799535132,4678.19244324868,0.05,0.00005,1400,0,0
C827OOH,174.1944,9.323946566015,4590.37681356949,0.05,0.00005,1400,0,0
NDNPBZLOOH,353.1965,13.402811500034,7016.35935178619,0.05,0.00005,1400,0,0
NDNPETLOOH,353.1965,13.402811500034,7016.35935178619,0.05,0.00005,1400,0,0
C1312O,241.3034,10.996749158294,5548.66433185047,0.05,0.00005,1400,0,0
OTNCATECO,262.1935,11.936899920652,6278.64917178562,0.05,0.00005,1400,0,0
HNC524CO,195.1275,12.107551062825,6308.98850005252,0.05,0.00005,1400,0,0
C139NO3,303.3083,12.125635655217,6288.30162351056,0.05,0.00005,1400,0,0
METLOBPROH,184.1892,9.643296259538,4690.7991536049,0.05,0.00005,1400,0,0
NPHENOOH,221.1217,12.447005963676,6356.17116339081,0.05,0.00005,1400,0,0
C57NO3,179.1281,10.830912886732,5339.81685263856,0.05,0.00005,1400,0,0
C1313NO3,287.3089,10.783630646982,5293.67645085355,0.05,0.00005,1400,0,0
BCALBCO,250.3334,9.936818200532,4918.67407722736,0.05,0.00005,1400,0,0
IPBZMUCOH,202.2045,10.264047312386,5265.82092918718,0.05,0.00005,1400,0,0
C9M2CO6OH,184.2322,8.611100663439,4400.32733980924,0.05,0.00005,1400,0,0
C152OOH,302.3633,13.949317787402,7525.1656865457,0.05,0.00005,1400,0,0
HO13C3CO3H,136.1033,10.460372311363,5312.84262510469,0.05,0.00005,1400,0,0
C82OOH,176.2102,10.647589943313,5421.43673602644,0.05,0.00005,1400,0,0
C716OOH,174.1513,9.864652203876,4901.94547066481,0.05,0.00005,1400,0,0
C83COOHOOH,204.1773,11.010454781284,5668.87001859065,0.05,0.00005,1400,0,0
C151OH,286.3639,14.39989199498,8022.74195423871,0.05,0.00005,1400,0,0
C151O2,301.3554,13.553936045973,7263.49205010924,0.05,0.00005,1400,0,0
C629OOH,162.1406,10.155708782115,5071.2671560661,0.05,0.00005,1400,0,0
C134O,271.2864,12.124222365729,6203.77017069524,0.05,0.00005,1400,0,0
C920CO3H,216.231,10.601896942406,5360.81054146948,0.05,0.00005,1400,0,0
LIMCOH,170.2487,9.59859766674,4673.89090571462,0.05,0.00005,1400,0,0
PXYFUOOH,148.114,10.791722392019,5344.05703122991,0.05,0.00005,1400,0,0
C735OOH,174.1513,9.813409133613,4976.53366282552,0.05,0.00005,1400,0,0
CO25C6CO2H,158.1519,10.525506195443,5312.24857538807,0.05,0.00005,1400,0,0
NDNT124LO,336.1892,10.476730676615,5048.02531933515,0.05,0.00005,1400,0,0
PETLMUCO2H,184.1892,10.80564937878,5464.71359536964,0.05,0.00005,1400,0,0
C88PAN,245.1861,9.510862294853,4851.42615556703,0.05,0.00005,1400,0,0
C121OOH,216.3172,10.638040788752,5384.75936545763,0.05,0.00005,1400,0,0
BCALBOOH,268.3487,11.258576035616,5884.01996270554,0.05,0.00005,1400,0,0
