#Compound                    Mass                        parameter_A              parameter_B
C134CO                       270.278400000000            13.356489852669          6816.463550995712
BCCOOH                       254.365100000000            12.335575423393          6397.148292534742
DNMXYOLOOH                   294.172400000000            12.045639192651          6418.416770079857
C823CO                       156.179100000000             9.945579338565          4833.543239317818
C124OH                       214.301300000000            10.104215088718          5166.821467236303
C137CO                       224.296100000000            11.058265473332          5532.813459591152
MBOAOOH                      136.146400000000             9.924866792237          4979.408769635831
DEMPHOLOOH                   246.257000000000            13.001444737298          7078.604960850639
EBZMUCOOH                    204.177300000000            10.840544725074          5698.364518581907
DMKOHOOH                     162.140600000000             9.437491416368          4815.018246013852
IPBZBPR2OH                   186.205100000000            10.414313326745          5167.168296182062
C42OH                        165.101500000000             9.951056799768          4829.222135126322
C63NO3                       177.155200000000            10.710677120272          5049.360154574692
NPETOLO2                     262.193500000000            10.587574467389          5140.573802556941
NPTLQO                       200.125600000000             9.083093552323          4519.828703207590
C917NO3                      215.203200000000            10.713404057654          5378.982478802981
NEBNZOLOOH                   249.174800000000            13.047261727357          6765.447128782801
NPETOLOH                     247.202000000000            12.060141111013          6122.981785884290
C731OOH                      160.167800000000             9.684924752366          4767.267322911624
NC524OOH                     213.142700000000            15.266248624725          8456.811578286577
C925OOH                      220.219700000000            14.349884586915          7698.009880121673
H3C2C4CO2H                   132.114600000000             9.667657328627          4878.427060567950
NPETLQO2                     244.178200000000             9.683349318427          4929.104669293543
PXYMUCNO3                    233.175400000000            10.775977413847          5361.939055905215
C1010OOH                     200.231600000000            10.507763215269          5426.191817622494
TMB2FUOOH                    176.167200000000            10.647403925416          5287.159666167284
H3C25CCO3H                   190.150700000000            10.591016973225          5519.357471272205
C823OOH                      174.194400000000            11.197583171144          5849.101631834757
C88OOH                       172.178500000000            10.112749225829          4889.657133521732
C1013CO2H                    214.258200000000            10.625073337341          5108.026341318020
C7EDCOOH                     176.167200000000             9.793041197655          5065.930471483596
NMXYQO2                      230.151600000000             9.327799535132          4678.192443248675
C827OOH                      174.194400000000             9.323946566015          4590.376813569489
NDNPBZLOOH                   353.196500000000            13.402811500034          7016.359351786190
NDNPETLOOH                   353.196500000000            13.402811500034          7016.359351786190
C1312O                       241.303400000000            10.996749158294          5548.664331850473
OTNCATECO                    262.193500000000            11.936899920652          6278.649171785622
HNC524CO                     195.127500000000            12.107551062825          6308.988500052524
C139NO3                      303.308300000000            12.125635655217          6288.301623510558
METLOBPROH                   184.189200000000             9.643296259538          4690.799153604898
NPHENOOH                     221.121700000000            12.447005963676          6356.171163390813
C57NO3                       179.128100000000            10.830912886732          5339.816852638558
C1313NO3                     287.308900000000            10.783630646982          5293.676450853550
BCALBCO                      250.333400000000             9.936818200532          4918.674077227364
IPBZMUCOH                    202.204500000000            10.264047312386          5265.820929187179
C9M2CO6OH                    184.232200000000             8.611100663439          4400.327339809244
C152OOH                      302.363300000000            13.949317787402          7525.165686545695
HO13C3CO3H                   136.103300000000            10.460372311363          5312.842625104692
C82OOH                       176.210200000000            10.647589943313          5421.436736026437
C716OOH                      174.151300000000             9.864652203876          4901.945470664807
C83COOHOOH                   204.177300000000            11.010454781284          5668.870018590650
C151OH                       286.363900000000            14.399891994980          8022.741954238712
C151O2                       301.355400000000            13.553936045973          7263.492050109241
C629OOH                      162.140600000000            10.155708782115          5071.267156066104
C134O                        271.286400000000            12.124222365729          6203.770170695243
C920CO3H                     216.231000000000            10.601896942406          5360.810541469475
LIMCOH                       170.248700000000             9.598597666740          4673.890905714624
PXYFUOOH                     148.114000000000            10.791722392019          5344.057031229906
C735OOH                      174.151300000000             9.813409133613          4976.533662825519
CO25C6CO2H                   158.151900000000            10.525506195443          5312.248575388065
NDNT124LO                    336.189200000000            10.476730676615          5048.025319335150
PETLMUCO2H                   184.189200000000            10.805649378780          5464.713595369643
C88PAN                       245.186100000000             9.510862294853          4851.426155567029
C121OOH                      216.317200000000            10.638040788752          5384.759365457627
BCALBOOH                     268.348700000000            11.258576035616          5884.019962705538
LIMBOOH                      186.248100000000            10.458737230813          5266.334946834470
C733OOH                      176.167200000000            11.146138908964          5824.570306811651
C815CO2OOH                   172.178500000000             9.301823274249          4681.661600505808
