#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
BCLKBOH                      254.322100000000            11.600196174445          6031.500463790138        0.05
C128OH                       228.284800000000            12.245709447558          6501.781464072662        0.05
BCLKBOC                      254.322100000000             9.828861831187          5029.840930282761        0.05
C823CO                       156.179100000000             9.945579338565          4833.543239317818        0.05
C143O2                       271.329400000000            11.352298935190          5799.576556063244        0.05
BCCOOH                       254.365100000000            12.335575423393          6397.148292534742        0.05
C146CO                       252.306200000000            10.257786830571          5137.694248705916        0.05
C732CO3                      203.169300000000             9.945579338565          4833.543239317818        0.05
HMVKBCO3H                    148.114000000000            10.296118860712          5067.949175779304        0.05
C134CO                       270.278400000000            13.356489852669          6816.463550995712        0.05
C143OH                       256.338000000000            12.956809004781          7003.605913481326        0.05
C623O                        147.149100000000            10.274743400511          4940.618426721945        0.05
C128O2                       243.276300000000            10.641199387252          5297.752109314000        0.05
C521OOH                      148.114000000000            10.703794817120          5222.801079757499        0.05
BCLKBO2                      269.313500000000             9.037554667172          4617.549349671688        0.05
APINBOOH                     186.248100000000             9.793674493378          4711.044049560818        0.05
C919NO3                      231.202600000000            10.563630896222          5310.050225365349        0.05
C137CO                       224.296100000000            11.058265473332          5532.813459591152        0.05
C58NO3                       179.128100000000            10.830912886732          5339.816852638558        0.05
BCALOOH                      286.363900000000            13.708051323845          7448.128359995085        0.05
C1014OOH                     218.246900000000            10.327777798942          5041.750421895350        0.05
BCALOOA                      254.322100000000             9.603827915290          4952.803606026283        0.05
C147CO                       268.305600000000            13.021490011268          6772.822084351353        0.05
C527OOH                      166.129300000000            11.457433865007          6174.601155527738        0.05
C1010OH                      184.232200000000             9.163611183040          4603.968860286840        0.05
C916NO3                      231.202600000000            10.563630896222          5310.050225365349        0.05
C733OOH                      176.167200000000            11.146138908964          5824.570306811651        0.05
APINCOOH                     186.248100000000            10.263361384650          5224.550326931822        0.05
C927OOH                      188.220900000000            11.450856302634          6023.316236779216        0.05
C917NO3                      215.203200000000            10.713404057654          5378.982478802981        0.05
BCLKAOOH                     270.321500000000            11.637194815691          6177.628329668468        0.05
C730O                        161.175700000000            10.630293173999          5191.530649958860        0.05
PINONIC                      184.232200000000             9.991616157919          4780.076791326540        0.05
