#Compound                    Mass               C   O   N   H   S  Cl  Br
BCLKBOH                      254.322100000000  14   4   0  22   0   0   0
C128OH                       228.284800000000  12   4   0  20   0   0   0
BCLKBOC                      254.322100000000  14   4   0  22   0   0   0
C823CO                       156.179100000000   8   3   0  12   0   0   0
C143O2                       271.329400000000  14   5   0  23   0   0   0
BCCOOH                       254.365100000000  15   3   0  26   0   0   0
C146CO                       252.306200000000  14   4   0  20   0   0   0
C732CO3                      203.169300000000   8   6   0  11   0   0   0
HMVKBCO3H                    148.114000000000   5   5   0   8   0   0   0
C134CO                       270.278400000000  13   6   0  18   0   0   0
C143OH                       256.338000000000  14   4   0  24   0   0   0
C623O                        147.149100000000   6   4   0  11   0   0   0
C128O2                       243.276300000000  12   5   0  19   0   0   0
C521OOH                      148.114000000000   5   5   0   8   0   0   0
BCLKBO2                      269.313500000000  14   5   0  21   0   0   0
APINBOOH                     186.248100000000  10   3   0  18   0   0   0
C919NO3                      231.202600000000   9   6   1  13   0   0   0
C137CO                       224.296100000000  13   3   0  20   0   0   0
C58NO3                       179.128100000000   5   6   1   9   0   0   0
BCALOOH                      286.363900000000  15   5   0  26   0   0   0
C1014OOH                     218.246900000000  10   5   0  18   0   0   0
BCALOOA                      254.322100000000  14   4   0  22   0   0   0
C147CO                       268.305600000000  14   5   0  20   0   0   0
C527OOH                      166.129300000000   5   6   0  10   0   0   0
C1010OH                      184.232200000000  10   3   0  16   0   0   0
C916NO3                      231.202600000000   9   6   1  13   0   0   0
C733OOH                      176.167200000000   7   5   0  12   0   0   0
APINCOOH                     186.248100000000  10   3   0  18   0   0   0
C927OOH                      188.220900000000   9   4   0  16   0   0   0
C917NO3                      215.203200000000   9   5   1  13   0   0   0
BCLKAOOH                     270.321500000000  14   5   0  22   0   0   0
C730O                        161.175700000000   7   4   0  13   0   0   0
PINONIC                      184.232200000000  10   3   0  16   0   0   0
C731OOH                      160.167800000000   7   4   0  12   0   0   0
C512CO2H                     144.125300000000   6   4   0   8   0   0   0
DHPMPAL                      136.103300000000   4   5   0   8   0   0   0
DHPMEK                       136.037100000000   4   5   0   8   0   0   0
INB1NBCHO                    224.125600000000   5   8   2   8   0   0   0
INB1NACHO                    224.125600000000   5   8   2   8   0   0   0
NC524OOH                     213.142700000000   5   8   1  11   0   0   0
C135OOH                      302.277200000000  13   8   0  18   0   0   0
C1211CO2H                    256.294900000000  13   5   0  20   0   0   0
INB1OOH                      197.143300000000   5   7   1  11   0   0   0
C925OOH                      220.219700000000   9   6   0  16   0   0   0
H3C2C4CO2H                   132.114600000000   5   4   0   8   0   0   0
KLIMONIC                     188.177900000000   8   5   0  12   0   0   0
C135O                        285.269900000000  13   7   0  17   0   0   0
C98OH                        188.220900000000   9   4   0  16   0   0   0
C88CO2H                      184.189200000000   9   4   0  12   0   0   0
C1211CO                      226.268900000000  12   4   0  18   0   0   0
MMALNBCO3H                   209.111000000000   5   8   1   7   0   0   0
INCNO3                       226.141500000000   5   8   2  10   0   0   0
C1010OOH                     200.231600000000  10   4   0  16   0   0   0
NC826OOH                     235.191300000000   8   7   1  13   0   0   0
INANO3                       226.141500000000   5   8   2  10   0   0   0
C821OOH                      174.151300000000   7   5   0  10   0   0   0
C622OOH                      132.157700000000   6   3   0  12   0   0   0
C614OH                       146.141200000000   6   4   0  10   0   0   0
H3C25CCO3H                   190.150700000000   7   6   0  10   0   0   0
C823OOH                      174.194400000000   8   4   0  14   0   0   0
C88OOH                       172.178500000000   8   4   0  12   0   0   0
C1013CO2H                    214.258200000000  11   4   0  18   0   0   0
HIEPOXB                      134.130500000000   5   4   0  10   0   0   0
C86OOH                       174.194400000000   8   4   0  14   0   0   0
CONM2CO2H                    163.085600000000   4   6   1   5   0   0   0
C137NO3                      271.309500000000  13   5   1  21   0   0   0
C1215OH                      244.284200000000  12   5   0  20   0   0   0
C1011CO2H                    198.258800000000  11   3   0  18   0   0   0
C924OH                       172.221500000000   9   3   0  16   0   0   0
BCKANO3                      285.336100000000  14   5   1  23   0   0   0
C920PAN                      261.228600000000  10   7   1  15   0   0   0
LMLKACO                      184.189200000000   9   4   0  12   0   0   0
C926OH                       186.205100000000   9   4   0  14   0   0   0
C1312O                       241.303400000000  13   4   0  21   0   0   0
C812OOH                      190.193800000000   8   5   0  14   0   0   0
C922O2                       219.211800000000   9   6   0  15   0   0   0
C1215O2                      259.275700000000  12   6   0  19   0   0   0
LMKAOOH                      188.220900000000   9   4   0  16   0   0   0
C106OOH                      216.231000000000  10   5   0  16   0   0   0
C731CO3H                     188.177900000000   8   5   0  12   0   0   0
C930OH                       186.205100000000   9   4   0  14   0   0   0
HNC524CO                     195.127500000000   5   7   1   9   0   0   0
INDHPCO3                     226.118300000000   5   9   1   8   0   0   0
C139NO3                      303.308300000000  13   7   1  21   0   0   0
C524OH                       118.131100000000   5   3   0  10   0   0   0
C621OOH                      178.140000000000   6   6   0  10   0   0   0
LMKBOOH                      188.220900000000   9   4   0  16   0   0   0
C133OOH                      274.310200000000  13   6   0  22   0   0   0
C57NO3                       179.128100000000   5   6   1   9   0   0   0
C1313NO3                     287.308900000000  13   6   1  21   0   0   0
MMALNBCO2H                   193.111600000000   5   7   1   7   0   0   0
C628OOH                      162.140600000000   6   5   0  10   0   0   0
C87CO2H                      200.188600000000   9   5   0  12   0   0   0
C128NO3                      273.282400000000  12   6   1  19   0   0   0
INDHPPAN                     272.123800000000   5  11   2   8   0   0   0
C142OOH                      256.338000000000  14   4   0  24   0   0   0
BCALBCO                      250.333400000000  15   3   0  22   0   0   0
C2OHOCOOH                    122.076700000000   3   5   0   6   0   0   0
C152OOH                      302.363300000000  15   6   0  26   0   0   0
C1211OH                      228.284800000000  12   4   0  20   0   0   0
C620OOH                      160.124700000000   6   5   0   8   0   0   0
C813NO3                      235.191300000000   8   7   1  13   0   0   0
C624CO3H                     160.167800000000   7   4   0  12   0   0   0
C97OOH                       188.220900000000   9   4   0  16   0   0   0
C716OOH                      174.151300000000   7   5   0  10   0   0   0
HC4CCO2H                     116.115200000000   5   3   0   8   0   0   0
C151OH                       286.363900000000  15   5   0  26   0   0   0
C818OOH                      190.193800000000   8   5   0  14   0   0   0
C151O2                       301.355400000000  15   6   0  25   0   0   0
C629OOH                      162.140600000000   6   5   0  10   0   0   0
C134O                        271.286400000000  13   6   0  19   0   0   0
C116OH                       198.258800000000  11   3   0  18   0   0   0
C118O                        229.249700000000  11   5   0  17   0   0   0
C920CO3H                     216.231000000000  10   5   0  16   0   0   0
LIMCOH                       170.248700000000  10   2   0  18   0   0   0
C817CO3H                     202.204500000000   9   5   0  14   0   0   0
LIMONIC                      186.205100000000   9   4   0  14   0   0   0
PXYFUOOH                     148.114000000000   5   5   0   8   0   0   0
C735OOH                      174.151300000000   7   5   0  10   0   0   0
BCKBCO                       238.322700000000  14   3   0  22   0   0   0
LIMAOH                       170.248700000000  10   2   0  18   0   0   0
