# time(s)  APINENE_ppb    APIN_EMI_ppt      APIN_EMI_ppt       APIN_EMI_ppt_10min    O3_ppb     EmiO3_ppb   EmiO3_ppb  EmiO3_4       EmiO3_ppb   O3_ppb
0.0        0              0                 0                  0                     0          0           0          0             0           0
1070       0              0                 0                  0                     0          0           0          0             0           0
1075       0              0                 0                  0                     0          0           0          0             1           0
1100       0              0                 0                  0                     0          0           0          0             1           0
1105       0              0                 0                  111                   125        0           2          2             1           250
1250.      0              0                 0                  111                   250        0           2.000      2.000         1           250
1260.      0              379               250                111                   250        12.5        2.000      2.000         1           250
1290.      38.3           380               295                111                   250        0.022       2.000      2.000         1           250
1320.      38.3           380               295                111                   250        0.022       2.000      2.000         1           250
1355.      38.3           379               335                111                   250        0.022       0.202      0.202         1           250
1360.      38.3           0                 310                111                   250        0.022       0.202      0.202         1           250
1365.      38.3           0                 290                111                   250        0.022       0.202      0.202         1           250
1400.      38.3           0                 0                  111                   250        0.022       0.202      0.202         1           250
2005.      38.3           0                 0                  111                   250        0.022       0.202      0.202         1           250
2006.      38.3           0                 0                  0                     250        0.022       0.202      0.202         1           250
36000.     38.3           0                 0                  0                     250        0.022       0.202      0.202         1           250
