#     time                    CH3OH                   -                       CH3CHO                  C2H5OH                  CH3COCH3                CH3CO2H                 C5H8                    -                       MEK                     BENZENE                 -                       -                       TOLUENE                 MONOTERPENE
      1.010000000000e+02      1.275182508988e+00      8.228058700408e-02      3.045795198554e-01      4.199376242762e-01      7.460371069672e-01      3.800199104943e-01      2.460436244375e-02      1.569333813652e-02      1.075809890808e-01      8.283184702782e-02      5.342304255359e-02      2.435111809915e-02      1.311694033605e-02      9.219322300755e-02
      1.010069444444e+02      1.281341013526e+00      8.229016452336e-02      3.057254360563e-01      4.218469663496e-01      7.467059351716e-01      3.822338385499e-01      2.482153187091e-02      1.575849539711e-02      1.078285066418e-01      8.297659872828e-02      5.371752969113e-02      2.445896284320e-02      1.330561180576e-02      9.327061566496e-02
      1.010138888889e+02      1.287499518063e+00      8.229974204264e-02      3.068713522572e-01      4.237563084230e-01      7.473747633759e-01      3.844477666054e-01      2.503870129807e-02      1.582365265769e-02      1.080760242027e-01      8.312135042874e-02      5.401201682866e-02      2.456680758725e-02      1.349428327547e-02      9.434800832237e-02
      1.010208333333e+02      1.293658022601e+00      8.230931956192e-02      3.080172684580e-01      4.256656504964e-01      7.480435915802e-01      3.866616946610e-01      2.525587072522e-02      1.588880991828e-02      1.083235417637e-01      8.326610212920e-02      5.430650396620e-02      2.467465233130e-02      1.368295474518e-02      9.542540097978e-02
      1.010277777778e+02      1.299816527138e+00      8.231889708119e-02      3.091631846589e-01      4.275749925698e-01      7.487124197846e-01      3.888756227165e-01      2.547304015238e-02      1.595396717886e-02      1.085710593247e-01      8.341085382966e-02      5.460099110373e-02      2.478249707535e-02      1.387162621489e-02      9.650279363719e-02
      1.010347222222e+02      1.305975031676e+00      8.232847460047e-02      3.103091008598e-01      4.294843346432e-01      7.493812479889e-01      3.910895507721e-01      2.569020957954e-02      1.601912443945e-02      1.088185768857e-01      8.355560553012e-02      5.489547824126e-02      2.489034181940e-02      1.406029768460e-02      9.758018629461e-02
      1.010416666667e+02      1.312133536213e+00      8.233805211975e-02      3.114550170606e-01      4.313936767166e-01      7.500500761932e-01      3.933034788276e-01      2.590737900670e-02      1.608428170003e-02      1.090660944467e-01      8.370035723058e-02      5.518996537880e-02      2.499818656344e-02      1.424896915431e-02      9.865757895202e-02
      1.010486111111e+02      1.318292040751e+00      8.234762963903e-02      3.126009332615e-01      4.333030187900e-01      7.507189043975e-01      3.955174068832e-01      2.612454843386e-02      1.614943896062e-02      1.093136120077e-01      8.384510893104e-02      5.548445251633e-02      2.510603130749e-02      1.443764062402e-02      9.973497160943e-02
      1.010555555556e+02      1.324450545288e+00      8.235720715831e-02      3.137468494624e-01      4.352123608634e-01      7.513877326019e-01      3.977313349387e-01      2.634171786102e-02      1.621459622120e-02      1.095611295686e-01      8.398986063150e-02      5.577893965387e-02      2.521387605154e-02      1.462631209373e-02      1.008123642668e-01
      1.010625000000e+02      1.330609049826e+00      8.236678467759e-02      3.148927656632e-01      4.371217029369e-01      7.520565608062e-01      3.999452629943e-01      2.655888728817e-02      1.627975348179e-02      1.098086471296e-01      8.413461233196e-02      5.607342679140e-02      2.532172079559e-02      1.481498356344e-02      1.018897569242e-01
