#Compound                    Mass                        parameter_A              parameter_B
MNNCATECO2                   295.137300000000            12.679260121317          6460.735191279994
HMVKBCO3H                    148.114000000000             9.655760562698          4708.231667318540
APINBOOH                     186.248100000000             9.953272013498          4950.650586599683
C919NO3                      231.202600000000            10.330384404920          5256.372312623826
C58NO3                       179.128100000000            11.248512117861          5617.016843630970
C527OOH                      166.129300000000            13.586349071837          7095.597507999174
C629OH                       146.141200000000             9.957008139156          4889.915879394113
C733OOH                      176.167200000000            11.712978618203          6032.398834943191
APINCOOH                     186.248100000000            10.269817500856          5145.379939198602
MACROOH                      120.103900000000             9.807309901670          4763.216081776630
NC91PAN                      290.226800000000             9.610790926656          4861.466206235515
C510OH                       179.128100000000            10.969882205203          5409.189465049147
C917NO3                      215.203200000000             8.921996958246          4460.820872225640
PINONIC                      184.232200000000             9.394521787784          4662.752526076981
C109OH                       184.232200000000             9.250208185905          4584.592851185672
C731OOH                      160.167800000000             9.375352782720          4621.661305008459
C512CO2H                     144.125300000000             9.628613618159          4736.075672770276
DHPMPAL                      136.103300000000            10.521152382093          5227.088955132104
DHPMEK                       136.037100000000            10.331381252961          5190.247602721196
INB1NACHO                    224.125600000000            11.396997275417          5761.406969067253
NC524OOH                     213.142700000000            17.449527069112          9348.590961003913
INB1OOH                      197.143300000000            13.975068390457          7303.462866232740
C925OOH                      220.219700000000            15.231129031322          8158.678156329183
C921O                        187.213000000000             9.760472447787          4839.030000912017
MACRNCO2H                    165.101500000000            11.675008587589          5871.897954463484
H3C2C4CO2H                   132.114600000000            10.174097920242          5008.287349380486
KLIMONIC                     188.177900000000            12.791058694753          6696.007856535622
C98OH                        188.220900000000            10.687751881295          5446.241709586534
C88CO2H                      184.189200000000            10.068273472269          5120.523160271644
C717NO3                      203.149500000000             9.493491449511          4729.778260764039
MMALNBCO3H                   209.111000000000            12.067139961675          6108.272437114548
INCNO3                       226.141500000000            12.534552098602          6401.723485735070
H1C23C4PAN                   207.095100000000            10.271996824860          5177.401640315948
PBZQOH                       142.109400000000            10.219316480195          5145.098649975856
INANO3                       226.141500000000            12.751966476369          6537.604366603706
PTLQOH                       156.136000000000            10.416243676249          5264.118093142534
C821OOH                      174.151300000000             9.826584213301          4990.213976893753
C614OH                       146.141200000000             9.987981929174          4991.360853130825
H3C25CCO3H                   190.150700000000            11.381333380857          5818.155690685484
C823OOH                      174.194400000000            11.402005932982          5794.320435045949
C88OOH                       172.178500000000             9.058210426137          4511.002089266043
C917OOH                      186.205100000000             9.619323963021          4887.190350595844
HIEPOXB                      134.130500000000            11.529397022642          5858.019621619536
C86OOH                       174.194400000000             9.331564285752          4612.186141197607
CONM2CO2H                    163.085600000000             9.965224202769          4852.208036627802
