#Compound                    Mass                        parameter_A              parameter_B
C134CO                       270.278400000000            13.373365311806          7175.821281903928
BCCOOH                       254.365100000000            12.084697101630          6350.733276201307
TM124NO2O                    232.167500000000            10.693677679242          5291.753850913071
DNMXYOLOOH                   294.172400000000            17.290822462826          9280.740251494708
C124OH                       214.301300000000            10.172212120707          5191.972174369961
TM123MUCO                    201.196500000000             9.338261524514          4591.270416218130
C137CO                       224.296100000000            10.470203859181          5341.443158995982
MBOAOOH                      136.146400000000            10.786564505165          5337.589325050862
DEMPHOLOOH                   246.257000000000            13.432362014827          6969.799318225452
EBZMUCOOH                    204.177300000000            13.142707051932          6881.537557185698
DMKOHOOH                     162.140600000000            10.737815171265          5450.818705614675
IPBZBPR2OH                   186.205100000000             9.791677164585          4762.680616652807
C42OH                        165.101500000000            11.007043256448          5427.505351905238
C63NO3                       177.155200000000             9.395021463804          4609.181607210570
C917NO3                      215.203200000000             8.921996958246          4460.820872225640
NEBNZOLOOH                   249.174800000000            12.747852611411          6572.202964819126
NPETOLOH                     247.202000000000            11.663918898511          5879.035134261976
C731OOH                      160.167800000000             9.375352782720          4621.661305008459
NC524OOH                     213.142700000000            17.449527069112          9348.590961003913
C925OOH                      220.219700000000            15.231129031322          8158.678156329183
H14CO23C4                    118.088000000000             9.877196102043          4959.177643098240
H3C2C4CO2H                   132.114600000000            10.174097920242          5008.287349380486
PXYMUCNO3                    233.175400000000            11.854693216521          6098.848808210299
C1010OOH                     200.231600000000            10.152265326354          5149.515604690951
TMB2FUOOH                    176.167200000000            11.018581149634          5710.556900494713
H3C25CCO3H                   190.150700000000            11.381333380857          5818.155690685484
C823OOH                      174.194400000000            11.402005932982          5794.320435045949
C88OOH                       172.178500000000             9.058210426137          4511.002089266043
C1013CO2H                    214.258200000000            10.071172977849          5024.273933957587
C7EDCOOH                     176.167200000000            11.226840361017          5757.578007154185
C827OOH                      174.194400000000             9.166538893462          4554.798676724721
NDNPBZLOOH                   353.196500000000            18.358780724516          9927.403998580870
NDNPETLOOH                   353.196500000000            17.975229119309          9704.459982854360
C1312O                       241.303400000000            10.045628370919          5114.062102646078
TL4OHNO2O2                   234.140300000000            10.350608816377          5035.293942129982
OTNCATECO                    262.193500000000            13.353716033876          6869.519697116614
OTNCATECH                    197.187900000000            10.618098012662          5464.652641444801
HNC524CO                     195.127500000000            13.895590707552          7219.261586122415
C139NO3                      303.308300000000            10.327285331732          5061.732387624962
C5ONO34OOH                   179.128100000000             9.634565601515          4746.470392291851
NPHENOOH                     221.121700000000            12.100631506816          6155.479871241985
C57NO3                       179.128100000000            11.248512117861          5617.016843630970
C1313NO3                     287.308900000000             9.423891615877          4625.543924678176
BCALBCO                      250.333400000000             9.768983117232          5011.582386922342
IPBZMUCOH                    202.204500000000            12.113434454023          6234.180572393340
C9M2CO6OH                    184.232200000000             9.102244829947          4522.725633123925
C152OOH                      302.363300000000            14.892502572907          7975.984678505954
HO13C3CO3H                   136.103300000000            11.240709231869          5567.666774888976
C82OOH                       176.210200000000            10.773977983813          5454.450949009740
C716OOH                      174.151300000000            10.233202424885          5187.644777487723
C83COOHOOH                   204.177300000000            13.171460935302          6925.112660394322
C151OH                       286.363900000000            16.660867261016          8971.783179359889
C151O2                       301.355400000000            13.161922449086          6931.848348817733
C629OOH                      162.140600000000            11.254767871934          5739.634926325288
C134O                        271.286400000000            11.887817706131          6278.328395164620
C920CO3H                     216.231000000000            11.363472351774          5836.568029650377
LIMCOH                       170.248700000000             9.449371338052          4637.386051025121
PXYFUOOH                     148.114000000000            10.871671352899          5618.392571042537
C735OOH                      174.151300000000            10.516401800349          5319.788292993794
PETCATECH                    152.190400000000             9.144389146082          4527.263261977663
CO25C6CO2H                   158.151900000000             9.675475068100          4834.299606366421
NDNT124LO                    336.189200000000            13.287073666470          6974.362256349257
PETLMUCO2H                   184.189200000000            10.441179819731          5286.836111120099
C88PAN                       245.186100000000             9.340804629018          4691.495298239675
C121OOH                      216.317200000000            10.270074825161          5254.593095619298
BCALBOOH                     268.348700000000            11.868435312554          6242.725430450597
C1011CO3H                    214.258200000000             9.194865871777          4563.117388714379
LIMBOOH                      186.248100000000             9.873096291410          4888.922293313371
C733OOH                      176.167200000000            11.712978618203          6032.398834943191
C815CO2OOH                   172.178500000000             9.848307272368          4947.384269817021
C918CO3H                     200.231600000000            10.126564891534          5032.559641334964
DNPHEN                       184.106400000000             9.217617915561          4685.404922915057
TM135BPNO3                   231.202600000000             9.739050406003          4751.331993502539
C617CO2H                     158.151900000000             9.418095432763          4626.371579551123
NDNCRESO2                    324.135400000000            12.497751789201          6450.252132191161
DNPXYOL                      212.159500000000            10.204104686110          5294.342849716327
TM124MUO2H                   184.189200000000            10.218208531333          5158.608072892818
C510OH                       179.128100000000            10.969882205203          5409.189465049147
EBFUOOH                      162.140600000000            11.341755214383          5904.422584838642
T123NCATO                    262.193500000000            13.141204325501          6765.410654188526
C1310O                       257.302800000000            12.872799223384          6769.085477462109
BCLKET                       238.322700000000             9.258758326132          4709.739563164391
DNPHENO                      249.111900000000            12.503974621525          6431.080965589990
C1210OOH                     228.284800000000            10.897424921280          5631.541576943001
C919OH                       186.205100000000             9.925958144089          4956.700837302931
PTNCATECH                    197.187900000000            10.618098012662          5464.652641444801
PTNCATECO                    262.193500000000            13.353716033876          6869.519697116614
C4MALOHOOH                   148.114000000000            11.068357860279          5537.283449290205
MVKOHBOOH                    136.103300000000            12.809229373269          6687.140371751636
C1213OOH                     276.283000000000            18.745737552341         10177.142012980185
C9M2CO6OOH                   200.231600000000            10.071514970183          5148.284966051728
C7CO3OHOOH                   190.150700000000            12.654746330328          6607.497719568462
DNCRESO2                     279.137900000000            12.286207483560          6276.174862020499
MXYFUOH                      146.141200000000             9.710477846995          4871.434021684760
HO3C106NO3                   219.278000000000             9.988142590741          4947.006946537434
DNIPBNZLO2                   307.191000000000            12.966954471011          6727.179096340551
C534OOH                      180.112800000000            13.143416025325          6762.895051306151
IPBZMUCO3H                   200.188600000000             9.865381477367          4937.302512372827
DETLMUOOH                    246.257000000000            13.983377485764          7396.882949492558
NPEBQOOH                     231.159600000000            12.220264223288          6415.624952403152
HO3C126NO3                   247.331200000000            10.808253739545          5486.522898145160
INAHPCO3H                    227.126300000000            14.769200592752          7732.483788374032
TM124QOOH                    200.188600000000            11.928453159447          6213.448425708211
IPNNCATOOH                   324.198400000000            18.313317787671          9857.248952770391
C1312OOH                     258.310800000000            13.903435533649          7408.321040710180
C916NO3                      231.202600000000            10.330384404920          5256.372312623826
EBENZOLOH                    188.177900000000            11.285709829043          5579.880945500332
IPBZMUCO                     201.196500000000             9.588800309257          4714.214721405778
HO3C116OOH                   204.306500000000            11.241173503660          5734.550217102421
DNEBNZLO2                    293.164500000000            12.747769085236          6571.580938305742
INANCO3H                     256.124400000000            13.659895087014          7069.196071080175
EBENZOLOOH                   204.177300000000            12.592284802796          6434.408229115439
C71OOH                       162.183700000000            10.321367305253          5163.948944363924
NC6PAN1                      294.129300000000            12.074558134411          6293.636840112181
INANPAN                      301.122000000000            12.420031472441          6414.482210829037
TLFUOOH                      148.114000000000            10.871671352899          5618.392571042537
C9DCOOH                      184.189200000000             9.542990266129          4817.665742371456
INB1NBCO3H                   256.124400000000            13.744246111256          7142.273379950513
C827CO2H                     186.205100000000             9.916587032804          5011.679760278875
EMPONO2OOH                   263.201400000000            14.821358515277          7811.561947431253
TM123BPOOH                   202.204500000000            10.361892866624          5166.092391162944
TM124OLOOH                   218.203900000000            12.467897439462          6355.628660954083
EBZMUCCO2H                   170.162600000000            10.285735818576          5184.679972821374
MXYQOOH                      186.162000000000            11.743730152587          6101.777017157292
HO36C11                      188.307100000000            10.229161536804          5072.226220319301
HO36C10                      174.280500000000             9.818224813738          4798.064031564681
C1213OH                      260.283600000000            17.202105547673          9283.059342144095
DNCRESO                      263.138500000000            12.686589907532          6549.046102117436
C7MJPCO3H                    216.188000000000            12.220924864120          6367.453409240593
C1213O2                      275.275100000000            13.272223449143          6985.828767036948
OXYQOH                       170.162600000000            10.611005400844          5383.494151755932
C133CO                       256.294900000000            12.244217365715          6504.898179564296
C151OOH                      302.363300000000            18.407501505481          9986.285875383026
H134M3C5                     134.173600000000            10.150089803022          4900.913881891009
BCLKCO                       253.314100000000             9.017953851216          4546.521649967392
C6COOHCO3H                   188.134800000000            11.616491234258          5943.568191293482
