#Compound                    Mass                        parameter_A              parameter_B
C917NO3                      215.203200000000             8.919282185662          4459.775873711376
C731OOH                      160.167800000000             9.372657760934          4620.622310829800
NC524OOH                     213.142700000000            17.441806319773          9345.654373908905
C925OOH                      220.219700000000            15.224399334002          8156.118384105514
H14CO23C4                    118.088000000000             9.874137346636          4958.000814195702
H3C2C4CO2H                   132.114600000000            10.171189463650          5007.165903813547
H3C25CCO3H                   190.150700000000            11.377515549948          5816.690200395976
C823OOH                      174.194400000000            11.398283795763          5792.890532576000
C88OOH                       172.178500000000             9.055498746552          4509.957814309852
HNC524CO                     195.127500000000            13.890539981197          7217.327613753780
NPHENOOH                     221.121700000000            12.096663447218          6153.955696261478
C57NO3                       179.128100000000            11.245107009243          5615.705931463060
C716OOH                      174.151300000000            10.229898261765          5186.375040835838
C629OOH                      162.140600000000            11.251034440210          5738.201358047810
C920CO3H                     216.231000000000            11.359573794244          5835.072563343822
LIMCOH                       170.248700000000             9.446701633797          4636.356346642099
PXYFUOOH                     148.114000000000            10.867826490389          5616.919072619324
C735OOH                      174.151300000000            10.513038232858          5318.495377427947
CO25C6CO2H                   158.151900000000             9.672539178453          4833.169408184342
C88PAN                       245.186100000000             9.337907706689          4690.380780580781
LIMBOOH                      186.248100000000             9.870207557992          4887.809143986075
C733OOH                      176.167200000000            11.708906713136          6030.837499893868
C918CO3H                     200.231600000000            10.123558840741          5031.401739031021
DNPHEN                       184.106400000000             9.214605478976          4684.247700584683
C617CO2H                     158.151900000000             9.415424960891          4625.341675826213
NDNCRESO2                    324.135400000000            12.493360989053          6448.569066263856
C510OH                       179.128100000000            10.966725432677          5407.972489069177
DNPHENO                      249.111900000000            12.499656426386          6429.424859223357
C919OH                       186.205100000000             9.922953150619          4955.543962907364
C4MALOHOOH                   148.114000000000            11.064981574268          5535.983905055013
MVKOHBOOH                    136.103300000000            12.804450105937          6685.311870283226
DNCRESO2                     279.137900000000            12.282100044104          6274.598046214235
C534OOH                      180.112800000000            13.138867380068          6761.150674258835
INAHPCO3H                    227.126300000000            14.763600697378          7730.342438153206
C916NO3                      231.202600000000            10.326992729373          5255.069580552669
INANCO3H                     256.124400000000            13.655029669498          7067.331869663774
NC6PAN1                      294.129300000000            12.070091956037          6291.927644454669
INANPAN                      301.122000000000            12.415653151971          6412.804101319796
TLFUOOH                      148.114000000000            10.867826490389          5616.919072619324
C9DCOOH                      184.189200000000             9.539964828361          4816.502504896408
INB1NBCO3H                   256.124400000000            13.739244351260          7140.358227582950
DNCRESO                      263.138500000000            12.682128245369          6547.335924670335
C6COOHCO3H                   188.134800000000            11.612578456546          5942.066441459900
HOHOC4DIAL                   118.088000000000             9.922646324539          4755.531776974816
TLEMUCOOH                    190.150700000000            12.646150592842          6574.374490130956
LMLKBOOH                     202.204500000000            11.136626808711          5762.973114918545
C57OH                        134.130500000000            10.932209947567          5374.993027513174
MNNCATECO                    279.137900000000            13.064326294418          6725.778994684850
NAPINBOOH                    231.245700000000            10.280190520353          5194.090282903685
C717OOH                      174.151300000000            10.229898261765          5186.375040835838
C826OH                       174.194400000000            11.171922283296          5652.213019321716
C87PAN                       261.185500000000            10.217171191099          5225.849331855502
C57NO3PAN                    256.124400000000            12.249558144098          6290.490075495813
INB1NBPAN                    301.122000000000            12.466999430452          6464.402747664572
C812O                        173.186400000000             9.928867324220          4837.916333903540
MMALNAPAN                    254.108500000000            11.033732836216          5569.057511249009
NORPINIC                     172.178500000000            10.817620825384          5506.399973620302
INAOOH                       197.143300000000            13.852551087499          7208.165656548627
HMVKBOOH                     120.103900000000             9.570038857457          4712.387900436888
C5DICAROOH                   148.114000000000            10.698741215863          5357.534823509754
C918OOH                      186.205100000000             9.607920981347          4787.215733565270
BPINAOOH                     186.248100000000            10.472687466206          5316.283196804981
MMALNACO3H                   209.111000000000            12.063269190439          6106.784679741688
C812OOH                      190.193800000000            13.857031236179          7262.166360598064
C734OH                       176.167200000000            13.725707419264          7183.703482328709
HMVKNO3                      165.101500000000            11.578213504224          5911.486553935317
PHENOH                       160.124700000000            10.668512730561          5165.583748145010
INB1NACO2H                   240.125000000000            14.464965096874          7577.057073564987
C734O2                       191.158600000000            10.360738186292          5107.286305527013
INB1CO                       179.128100000000            11.222713047323          5691.464226108091
MALDIALOOH                   134.087400000000            10.962056834601          5466.594562996115
HIEB2OOH                     166.129300000000            15.307265481425          8083.301448336675
LIMCOOH                      186.248100000000            10.609178939038          5396.280495981300
BPINCOH                      170.248700000000             9.446701633797          4636.356346642099
NDNCRESO                     308.136000000000            12.866592418306          6697.556373262772
LMLKAOOH                     202.204500000000            10.854007675288          5585.383484395083
C520OOH                      148.114000000000            10.786302814165          5440.480947651195
C614OOH                      162.140600000000            11.117611435367          5717.606362549519
INAHCO3H                     211.126900000000            13.273327320158          6785.121814602450
NDNPHENO                     294.109500000000            12.680270369191          6577.689841265060
C727CO3H                     188.177900000000             9.326987385971          4625.705926448341
C925O                        203.212400000000            10.880814400431          5569.891690502913
INCOOH                       197.143300000000            13.602691163249          7053.437000116541
NNCATECO2                    281.110700000000            12.308173016846          6219.124091068354
NPHENOH                      205.122300000000            10.859315225019          5341.199702260153
C57NO3CO3H                   211.126900000000            13.607456364995          7018.092855205909
C823OH                       158.195000000000            10.422082001441          5172.934472182565
C817CO3H                     202.204500000000             9.751272084441          4901.499729471478
C6CO2OHPAN                   233.132400000000            10.793737772286          5500.519644131002
MACRNBCO3H                   165.101500000000            11.113126193624          5485.381638348038
NPHEN1OOH                    155.108200000000             9.391211602772          4711.662371642922
C811NO3                      203.192500000000            10.248188995602          5105.952279454252
INDHCO3H                     211.126900000000            13.371939838940          6871.001882446414
HIEB2O2                      165.121400000000            10.433454217515          5009.058552077474
NDNPHENOOH                   311.116800000000            17.004824889122          9133.950727260293
C517CO2H                     146.141200000000            10.699476102653          5381.841940638495
BZEMUCNO3                    205.122300000000            11.644123559211          5936.507617886994
HMVKBCO2H                    132.114600000000            10.246033542071          5087.983635227868
INCNCO3H                     256.124400000000            13.432184955449          6929.527261515217
HOCO3C4OOH                   120.103900000000             9.859795068347          4905.417674476221
MVKOHAOH                     120.103900000000            11.504572021901          5865.858499753393
C4M2ALOHNO3                  177.112200000000            10.194823966654          4999.617938419802
C106OH                       200.231600000000             9.862191856029          4966.254785799498
C813O2                       205.185200000000            10.584275393392          5273.384186875536
MACRNCO3H                    181.100900000000            11.021533548248          5463.514388328302
DNCRESOOH                    280.145800000000            17.100398755902          9169.046364762144
APINBOOH                     186.248100000000             9.950307220837          4949.508683177527
C2OHOCOOH                    122.076700000000            10.813700529816          5282.803123472912
C58NO3                       179.128100000000            11.245107009243          5615.705931463060
C810OOH                      174.194400000000             9.921589733125          4952.995482495017
C527OOH                      166.129300000000            13.581268950104          7093.654034906164
APINCOOH                     186.248100000000            10.266665433271          5144.166906047820
C512CO2H                     144.125300000000             9.625869394868          4735.017469015977
INB1NACHO                    224.125600000000            11.393362730815          5760.009772270106
C921O                        187.213000000000             9.757602812204          4837.924353962315
C88CO2H                      184.189200000000            10.064975165523          5119.256204233579
H1C23C4PAN                   207.095100000000            10.268762785339          5176.157951758364
PBZQOH                       142.109400000000            10.216114423458          5143.867095621174
INANO3                       226.141500000000            12.747630307019          6535.940589158047
APINANO3                     215.246300000000             9.376972312410          4597.732040105339
C811PAN                      247.202000000000            10.452343869321          5275.632393364116
C87OOH                       188.177900000000            10.683269807726          5464.119553239866
C719NO3                      205.165300000000            11.647442856740          5933.412465520026
HMACROH                      120.103900000000            11.467147240691          5750.206307156683
