#Compound                    Mass                        parameter_A              parameter_B
NC524OOH                     213.142700000000            17.441806319773          9345.654373908905
C925OOH                      220.219700000000            15.224399334002          8156.118384105514
HNC524CO                     195.127500000000            13.890539981197          7217.327613753780
NDNCRESO2                    324.135400000000            12.493360989053          6448.569066263856
DNPHENO                      249.111900000000            12.499656426386          6429.424859223357
MVKOHBOOH                    136.103300000000            12.804450105937          6685.311870283226
C534OOH                      180.112800000000            13.138867380068          6761.150674258835
INAHPCO3H                    227.126300000000            14.763600697378          7730.342438153206
INANCO3H                     256.124400000000            13.655029669498          7067.331869663774
NC6PAN1                      294.129300000000            12.070091956037          6291.927644454669
INANPAN                      301.122000000000            12.415653151971          6412.804101319796
INB1NBCO3H                   256.124400000000            13.739244351260          7140.358227582950
DNCRESO                      263.138500000000            12.682128245369          6547.335924670335
TLEMUCOOH                    190.150700000000            12.646150592842          6574.374490130956
MNNCATECO                    279.137900000000            13.064326294418          6725.778994684850
INB1NBPAN                    301.122000000000            12.466999430452          6464.402747664572
INAOOH                       197.143300000000            13.852551087499          7208.165656548627
C812OOH                      190.193800000000            13.857031236179          7262.166360598064
C734OH                       176.167200000000            13.725707419264          7183.703482328709
INB1NACO2H                   240.125000000000            14.464965096874          7577.057073564987
HIEB2OOH                     166.129300000000            15.307265481425          8083.301448336675
NDNCRESO                     308.136000000000            12.866592418306          6697.556373262772
INAHCO3H                     211.126900000000            13.273327320158          6785.121814602450
NDNPHENO                     294.109500000000            12.680270369191          6577.689841265060
INCOOH                       197.143300000000            13.602691163249          7053.437000116541
C57NO3CO3H                   211.126900000000            13.607456364995          7018.092855205909
INDHCO3H                     211.126900000000            13.371939838940          6871.001882446414
NDNPHENOOH                   311.116800000000            17.004824889122          9133.950727260293
INCNCO3H                     256.124400000000            13.432184955449          6929.527261515217
DNCRESOOH                    280.145800000000            17.100398755902          9169.046364762144
C527OOH                      166.129300000000            13.581268950104          7093.654034906164
INANO3                       226.141500000000            12.747630307019          6535.940589158047
C621OOH                      178.140000000000            14.271838086244          7587.269254032974
MMALNBCO2H                   193.111600000000            12.734377453194          6519.801373439158
C536OOH                      182.042600000000            14.792038938762          7827.055960995753
HMACROOH                     136.103300000000            12.961438127481          6715.311401922682
C525OOH                      166.129300000000            15.723605361568          8396.326576719930
NC61CO3H                     249.131800000000            12.633231418789          6598.629847466309
DNPHENOOH                    266.119200000000            16.924724376914          9064.359875135046
C516OOH                      164.113400000000            14.456796581698          7642.914043178064
INB1HPCO3H                   227.126300000000            14.878852103951          7820.318704754074
C734CO                       174.151300000000            12.117089025251          6297.025321239030
MNCATECO                     234.140300000000            12.860452160661          6551.293997048983
INB1OH                       181.143900000000            12.722985263056          6508.827014666731
C535OOH                      180.112800000000            13.138867380068          6761.150674258835
NORLIMOOH                    204.220300000000            12.411073438507          6482.435338634388
NC524O                       196.135400000000            12.659171463711          6472.471382883914
NNCATECO                     265.111300000000            12.690146163877          6484.724456444407
NC72OOH                      233.132400000000            12.533252728162          6599.474443759130
C732OOH                      176.167200000000            12.231222308977          6340.469166535191
KLIMONIC                     188.177900000000            12.786212165455          6694.154545904817
C58NO3CO2H                   195.127500000000            14.395454175577          7501.000993578730
HPNC524CO                    211.126900000000            15.496088427393          8213.650751600422
LIMALOOH                     218.246900000000            12.896730108900          6782.124828281171
C813OH                       190.193800000000            13.704909363792          7182.386276848085
HPC52CO3H                    198.128100000000            16.143305893609          8559.880734955017
C813NO3                      235.191300000000            14.034844626910          7407.913130081914
INAHPCO2H                    211.126900000000            15.619402250506          8247.099974674053
INANCO2H                     240.125000000000            14.363574930538          7495.005075596855
INB1NBCO2H                   240.125000000000            14.464965096874          7577.057073564987
C921OOH                      204.220300000000            13.695596019725          7229.754901465559
C734OOH                      192.166600000000            15.095826543839          8026.842674242020
NNCATECOOH                   282.118600000000            17.013889270325          9074.471053131003
NDNCRESOOH                   325.143400000000            17.196228208192          9247.836185200098
NC524NO3                     242.140900000000            15.946022446021          8459.262007355797
NC102OOH                     261.228600000000            12.344077959950          6509.227363429935
C826OOH                      190.193800000000            12.507145865448          6505.955658677927
BZEMUCOOH                    176.124100000000            12.668399540896          6557.535799972514
C719OOH                      176.167200000000            12.664829422881          6559.456634380724
C730OOH                      178.183100000000            13.453519841901          7041.062325151647
C59OOH                       150.129900000000            12.306663941138          6372.084676675999
MNNCATCOOH                   296.145200000000            17.453050380404          9338.468678811643
NCATECOOH                    237.121100000000            16.921239459022          8994.805326996971
MMALNACO2H                   193.111600000000            12.734377453194          6519.801373439158
INB1NACO3H                   256.124400000000            13.739244351260          7140.358227582950
INB2OOH                      197.143300000000            13.852551087499          7208.165656548627
C98OOH                       204.220300000000            12.023481581736          6285.642195206996
MVKOHAOOH                    136.103300000000            12.351244505077          6383.666533465104
C813OOH                      206.193200000000            15.330354615308          8175.741936638199
INAHCO2H                     195.127500000000            14.018228925482          7244.488158487748
C526OOH                      166.129300000000            13.581268950104          7093.654034906164
INDOOH                       197.143300000000            13.969823488187          7301.456598422043
C825OOH                      190.193800000000            14.029192099971          7362.710525975901
INCNCO2H                     240.125000000000            14.123328891084          7347.338814509749
C625OOH                      164.156500000000            12.801942917380          6676.020244281759
INANCOCO2H                   238.109100000000            12.838449964411          6666.922788455588
INAHPPAN                     272.123800000000            13.311803899096          6941.160748039522
C57NO3CO2H                   195.127500000000            14.395454175577          7501.000993578730
C820OOH                      204.177300000000            12.859909226463          6792.655700462963
INB1OOH                      197.143300000000            13.969823488187          7301.456598422043
INDHPPAN                     272.123800000000            13.384943174664          7004.921725081462
C825OH                       174.194400000000            12.779758011650          6572.393113641865
C537OOH                      182.042600000000            14.792038938762          7827.055960995753
INB1HPPAN                    272.123800000000            13.384943174664          7004.921725081462
HPC52OOH                     166.129300000000            13.451099700344          6991.563092016558
C58NO3CO3H                   211.126900000000            13.607456364995          7018.092855205909
NC524OH                      197.143300000000            15.655401579864          8262.883890800755
INB1NAPAN                    301.122000000000            12.466999430452          6464.402747664572
INDHPCO3H                    227.126300000000            14.878852103951          7820.318704754074
INB1NO3                      226.141500000000            12.831033479087          6610.750735192963
DNC524CO                     240.125000000000            14.223170221104          7453.951396419391
C922OOH                      220.219700000000            15.224399334002          8156.118384105514
C623OOH                      164.156500000000            12.976785461071          6744.558194615604
HIEB1OOH                     166.129300000000            15.609805371536          8267.192417415565
C728OOH                      178.183100000000            13.453519841901          7041.062325151647
INB1HPCO2H                   211.126900000000            15.757573834625          8348.726209815984
MNCATECOOH                   251.147700000000            17.351847564226          9254.652323203769
R_HOM_O9                     279.000000000000             7.447700000000          4946.878494981380
R_HOM_O10                    295.000000000000             8.445400000000          5690.514233732378
R_HOM_O11                    311.000000000000             7.440400000000          5670.081166981672
R_HOM_O12                    327.000000000000             8.438200000000          6413.716809292260
R_HOM_O13                    343.000000000000             7.433200000000          6393.283824468810
R_HOM_O14                    359.000000000000             9.979400000000          7317.856447586756
HOM_O7CBN                    246.000000000000             7.447700000000          4946.878494981380
HOM_O8CBN                    262.000000000000             6.442700000000          4926.445463187450
HOM_O9CBN                    278.000000000000             7.440400000000          5670.081166981672
HOM_O10CBN                   294.000000000000             6.435500000000          5649.648141097980
HOM_O11CBN                   310.000000000000             7.433200000000          6393.283824468810
HOM_O12CBN                   326.000000000000             6.428300000000          6372.850703233669
HOM_O13CBN                   342.000000000000             8.974400000000          7297.423348300929
HOM_O4                       200.000000000000             8.995500000000          5375.561240424230
HOM_O5                       216.000000000000             8.281500000000          5237.949558516836
HOM_O6                       232.000000000000             7.276500000000          5217.516592539411
HOM_O7                       248.000000000000             9.159400000000          5828.125841489220
HOM_O8                       264.000000000000             8.154400000000          5807.692798681092
HOM_O9                       280.000000000000             9.152200000000          6551.328543649271
HOM_O10                      296.000000000000             8.147200000000          6530.895461989529
HOM_O11                      312.000000000000             9.145000000000          7274.531107875011
HOM_O12                      328.000000000000             8.140000000000          7254.098068612531
HOM_O13                      344.000000000000            10.686200000000          8178.670685174243
HOM_O14                      360.000000000000             9.972200000000          8041.059008730548
HOM_NO7                      261.000000000000             9.422900000000          5576.389834793351
HOM_NO8                      277.000000000000             7.874500000000          5395.452841491132
HOM_NO9                      293.000000000000             8.907300000000          5754.279990315709
HOM_NO10                     309.000000000000             7.902400000000          5733.846950244939
HOM_NO11                     325.000000000000             8.900100000000          6477.482654549960
HOM_NO12                     341.000000000000             7.895100000000          6457.049563148399
HOM_NO13                     357.000000000000             8.892900000000          7200.685213304157
HOM_NO14                     373.000000000000             7.887900000000          7180.252167454634
HOM_NO15                     389.000000000000            10.434100000000          8104.824873757169
HOM20_O5                     350.000000000000            11.529500000000          6866.828990500529
HOM20_O6                     366.000000000000            10.326200000000          6530.894084432421
HOM20_O7                     382.000000000000             9.519600000000          6825.962901885379
HOM20_O8                     398.000000000000             8.805600000000          6688.351203514803
HOM20_O9                     414.000000000000            11.060800000000          7730.102502500320
HOM20_O10                    430.000000000000            10.346800000000          7592.490793900314
HOM20_O11                    446.000000000000            11.053600000000          8453.305076263192
HOM20_O12                    462.000000000000            10.339600000000          8315.693427042825
HOM20_O13                    478.000000000000            11.046300000000          9176.507666635012
HOM20_O14                    494.000000000000            10.332300000000          9038.896065765815
HOM20_O15                    510.000000000000            11.582600000000         10060.214241247008
HOM20_O16                    526.000000000000            11.873500000000          9943.035651621756
HOM20_O17                    542.000000000000            12.580300000000         10803.849939180102
HOM20_NO7                    397.000000000000            11.277400000000          6792.983081151511
HOM20_NO8                    413.000000000000            10.272400000000          6772.549983116889
HOM20_NO9                    429.000000000000            11.270200000000          7516.185702734298
HOM20_NO10                   445.000000000000            11.977000000000          8376.999985519778
HOM20_NO11                   461.000000000000            11.298000000000          7854.579847911560
HOM20_NO12                   477.000000000000            12.004800000000          8715.394106810556
HOM20_NO13                   493.000000000000            11.290800000000          8577.782424045932
HOM20_NO14                   509.000000000000            11.997600000000          9438.596762236768
HOM20_NO15                   525.000000000000            11.283600000000          9300.985076879726
HOM20_NO16                   541.000000000000            11.827100000000          9461.488975185062
HOM20_NO17                   557.000000000000            12.824800000000         10205.124648774896
HOM20_NO18                   573.000000000000            11.819845262832         10184.691609999998
HOM19_O5                     336.000000000000            11.111141834271          6615.139161000002
HOM19_O6                     352.000000000000             9.907791708903          6279.204282000003
HOM19_O7                     368.000000000000             9.101206675543          6574.273068000000
HOM19_O8                     384.000000000000             8.387210622699          6436.661388000000
HOM19_O9                     400.000000000000            10.642416977297          7478.412658999999
HOM19_O10                    416.000000000000             9.928420938730          7340.800985000003
HOM19_O11                    432.000000000000            10.635195160657          8201.615312999998
HOM19_O12                    448.000000000000             9.921199227026          8064.003668000001
HOM19_O13                    464.000000000000            10.627973390332          8924.817983000006
HOM19_O14                    480.000000000000             9.913977301525          8787.206291000006
HOM19_O15                    496.000000000000            11.164215896100          9808.524465000000
HOM19_O16                    512.000000000000            11.455187648744          9691.345899000000
HOM19_O17                    528.000000000000            12.161961789254         10552.160199999998
HOM19_O18                    544.000000000000            11.483038782566         10029.739969999999
HOM19_NO8                    399.000000000000             9.854088589470          6520.860315000002
HOM19_NO9                    415.000000000000            10.851834140623          7264.495953000000
HOM19_NO10                   431.000000000000            11.558608023365          8125.310192000001
HOM19_NO11                   447.000000000000            10.879685534204          7602.890106000003
HOM19_NO12                   463.000000000000            11.586459340429          8463.704318000002
HOM19_NO13                   479.000000000000            10.872463582217          8326.092721000003
HOM19_NO14                   495.000000000000            11.579237547128          9186.906973000001
HOM19_NO15                   511.000000000000            10.865241537561          9049.295310000001
HOM19_NO16                   527.000000000000            11.408706053004          9209.799196999998
HOM19_NO17                   543.000000000000            12.406451756060          9953.434875999999
HOM19_NO18                   559.000000000000            11.401484391823          9933.001887999997
HOM18_O5                     322.000000000000            10.692781030147          6363.449463999998
HOM18_O6                     338.000000000000             9.489430555029          6027.514486000002
HOM18_O7                     354.000000000000             8.682845663631          6322.583322000001
HOM18_O8                     370.000000000000             7.968849585146          6184.971624999997
HOM18_O9                     386.000000000000            10.224056083051          7226.722938000000
HOM18_O10                    402.000000000000             9.510060074961          7089.111274000000
HOM18_O11                    418.000000000000            10.216834100021          7949.925546999999
HOM18_O12                    434.000000000000             9.502837949447          7812.313833999999
HOM18_O13                    450.000000000000            10.209612113375          8673.128155999999
HOM18_O14                    466.000000000000             9.495616059625          8535.516466999994
HOM18_O15                    482.000000000000            10.745854837618          9556.834699000003
HOM18_O16                    498.000000000000            11.036826654151          9439.656143000004
HOM18_O17                    514.000000000000            11.743600702498         10300.470429999998
HOM18_O18                    530.000000000000            11.064677757003          9778.050209999994
HOM18_NO9                    401.000000000000            10.433472955111          7012.806156000000
HOM18_NO10                   417.000000000000            11.140247340462          7873.620527999998
HOM18_NO11                   433.000000000000            10.461324277670          7351.200279999999
HOM18_NO12                   449.000000000000            11.168098416269          8212.014586000001
HOM18_NO13                   465.000000000000            10.454102443462          8074.402940999998
HOM18_NO14                   481.000000000000            11.160876584283          8935.217239999998
HOM18_NO15                   497.000000000000            10.446880432589          8797.605530000001
HOM18_NO16                   513.000000000000            10.990345051969          8958.109447000003
HOM18_NO17                   529.000000000000            11.988090787699          9701.745136000001
HOM18_NO18                   545.000000000000            10.983123271250          9681.312108000007
HOM18_NO19                   561.000000000000            11.980868781626         10424.947729999998
R_HOM_OH_O6                  233.000000000000             9.678300000000          5637.296609034431
R_HOM_OH_O8                  265.000000000000             7.885400000000          5220.698708371651
R_HOM_OH_O9                  281.000000000000             7.171400000000          5083.087071016968
R_HOM_OH_O10                 297.000000000000             7.878200000000          5943.901299290477
HOM_OH_O5CBN                 216.000000000000             8.673300000000          5616.863495242180
HOM_OH_O7CBN                 248.000000000000             6.880400000000          5200.265671715770
HOM_OH_O8CBN                 264.000000000000             6.166400000000          5062.653994115303
HOM_OH_O9CBN                 280.000000000000             6.873200000000          5923.468267152739
HOM_OH_O4                    202.000000000000             9.388400000000          5583.298432707728
HOM_OH_O5                    218.000000000000            10.385000000000          6498.110924830322
HOM_OH_O6                    234.000000000000             7.885400000000          5220.698708371651
HOM_OH_O7                    250.000000000000             8.592200000000          6081.513024673880
HOM_OH_O8                    266.000000000000             7.878200000000          5943.901299290477
HOM_OH_O9                    282.000000000000             6.874300000000          5752.291487092438
HOM_OH_O10                   298.000000000000             7.581100000000          6613.105809404990
HOM_OH_NO6                   247.000000000000             9.426200000000          5563.450659825250
HOM_OH_NO7                   263.000000000000            10.133000000000          6424.264975792521
HOM_OH_NO8                   279.000000000000             7.633300000000          5146.852915402638
HOM_OH_NO9                   295.000000000000             8.340100000000          6007.667093210471
HOM_OH_NO10                  311.000000000000             7.626100000000          5870.055494914422
HOM_OH_NO11                  327.000000000000             8.332800000000          6730.869731572418
HOM20_OH_O6                  370.000000000000            10.067400000000          6802.350920462141
HOM20_OH_O7                  386.000000000000             9.352300000000          6835.915983981291
HOM20_OH_O8                  402.000000000000             8.564400000000          6439.751255664891
HOM20_OH_O9                  418.000000000000             9.271100000000          7300.565495321951
HOM20_OH_O10                 434.000000000000             8.557100000000          7162.953778591419
HOM20_OH_O11                 450.000000000000             9.263900000000          8023.768133039181
HOM20_OH_O12                 466.000000000000             9.970700000000          8884.582391188318
HOM20_OH_O13                 482.000000000000             9.256700000000          8746.970740127010
HOM20_OH_NO8                 417.000000000000            10.105200000000          6782.503160202639
HOM20_OH_NO9                 433.000000000000            10.811900000000          7643.317481560644
HOM20_OH_NO10                449.000000000000             9.019100000000          7226.719618990120
HOM20_OH_NO11                465.000000000000             9.019100000000          7226.719618990120
HOM20_OH_NO12                481.000000000000             9.725800000000          8087.533942700378
HOM20_OH_NO13                497.000000000000             9.011800000000          7949.922245757200
HOM20_OH_NO14                513.000000000000             9.718605110928          8810.736525999997
HOM19_OH_O6                  356.000000000000             9.649060031138          6550.661133000001
HOM19_OH_O7                  372.000000000000             8.933921563969          6584.226199000005
HOM19_OH_O8                  388.000000000000             8.146003533586          6188.061368000001
HOM19_OH_O9                  404.000000000000             8.852777808888          7048.875717000001
HOM19_OH_O10                 420.000000000000             8.138781856227          6911.264058999999
HOM19_OH_O11                 436.000000000000             8.845555747084          7772.078295000006
HOM19_OH_O12                 452.000000000000             9.552329881749          8632.892600999994
HOM19_OH_O13                 468.000000000000             8.838333897842          8495.280935999999
HOM19_OH_O14                 484.000000000000             9.545108025643          9356.095242000001
HOM19_OH_NO9                 419.000000000000            10.393577625227          7391.627755000003
HOM19_OH_NO10                435.000000000000             9.388609849218          7371.194648999999
HOM19_OH_NO11                451.000000000000             8.600692158131          6975.029914999999
HOM19_OH_NO12                467.000000000000             9.307466088432          7835.844162000004
HOM19_OH_NO13                483.000000000000             8.593470181772          7698.232529999997
HOM19_OH_NO14                499.000000000000             9.300243739625          8559.046665000002
HOM18_OH_O5                  326.000000000000            10.235666582074          6319.404420000003
