#Compound                    Mass               C   O   N   H   S  Cl  Br
MNNCATECO2                   295.137300000000   8   6   1  13   0   0   0
HMVKBCO3H                    148.114000000000   9   5   1  13   0   0   0
APINBOOH                     186.248100000000   6   4   0  10   0   0   0
C919NO3                      231.202600000000   8   3   0  12   0   0   0
C58NO3                       179.128100000000   3   4   1   5   0   0   0
C527OOH                      166.129300000000   7   5   0   9   0   0   0
C629OH                       146.141200000000   7  11   2   7   0   0   0
C733OOH                      176.167200000000   4   3   0   8   0   0   0
APINCOOH                     186.248100000000   2   2   0   6   0   0   0
MACROOH                      120.103900000000   4   3   0   8   0   0   0
NC91PAN                      290.226800000000   4   2   0   6   0   0   0
C510OH                       179.128100000000   2   5   1   5   0   0   0
C917NO3                      215.203200000000   8   6   0  11   0   0   0
PINONIC                      184.232200000000   6   7   1   4   0   0   0
C109OH                       184.232200000000   4   4   0   7   0   0   0
C731OOH                      160.167800000000   6   4   0  11   0   0   0
C512CO2H                     144.125300000000   7   7   1   9   0   0   0
DHPMPAL                      136.103300000000   9   7   1  13   0   0   0
DHPMEK                       136.037100000000   4   3   0   6   0   0   0
INB1NACHO                    224.125600000000   4   3   0   7   0   0   0
NC524OOH                     213.142700000000   8   7   1  12   0   0   0
INB1OOH                      197.143300000000   5   7   1   5   0   0   0
C925OOH                      220.219700000000   7   2   0   6   0   0   0
C921O                        187.213000000000  10   3   0  18   0   0   0
MACRNCO2H                    165.101500000000   5   1   0   8   0   0   0
H3C2C4CO2H                   132.114600000000   5   1   0   8   0   0   0
KLIMONIC                     188.177900000000   9   6   1  13   0   0   0
C98OH                        188.220900000000   5   6   1   9   0   0   0
C88CO2H                      184.189200000000   5   4   0   9   0   0   0
C717NO3                      203.149500000000   6   5   0   9   0   0   0
MMALNBCO3H                   209.111000000000   6   6   1   4   0   0   0
INCNO3                       226.141500000000   4   4   0   4   0   0   0
H1C23C4PAN                   207.095100000000   4   5   0   4   0   0   0
PBZQOH                       142.109400000000   4   4   0   5   0   0   0
INANO3                       226.141500000000   6   2   0  12   0   0   0
PTLQOH                       156.136000000000   3   1   0   5   0   0   0
C821OOH                      174.151300000000   5   6   0  10   0   0   0
C614OH                       146.141200000000   6   4   0  10   0   0   0
H3C25CCO3H                   190.150700000000   0   0   0  78   0   0   0
C823OOH                      174.194400000000   3   4   1   5   0   0   0
C88OOH                       172.178500000000   7   5   0  12   0   0   0
C917OOH                      186.205100000000   4   4   0   6   0   0   0
HIEPOXB                      134.130500000000   3   2   0   6   0   0   0
C86OOH                       174.194400000000   5   3   0  10   0   0   0
CONM2CO2H                    163.085600000000   5   3   0  10   0   0   0
APINANO3                     215.246300000000   5   3   0  10   0   0   0
C924OH                       172.221500000000   4   2   0   6   0   0   0
C920PAN                      261.228600000000  10   3   0  18   0   0   0
C926OH                       186.205100000000   4   4   0   8   0   0   0
C87OOH                       188.177900000000   7   4   0   9   0   0   0
C812OOH                      190.193800000000  10   8   2  14   0   0   0
C922O2                       219.211800000000   7   4   0   7   0   0   0
LMKAOOH                      188.220900000000  10   4   0  15   0   0   0
