#Compound                    Mass               C   O   N   H   S  Cl  Br
NC524OOH                     213.142700000000   5   8   1  11   0   0   0
C925OOH                      220.219700000000   9   6   0  16   0   0   0
HNC524CO                     195.127500000000   5   7   1   9   0   0   0
NDNCRESO2                    324.135400000000   7  12   3   6   0   0   0
DNPHENO                      249.111900000000   6   9   2   5   0   0   0
MVKOHBOOH                    136.103300000000   4   5   0   8   0   0   0
C534OOH                      180.112800000000   5   7   0   8   0   0   0
INAHPCO3H                    227.126300000000   5   9   1   9   0   0   0
INANCO3H                     256.124400000000   5  10   2   8   0   0   0
NC6PAN1                      294.129300000000   7  11   2   6   0   0   0
INANPAN                      301.122000000000   5  12   3   7   0   0   0
INB1NBCO3H                   256.124400000000   5  10   2   8   0   0   0
DNCRESO                      263.138500000000   7   9   2   7   0   0   0
TLEMUCOOH                    190.150700000000   7   6   0  10   0   0   0
MNNCATECO                    279.137900000000   7  10   2   7   0   0   0
INB1NBPAN                    301.122000000000   5  12   3   7   0   0   0
INAOOH                       197.143300000000   5   7   1  11   0   0   0
C812OOH                      190.193800000000   8   5   0  14   0   0   0
C734OH                       176.167200000000   7   5   0  12   0   0   0
INB1NACO2H                   240.125000000000   5   9   2   8   0   0   0
HIEB2OOH                     166.129300000000   5   6   0  10   0   0   0
NDNCRESO                     308.136000000000   7  11   3   6   0   0   0
INAHCO3H                     211.126900000000   5   8   1   9   0   0   0
NDNPHENO                     294.109500000000   6  11   3   4   0   0   0
INCOOH                       197.143300000000   5   7   1  11   0   0   0
C57NO3CO3H                   211.126900000000   5   8   1   9   0   0   0
INDHCO3H                     211.126900000000   5   8   1   9   0   0   0
NDNPHENOOH                   311.116800000000   6  12   3   5   0   0   0
INCNCO3H                     256.124400000000   5  10   2   8   0   0   0
DNCRESOOH                    280.145800000000   7  10   2   8   0   0   0
C527OOH                      166.129300000000   5   6   0  10   0   0   0
INANO3                       226.141500000000   5   8   2  10   0   0   0
C621OOH                      178.140000000000   6   6   0  10   0   0   0
MMALNBCO2H                   193.111600000000   5   7   1   7   0   0   0
C536OOH                      182.042600000000   5   7   0  10   0   0   0
HMACROOH                     136.103300000000   4   5   0   8   0   0   0
C525OOH                      166.129300000000   5   6   0  10   0   0   0
NC61CO3H                     249.131800000000   7   9   1   7   0   0   0
DNPHENOOH                    266.119200000000   6  10   2   6   0   0   0
C516OOH                      164.113400000000   5   6   0   8   0   0   0
INB1HPCO3H                   227.126300000000   5   9   1   9   0   0   0
C734CO                       174.151300000000   7   5   0  10   0   0   0
MNCATECO                     234.140300000000   7   8   1   8   0   0   0
INB1OH                       181.143900000000   5   6   1  11   0   0   0
C535OOH                      180.112800000000   5   7   0   8   0   0   0
NORLIMOOH                    204.220300000000   9   5   0  16   0   0   0
NC524O                       196.135400000000   5   7   1  10   0   0   0
NNCATECO                     265.111300000000   6  10   2   5   0   0   0
NC72OOH                      233.132400000000   7   8   1   7   0   0   0
C732OOH                      176.167200000000   7   5   0  12   0   0   0
KLIMONIC                     188.177900000000   8   5   0  12   0   0   0
C58NO3CO2H                   195.127500000000   5   7   1   9   0   0   0
HPNC524CO                    211.126900000000   5   8   1   9   0   0   0
LIMALOOH                     218.246900000000  10   5   0  18   0   0   0
C813OH                       190.193800000000   8   5   0  14   0   0   0
HPC52CO3H                    198.128100000000   5   8   0  10   0   0   0
C813NO3                      235.191300000000   8   7   1  13   0   0   0
INAHPCO2H                    211.126900000000   5   8   1   9   0   0   0
INANCO2H                     240.125000000000   5   9   2   8   0   0   0
INB1NBCO2H                   240.125000000000   5   9   2   8   0   0   0
C921OOH                      204.220300000000   9   5   0  16   0   0   0
C734OOH                      192.166600000000   7   6   0  12   0   0   0
NNCATECOOH                   282.118600000000   6  11   2   6   0   0   0
NDNCRESOOH                   325.143400000000   7  12   3   7   0   0   0
NC524NO3                     242.140900000000   5   9   2  10   0   0   0
NC102OOH                     261.228600000000  10   7   1  15   0   0   0
C826OOH                      190.193800000000   8   5   0  14   0   0   0
BZEMUCOOH                    176.124100000000   6   6   0   8   0   0   0
C719OOH                      176.167200000000   7   5   0  12   0   0   0
C730OOH                      178.183100000000   7   5   0  14   0   0   0
C59OOH                       150.129900000000   5   5   0  10   0   0   0
MNNCATCOOH                   296.145200000000   7  11   2   8   0   0   0
NCATECOOH                    237.121100000000   6   9   1   7   0   0   0
MMALNACO2H                   193.111600000000   5   7   1   7   0   0   0
INB1NACO3H                   256.124400000000   5  10   2   8   0   0   0
INB2OOH                      197.143300000000   5   7   1  11   0   0   0
C98OOH                       204.220300000000   9   5   0  16   0   0   0
MVKOHAOOH                    136.103300000000   4   5   0   8   0   0   0
C813OOH                      206.193200000000   8   6   0  14   0   0   0
INAHCO2H                     195.127500000000   5   7   1   9   0   0   0
C526OOH                      166.129300000000   5   6   0  10   0   0   0
INDOOH                       197.143300000000   5   7   1  11   0   0   0
C825OOH                      190.193800000000   8   5   0  14   0   0   0
INCNCO2H                     240.125000000000   5   9   2   8   0   0   0
C625OOH                      164.156500000000   6   5   0  12   0   0   0
INANCOCO2H                   238.109100000000   5   9   2   6   0   0   0
INAHPPAN                     272.123800000000   5  11   2   8   0   0   0
C57NO3CO2H                   195.127500000000   5   7   1   9   0   0   0
C820OOH                      204.177300000000   8   6   0  12   0   0   0
INB1OOH                      197.143300000000   5   7   1  11   0   0   0
INDHPPAN                     272.123800000000   5  11   2   8   0   0   0
C825OH                       174.194400000000   8   4   0  14   0   0   0
C537OOH                      182.042600000000   5   7   0  10   0   0   0
INB1HPPAN                    272.123800000000   5  11   2   8   0   0   0
HPC52OOH                     166.129300000000   5   6   0  10   0   0   0
C58NO3CO3H                   211.126900000000   5   8   1   9   0   0   0
NC524OH                      197.143300000000   5   7   1  11   0   0   0
INB1NAPAN                    301.122000000000   5  12   3   7   0   0   0
INDHPCO3H                    227.126300000000   5   9   1   9   0   0   0
INB1NO3                      226.141500000000   5   8   2  10   0   0   0
DNC524CO                     240.125000000000   5   9   2   8   0   0   0
C922OOH                      220.219700000000   9   6   0  16   0   0   0
C623OOH                      164.156500000000   6   5   0  12   0   0   0
HIEB1OOH                     166.129300000000   5   6   0  10   0   0   0
C728OOH                      178.183100000000   7   5   0  14   0   0   0
INB1HPCO2H                   211.126900000000   5   8   1   9   0   0   0
MNCATECOOH                   251.147700000000   7   9   1   9   0   0   0
R_HOM_O9                     279.000000000000  10   9   0  15   0   0   0
R_HOM_O10                    295.000000000000  10  10   0  15   0   0   0
R_HOM_O11                    311.000000000000  10  11   0  15   0   0   0
R_HOM_O12                    327.000000000000  10  12   0  15   0   0   0
R_HOM_O13                    343.000000000000  10  13   0  15   0   0   0
R_HOM_O14                    359.000000000000  10  14   0  15   0   0   0
HOM_O7CBN                    246.000000000000  10   7   0  14   0   0   0
HOM_O8CBN                    262.000000000000  10   8   0  14   0   0   0
HOM_O9CBN                    278.000000000000  10   9   0  14   0   0   0
HOM_O10CBN                   294.000000000000  10  10   0  14   0   0   0
HOM_O11CBN                   310.000000000000  10  11   0  14   0   0   0
HOM_O12CBN                   326.000000000000  10  12   0  14   0   0   0
HOM_O13CBN                   342.000000000000  10  13   0  14   0   0   0
HOM_O4                       200.000000000000  10   4   0  16   0   0   0
HOM_O5                       216.000000000000  10   5   0  16   0   0   0
HOM_O6                       232.000000000000  10   6   0  16   0   0   0
HOM_O7                       248.000000000000  10   7   0  16   0   0   0
HOM_O8                       264.000000000000  10   8   0  16   0   0   0
HOM_O9                       280.000000000000  10   9   0  16   0   0   0
HOM_O10                      296.000000000000  10  10   0  16   0   0   0
HOM_O11                      312.000000000000  10  11   0  16   0   0   0
HOM_O12                      328.000000000000  10  12   0  16   0   0   0
HOM_O13                      344.000000000000  10  13   0  16   0   0   0
HOM_O14                      360.000000000000  10  14   0  16   0   0   0
HOM_NO7                      261.000000000000  10   7   1  15   0   0   0
HOM_NO8                      277.000000000000  10   8   1  15   0   0   0
HOM_NO9                      293.000000000000  10   9   1  15   0   0   0
HOM_NO10                     309.000000000000  10  10   1  15   0   0   0
HOM_NO11                     325.000000000000  10  11   1  15   0   0   0
HOM_NO12                     341.000000000000  10  12   1  15   0   0   0
HOM_NO13                     357.000000000000  10  13   1  15   0   0   0
HOM_NO14                     373.000000000000  10  14   1  15   0   0   0
HOM_NO15                     389.000000000000  10  15   1  15   0   0   0
HOM20_O5                     350.000000000000  20   5   0  30   0   0   0
HOM20_O6                     366.000000000000  20   6   0  30   0   0   0
HOM20_O7                     382.000000000000  20   7   0  30   0   0   0
HOM20_O8                     398.000000000000  20   8   0  30   0   0   0
HOM20_O9                     414.000000000000  20   9   0  30   0   0   0
HOM20_O10                    430.000000000000  20  10   0  30   0   0   0
HOM20_O11                    446.000000000000  20  11   0  30   0   0   0
HOM20_O12                    462.000000000000  20  12   0  30   0   0   0
HOM20_O13                    478.000000000000  20  13   0  30   0   0   0
HOM20_O14                    494.000000000000  20  14   0  30   0   0   0
HOM20_O15                    510.000000000000  20  15   0  30   0   0   0
HOM20_O16                    526.000000000000  20  16   0  30   0   0   0
HOM20_O17                    542.000000000000  20  17   0  30   0   0   0
HOM20_NO7                    397.000000000000  20   7   1  31   0   0   0
HOM20_NO8                    413.000000000000  20   8   1  31   0   0   0
HOM20_NO9                    429.000000000000  20   9   1  31   0   0   0
HOM20_NO10                   445.000000000000  20  10   1  31   0   0   0
HOM20_NO11                   461.000000000000  20  11   1  31   0   0   0
HOM20_NO12                   477.000000000000  20  12   1  31   0   0   0
HOM20_NO13                   493.000000000000  20  13   1  31   0   0   0
HOM20_NO14                   509.000000000000  20  14   1  31   0   0   0
HOM20_NO15                   525.000000000000  20  15   1  31   0   0   0
HOM20_NO16                   541.000000000000  20  16   1  31   0   0   0
HOM20_NO17                   557.000000000000  20  17   1  31   0   0   0
HOM20_NO18                   573.000000000000  20  18   1  31   0   0   0
HOM19_O5                     336.000000000000  19   5   0  28   0   0   0
HOM19_O6                     352.000000000000  19   6   0  28   0   0   0
HOM19_O7                     368.000000000000  19   7   0  28   0   0   0
HOM19_O8                     384.000000000000  19   8   0  28   0   0   0
HOM19_O9                     400.000000000000  19   9   0  28   0   0   0
HOM19_O10                    416.000000000000  19  10   0  28   0   0   0
HOM19_O11                    432.000000000000  19  11   0  28   0   0   0
HOM19_O12                    448.000000000000  19  12   0  28   0   0   0
HOM19_O13                    464.000000000000  19  13   0  28   0   0   0
HOM19_O14                    480.000000000000  19  14   0  28   0   0   0
HOM19_O15                    496.000000000000  19  15   0  28   0   0   0
HOM19_O16                    512.000000000000  19  16   0  28   0   0   0
HOM19_O17                    528.000000000000  19  17   0  28   0   0   0
HOM19_O18                    544.000000000000  19  18   0  28   0   0   0
HOM19_NO8                    399.000000000000  19   8   1  29   0   0   0
HOM19_NO9                    415.000000000000  19   9   1  29   0   0   0
HOM19_NO10                   431.000000000000  19  10   1  29   0   0   0
HOM19_NO11                   447.000000000000  19  11   1  29   0   0   0
HOM19_NO12                   463.000000000000  19  12   1  29   0   0   0
HOM19_NO13                   479.000000000000  19  13   1  29   0   0   0
HOM19_NO14                   495.000000000000  19  14   1  29   0   0   0
HOM19_NO15                   511.000000000000  19  15   1  29   0   0   0
HOM19_NO16                   527.000000000000  19  16   1  29   0   0   0
HOM19_NO17                   543.000000000000  19  17   1  29   0   0   0
HOM19_NO18                   559.000000000000  19  18   1  29   0   0   0
HOM18_O5                     322.000000000000  18   5   0  26   0   0   0
HOM18_O6                     338.000000000000  18   6   0  26   0   0   0
HOM18_O7                     354.000000000000  18   7   0  26   0   0   0
HOM18_O8                     370.000000000000  18   8   0  26   0   0   0
HOM18_O9                     386.000000000000  18   9   0  26   0   0   0
HOM18_O10                    402.000000000000  18  10   0  26   0   0   0
HOM18_O11                    418.000000000000  18  11   0  26   0   0   0
HOM18_O12                    434.000000000000  18  12   0  26   0   0   0
HOM18_O13                    450.000000000000  18  13   0  26   0   0   0
HOM18_O14                    466.000000000000  18  14   0  26   0   0   0
HOM18_O15                    482.000000000000  18  15   0  26   0   0   0
HOM18_O16                    498.000000000000  18  16   0  26   0   0   0
HOM18_O17                    514.000000000000  18  17   0  26   0   0   0
HOM18_O18                    530.000000000000  18  18   0  26   0   0   0
HOM18_NO9                    401.000000000000  18   9   1  27   0   0   0
HOM18_NO10                   417.000000000000  18  10   1  27   0   0   0
HOM18_NO11                   433.000000000000  18  11   1  27   0   0   0
HOM18_NO12                   449.000000000000  18  12   1  27   0   0   0
HOM18_NO13                   465.000000000000  18  13   1  27   0   0   0
HOM18_NO14                   481.000000000000  18  14   1  27   0   0   0
HOM18_NO15                   497.000000000000  18  15   1  27   0   0   0
HOM18_NO16                   513.000000000000  18  16   1  27   0   0   0
HOM18_NO17                   529.000000000000  18  17   1  27   0   0   0
HOM18_NO18                   545.000000000000  18  18   1  27   0   0   0
HOM18_NO19                   561.000000000000  18  19   1  27   0   0   0
R_HOM_OH_O6                  233.000000000000  10   6   0  17   0   0   0
R_HOM_OH_O8                  265.000000000000  10   8   0  17   0   0   0
R_HOM_OH_O9                  281.000000000000  10   9   0  17   0   0   0
R_HOM_OH_O10                 297.000000000000  10  10   0  17   0   0   0
HOM_OH_O5CBN                 216.000000000000  10   5   0  16   0   0   0
HOM_OH_O7CBN                 248.000000000000  10   7   0  16   0   0   0
HOM_OH_O8CBN                 264.000000000000  10   8   0  16   0   0   0
HOM_OH_O9CBN                 280.000000000000  10   9   0  16   0   0   0
HOM_OH_O4                    202.000000000000  10   4   0  18   0   0   0
HOM_OH_O5                    218.000000000000  10   5   0  18   0   0   0
HOM_OH_O6                    234.000000000000  10   6   0  18   0   0   0
HOM_OH_O7                    250.000000000000  10   7   0  18   0   0   0
HOM_OH_O8                    266.000000000000  10   8   0  18   0   0   0
HOM_OH_O9                    282.000000000000  10   9   0  18   0   0   0
HOM_OH_O10                   298.000000000000  10  10   0  18   0   0   0
HOM_OH_NO6                   247.000000000000  10   6   1  17   0   0   0
HOM_OH_NO7                   263.000000000000  10   7   1  17   0   0   0
HOM_OH_NO8                   279.000000000000  10   8   1  17   0   0   0
HOM_OH_NO9                   295.000000000000  10   9   1  17   0   0   0
HOM_OH_NO10                  311.000000000000  10  10   1  17   0   0   0
HOM_OH_NO11                  327.000000000000  10  11   1  17   0   0   0
HOM20_OH_O6                  370.000000000000  20   6   0  34   0   0   0
HOM20_OH_O7                  386.000000000000  20   7   0  34   0   0   0
HOM20_OH_O8                  402.000000000000  20   8   0  34   0   0   0
HOM20_OH_O9                  418.000000000000  20   9   0  34   0   0   0
HOM20_OH_O10                 434.000000000000  20  10   0  34   0   0   0
HOM20_OH_O11                 450.000000000000  20  11   0  34   0   0   0
HOM20_OH_O12                 466.000000000000  20  12   0  34   0   0   0
HOM20_OH_O13                 482.000000000000  20  13   0  34   0   0   0
HOM20_OH_NO8                 417.000000000000  20   8   1  35   0   0   0
HOM20_OH_NO9                 433.000000000000  20   9   1  35   0   0   0
HOM20_OH_NO10                449.000000000000  20  10   1  35   0   0   0
HOM20_OH_NO11                465.000000000000  20  11   1  35   0   0   0
HOM20_OH_NO12                481.000000000000  20  12   1  35   0   0   0
HOM20_OH_NO13                497.000000000000  20  13   1  35   0   0   0
HOM20_OH_NO14                513.000000000000  20  14   1  35   0   0   0
HOM19_OH_O6                  356.000000000000  19   6   0  32   0   0   0
HOM19_OH_O7                  372.000000000000  19   7   0  32   0   0   0
HOM19_OH_O8                  388.000000000000  19   8   0  32   0   0   0
HOM19_OH_O9                  404.000000000000  19   9   0  32   0   0   0
HOM19_OH_O10                 420.000000000000  19  10   0  32   0   0   0
HOM19_OH_O11                 436.000000000000  19  11   0  32   0   0   0
HOM19_OH_O12                 452.000000000000  19  12   0  32   0   0   0
HOM19_OH_O13                 468.000000000000  19  13   0  32   0   0   0
HOM19_OH_O14                 484.000000000000  19  14   0  32   0   0   0
HOM19_OH_NO9                 419.000000000000  19   9   1  33   0   0   0
HOM19_OH_NO10                435.000000000000  19  10   1  33   0   0   0
HOM19_OH_NO11                451.000000000000  19  11   1  33   0   0   0
HOM19_OH_NO12                467.000000000000  19  12   1  33   0   0   0
HOM19_OH_NO13                483.000000000000  19  13   1  33   0   0   0
HOM19_OH_NO14                499.000000000000  19  14   1  33   0   0   0
HOM18_OH_O5                  326.000000000000  18   5   0  30   0   0   0
HOM18_OH_O6                  342.000000000000  18   6   0  30   0   0   0
HOM18_OH_O7                  358.000000000000  18   7   0  30   0   0   0
HOM18_OH_O8                  374.000000000000  18   8   0  30   0   0   0
HOM18_OH_O9                  390.000000000000  18   9   0  30   0   0   0
HOM18_OH_O10                 406.000000000000  18  10   0  30   0   0   0
HOM18_OH_O11                 422.000000000000  18  11   0  30   0   0   0
HOM18_OH_O12                 438.000000000000  18  12   0  30   0   0   0
HOM18_OH_O13                 454.000000000000  18  13   0  30   0   0   0
HOM18_OH_O14                 470.000000000000  18  14   0  30   0   0   0
HOM18_OH_NO10                421.000000000000  18  10   1  31   0   0   0
HOM18_OH_NO11                437.000000000000  18  11   1  31   0   0   0
HOM18_OH_NO12                453.000000000000  18  12   1  31   0   0   0
HOM18_OH_NO13                469.000000000000  18  13   1  31   0   0   0
HOM18_OH_NO14                485.000000000000  18  14   1  31   0   0   0
HOM18_OH_NO15                501.000000000000  18  15   1  31   0   0   0
HOM_nucl                     398.000000000000  20   8   0  30   0   0   0
GENERIC                      437.000000000000  22  30   0   2   0   0   0
