# comp       M       H      rho      class  C  H  O  N  S  Br  Cl  I  Na
H2SO4        98.07   1      1870     2      0  2  4  0  1  0   0   0  0
SVIaq        50.0    1e-9   1.1e3    3      0  0  4  0  1  0   0   0  0
NVaq         17.035  1e-9   1.1e3    2      0  3  0  1  0  0   0   0  0
ClIaq        50.0    1e-9   1.1e3    3      0  0  1  0  0  0   1   0  0
NIIIaq       50.0    1e-9   1.1e3    3      0  0  3  0  0  0   0   0  1
HNO3aq       50.0    1e-9   1.1e3    3      0  1  3  1  0  0   0   0  0
BCaq         50.0    1e-9   1.1e3    3      0  0  0  0  0  0   0   0  0
BXXCaq       50.0    1e-9   1.1e3    3      0  0  0  0  0  0   0   0  0
CH3SO3Iaq    50.0    1e-9   1.1e3    3      0  0  0  0  0  0   0   0  0
HIO3aq       50.0    1e-9   1.1e3    3      0  1  3  0  0  0   0   1  0
HSO4aq       98.07   1e-9   1.1e3    3      0  1  4  0  1  0   0   0  0
Naaq         98.07   1e-9   1.1e3    3      0  0  0  0  0  0   0   0  1
Claq         98.07   1e-9   1.1e3    3      0  0  0  0  0  0   1   0  0
