C918NO3                       9          5          1         13
BCLKBOH                      14          4          0         22
C617OOH                       6          4          0         10
C128OH                       12          4          0         20
BCLKBOC                      14          4          0         22
C823CO                        8          3          0         12
C143O2                       14          5          0         23
BCCOOH                       15          3          0         26
C146CO                       14          4          0         20
C716OH                        7          4          0         10
C1014OH                      10          4          0         18
HMVKBCO3H                     5          5          0          8
C134CO                       13          6          0         18
NOPINANO3                     9          4          1         13
C143OH                       14          4          0         24
C623O                         6          4          0         11
C617PAN                       7          7          1          9
C128O2                       12          5          0         19
C521OOH                       5          5          0          8
BCLKBO2                      14          5          0         21
CHOC3COPAN                    5          7          1          5
APINBOOH                     10          3          0         18
C919NO3                       9          6          1         13
C137CO                       13          3          0         20
C58NO3                        5          6          1          9
BCALOOH                      15          5          0         26
C1014OOH                     10          5          0         18
C59O                          5          4          0          9
BCALOOA                      14          4          0         22
C810OOH                       8          4          0         14
C527OOH                       5          6          0         10
C1010OH                      10          3          0         16
C629OH                        6          4          0         10
C916NO3                       9          6          1         13
C733OOH                       7          5          0         12
IEPOXC                        5          3          0         10
IEPOXB                        5          3          0         10
IEPOXA                        5          3          0         10
APINCOOH                     10          3          0         18
MACROOH                       4          4          0          8
C1012CO                      10          3          0         16
NC91PAN                      10          8          2         14
C510OH                        5          6          1          9
C927OOH                       9          4          0         16
C917NO3                       9          5          1         13
C620OH                        6          4          0          8
CO123C5CHO                    6          4          0          6
C730O                         7          4          0         13
NOPINDOOH                     9          3          0         14
C109OH                       10          3          0         16
C731OOH                       7          4          0         12
C512CO2H                      6          4          0          8
DHPMPAL                       4          5          0          8
DHPMEK                        4          5          0          8
INB1NBCHO                     5          8          2          8
INB1NACHO                     5          8          2          8
NC524OOH                      5          8          1         11
C135OOH                      13          8          0         18
C1211CO2H                    13          5          0         20
C735OH                        7          4          0         10
INB1OOH                       5          7          1         11
C925OOH                       9          6          0         16
C921O                         9          4          0         15
H14CO23C4                     4          4          0          6
H3C2C4CO2H                    5          4          0          8
KLIMONIC                      8          5          0         12
C135O                        13          7          0         17
C98OH                         9          4          0         16
C828OOH                       8          5          0         12
C88CO2H                       9          4          0         12
C1211CO                      12          4          0         18
C826O                         8          4          0         13
MMALNBCO3H                    5          8          1          7
C98O2                         9          5          0         15
INCNO3                        5          8          2         10
H1C23C4PAN                    5          8          1          5
LIMALBCO                     10          3          0         14
C1010OOH                     10          4          0         16
NC826OOH                      8          7          1         13
INANO3                        5          8          2         10
C918PAN                      10          6          1         15
APINBOH                      10          2          0         18
C821OOH                       7          5          0         10
C622OOH                       6          3          0         12
C616OH                        6          4          0          8
C614OH                        6          4          0         10
H3C25CCO3H                    7          6          0         10
C923OOH                       9          3          0         16
LMKBCO                        9          3          0         14
C823OOH                       8          4          0         14
C88OOH                        8          4          0         12
MPRNO3CO2H                    4          5          1          7
C1013CO2H                    11          4          0         18
HIEPOXB                       5          4          0         10
C86OOH                        8          4          0         14
CONM2CO2H                     4          6          1          5
C137NO3                      13          5          1         21
C1215OH                      12          5          0         20
APINANO3                     10          4          1         17
C1011CO2H                    11          3          0         18
C924OH                        9          3          0         16
BCKANO3                      14          5          1         23
C920PAN                      10          7          1         15
LMLKACO                       9          4          0         12
C926OH                        9          4          0         14
C87OOH                        8          5          0         12
C1312O                       13          4          0         21
C812OOH                       8          5          0         14
A2PAN                         3          7          1          5
COHM2CO3H                     4          5          0          6
C922O2                        9          6          0         15
H1C23C4CHO                    5          4          0          6
C1215O2                      12          6          0         19
LMKAOOH                       9          4          0         16
C106OOH                      10          5          0         16
C929O2                        9          5          0         15
C731CO3H                      8          5          0         12
C930OH                        9          4          0         14
HMVKNGLYOX                    4          6          1          5
BCALCO                       15          3          0         23
HOCH2CO2H                     2          3          0          4
IEC2OOH                       5          5          0          8
C615PAN                       7          7          1          9
HNC524CO                      5          7          1          9
C98OOH                        9          5          0         16
C139NO3                      13          7          1         21
C524OH                        5          3          0         10
C1311NO3                     13          5          1         21
C621OOH                       6          6          0         10
LMKBOOH                       9          4          0         16
INAHCO2H                      5          7          1          9
C96OOH                        9          3          0         16
HOCHOCOOH                     3          4          0          6
C626OOH                       6          4          0         10
C133OOH                      13          6          0         22
CHOC3COOOH                    5          5          0          6
C57NO3                        5          6          1          9
C1313NO3                     13          6          1         21
MMALNBCO2H                    5          7          1          7
C51NO3                        5          5          1          9
C628OOH                       6          5          0         10
C87CO2H                       9          5          0         12
C128NO3                      12          6          1         19
C117NO3                      11          6          1         17
INDHPPAN                      5         11          2          8
C23O3CPAN                     5          8          1          5
C142OOH                      14          4          0         24
BCALBCO                      15          3          0         22
C2OHOCOOH                     3          5          0          6
C152OOH                      15          6          0         26
CO235C6CHO                    7          4          0          8
C1211OH                      12          4          0         20
C620OOH                       6          5          0          8
C813NO3                       8          7          1         13
C624CO3H                      7          4          0         12
C97OOH                        9          4          0         16
C716OOH                       7          5          0         10
NC101O2                      10          6          1         14
HMVKANO3                      4          5          1          7
HOC2H4CO2H                    3          3          0          6
C526O                         5          5          0          9
C1013CO3H                    11          5          0         18
C729OOH                       7          3          0         12
HC4CCO2H                      5          3          0          8
C151OH                       15          5          0         26
C818OOH                       8          5          0         14
C151O2                       15          6          0         25
C718OOH                       7          4          0         12
C629OOH                       6          5          0         10
C134O                        13          6          0         19
C116OH                       11          3          0         18
C617CO3H                      7          5          0         10
C118O                        11          5          0         17
C733CO                        7          4          0         10
C920CO3H                     10          5          0         16
