#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                      NH3.dat
1.01000000000000000000e+02  -6.99999999999999955591e-01  4.40600000000000022737e+01  3.47765000000000009880e-03  1.00801999999999998181e+03  2.85144531250000000000e+05  2.00000000000000000000e+00
1.01006944444444442865e+02  -7.00038369304050833719e-01  4.32497378097556506304e+01  3.61302367724864164494e-03  1.00828995523581193083e+03  2.61789895876840048004e+05  2.00000000000000000000e+00
1.01013888888888885731e+02  -7.50006394884621729879e-01  4.28299904076730655333e+01  3.74839735449728275740e-03  1.00825001598721155460e+03  2.38435260503680096008e+05  3.43054592947887249110e+00
1.01020833333333328596e+02  -5.39976019184713162957e-01  4.27600047961630522764e+01  3.88377103174592430354e-03  1.00827003357314140430e+03  2.15080625130520144012e+05  2.57467148547508539735e+00
1.01027777777777771462e+02  -3.10009592326319416422e-01  4.24699808153473625794e+01  3.86416597883600370505e-03  1.00831000959232630976e+03  1.93946484414384642150e+05  3.64473182835257958345e+00
1.01034722222222228538e+02  -5.40000000000000035527e-01  4.23500415667473859571e+01  3.84074997354495652896e-03  1.00852994564348421136e+03  1.72812343710615357850e+05  7.14766485531822759469e+00
1.01041666666666671404e+02  -5.10000000000000008882e-01  4.30900431654675202253e+01  3.81733396825395749144e-03  1.00857998561151089234e+03  1.51678203131261456292e+05  3.80240714705072591073e+00
1.01048611111111114269e+02  -5.00023980817331681337e-01  4.24799984012788414134e+01  4.01180963888897370445e-03  1.00850000639488462184e+03  1.52798598962507647229e+05  2.00000000000000000000e+00
1.01055555555555557135e+02  -8.19968025579957515703e-01  4.31999744204639668510e+01  4.21727144444452358568e-03  1.00858003197442008059e+03  1.53918994793753809063e+05  3.58943594594601211867e+00
1.01062500000000000000e+02  -7.19999999999999973355e-01  4.30000000000000000000e+01  4.41307738095240553039e-03  1.00855999999999994543e+03  1.55039390625000000000e+05  4.03085276235020906199e+00
1.01069444444444442865e+02  -6.20012789768016991943e-01  4.32200127897680133060e+01  4.48442989417989924111e-03  1.00861999360511595114e+03  1.44225822936810960528e+05  2.40934880927446437582e+00
1.01076388888888885731e+02  -5.79999999999999960032e-01  4.30600095923269350351e+01  4.55578240740739381920e-03  1.00875998401278843630e+03  1.33412255248621921055e+05  2.00000000000000000000e+00
1.01083333333333328596e+02  -6.90009592326114695737e-01  4.33299568345324814800e+01  4.63136952380945043917e-03  1.00878000959232610967e+03  1.22598687560432896134e+05  2.00000000000000000000e+00
1.01090277777777771462e+02  -5.00025579536851783047e-01  4.35199968025578982633e+01  4.79094293650782123567e-03  1.00889996163069474733e+03  1.27303390616232529283e+05  2.00000000000000000000e+00
1.01097222222222228538e+02  -2.80019184652638919442e-01  4.31400031974421054315e+01  4.95051634920651816019e-03  1.00883995523581052112e+03  1.32008093758767470717e+05  5.00827343923689216609e+00
1.01104166666666671404e+02  -1.00009592326114782335e-01  4.26500095923261142161e+01  5.10312952380941996927e-03  1.00870004316546760492e+03  1.36712796829019207507e+05  2.00000000000000000000e+00
1.01111111111111114269e+02  -3.40004796163466349590e-01  4.30700207833750212671e+01  4.97269301587294643846e-03  1.00887000959232693731e+03  1.28485216115179471672e+05  2.98223873433062536265e+00
1.01118055555555557135e+02  -5.39987210231983039144e-01  4.39000383693040490130e+01  4.84225650793647377501e-03  1.00912987210231983681e+03  1.20257635401339735836e+05  3.34513188289861673752e+00
1.01125000000000000000e+02  -5.69999999999999951150e-01  4.37299999999999968736e+01  4.71182000000000024420e-03  1.00899000000000000909e+03  1.12030054687500000000e+05  3.09927042519094397832e+00
1.01131944444444442865e+02  -4.30025579536033930594e-01  4.30000191846520252170e+01  4.48088746031752131749e-03  1.00910995523581198086e+03  1.20508572900872270111e+05  3.20184876069086765682e+00
1.01138888888888885731e+02  -7.69998401278844557538e-01  4.36799792166249787329e+01  4.24995492063504325814e-03  1.00901002398081732281e+03  1.28987091114244540222e+05  3.22147655562236678861e+00
1.01145833333333328596e+02  -9.10004796163057405600e-01  4.39300335731414008933e+01  4.01902238095256433142e-03  1.00923998081534773519e+03  1.37465609327616810333e+05  2.43058190582716182604e+00
1.01152777777777771462e+02  -8.29996802557893431640e-01  4.47299584332526123376e+01  3.93110095238104195747e-03  1.00917002238209465759e+03  1.35316677087337971898e+05  2.13487659803695617455e+00
1.01159722222222228538e+02  -8.49996802557893449404e-01  4.49699999999999988631e+01  3.84669619047612980356e-03  1.00930000319744203807e+03  1.33167744787661998998e+05  2.49978146277986379431e+00
1.01166666666666671404e+02  -9.10014388489172154628e-01  4.52200047961630531290e+01  3.76229142857139025463e-03  1.00930993764988022576e+03  1.31018812405368342297e+05  3.02748748793924127298e+00
1.01173611111111114269e+02  -1.29000639488462187643e+00  4.61600351718654167144e+01  3.91559703703706855210e-03  1.00932997601918270902e+03  1.14085885353578894865e+05  4.64140305671301245383e+00
1.01180555555555557135e+02  -1.53996802557995771110e+00  4.76699104716238863944e+01  4.08088804232802949967e-03  1.00941989768185578669e+03  9.71529583017894474324e+04  2.61220886878074542992e+00
1.01187500000000000000e+02  -1.43999999999999994671e+00  4.75900000000000034106e+01  4.24617904761899131461e-03  1.00938999999999998636e+03  8.02200312500000000000e+04  2.35529143457513123749e+00
1.01194444444444442865e+02  -1.86005115907206808323e+00  4.76500511590720634558e+01  6.14057311111032653322e-03  1.00927011510791214732e+03  1.24031624918384593911e+05  2.00000000000000000000e+00
1.01201388888888885731e+02  -1.66000479616346630074e+00  4.80100271782596408343e+01  8.16912172222137959732e-03  1.00945997921662501540e+03  1.67843218586769187823e+05  2.07310743060627267198e+00
