#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat
1.13000000000000000000e+02  -5.99999999999999977796e-02  8.14200000000000017053e+01  2.40264500000000012780e-03  9.96159999999999968168e+02  2.34602734375000000000e+04  3.01687132194168849963e+00
1.13006944444444442865e+02  1.20006394884008479873e-01  8.03198529176678022168e+01  2.29567906084658917426e-03  9.96199936051159966155e+02  1.32479952989720877667e+04  3.04090428795091050063e+00
1.13013888888888885731e+02  2.19995203836533675945e-01  7.80300383693077321823e+01  2.18871312169317822072e-03  9.96259972821740348081e+02  3.03571716044417553348e+03  3.06493725396013294571e+00
1.13020833333333328596e+02  1.59985611510827852033e-01  7.99302781774573389839e+01  2.08174718253976770085e-03  9.96219932853717182297e+02  7.17656097808373669977e+03  3.08897021996935539079e+00
1.13027777777777771462e+02  -2.18986401087657434061e+00  8.57898369304525800771e+01  2.11163910052906533127e-03  9.96319958433252622854e+02  2.92164726371115648362e+02  3.11300318597857739178e+00
1.13034722222222228538e+02  -1.45002238209474532127e+00  8.60400607514000341780e+01  2.14489637566139942568e-03  9.96220019184652642252e+02  6.59223162090236473887e+03  3.13703615198784824258e+00
1.13041666666666671404e+02  -1.40006714628280337642e+00  8.74199616306955391565e+01  2.17815365079366586587e-03  9.96379937649880275785e+02  1.34766279255907284096e+04  3.16106911799707068766e+00
1.13048611111111114269e+02  -1.57997761790382384994e+00  8.59700399680288853688e+01  2.67331241666688172384e-03  9.96419974420461471709e+02  1.27435716118521522731e+04  3.18510208400629313275e+00
1.13055555555555557135e+02  -1.23998721023198310576e+00  8.75398081534797540826e+01  3.19176033333353360161e-03  9.96519884892087816297e+02  1.20105152981135761365e+04  3.20913505001551513374e+00
1.13062500000000000000e+02  -1.40999999999999992006e+00  8.76500000000000056843e+01  3.66786166666664258801e-03  9.96529999999999972715e+02  1.12774589843750000000e+04  3.23316801602473713473e+00
1.13069444444444442865e+02  -1.53996802557995771110e+00  8.71698273381317676467e+01  3.59816259259258721531e-03  9.96599891286971910631e+02  5.99849366217778970167e+03  3.25720098203395913572e+00
1.13076388888888885731e+02  -1.13999840127884444207e+00  8.68499984012788388554e+01  3.52846351851853184262e-03  9.96519974420461494446e+02  7.19528339980579403345e+02  3.28123394804318158080e+00
1.13083333333333328596e+02  -1.12002877697834435367e+00  8.77501151079133734356e+01  3.45469936507943531021e-03  9.96579937649880321260e+02  4.55943698221663180448e+03  3.30526691405240358179e+00
1.13090277777777771462e+02  -1.15001278976842580271e+00  8.88999584332526211483e+01  3.30031113756624897362e-03  9.96390051159073664166e+02  1.40667607074765619473e+04  3.32929988006162602687e+00
1.13097222222222228538e+02  -1.14003197442106474213e+00  8.97401310951263582183e+01  3.14592291005274648369e-03  9.96280041566747399884e+02  3.26929585308046880527e+04  3.35333284607089687768e+00
1.13104166666666671404e+02  -1.34000000000000007994e+00  9.07299664268585956961e+01  2.99142222222209585095e-03  9.96339956834532472385e+02  5.13191561399297788739e+04  3.37736581208011932276e+00
