#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.10000000000000000000e+01  -2.89999999999999991118e+00  3.59500000000000028422e+01  1.00000000000000004792e-04  9.91059999999999945430e+02  1.75394343750000000000e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.10069444444399948679e+01  -2.59994884092800004893e+00  3.53799744204600017383e+01  1.00000000000000004792e-04  9.91179936051200002112e+02  1.86183312479899992468e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.10138888888899941776e+01  -2.33999999999999985789e+00  3.41299984012799981770e+01  1.00000000000000004792e-04  9.91179984012799991433e+02  1.96972281209800014040e+05  2.00000000000000000000e+00  8.49374414122230914082e-03
9.10208333333300032564e+01  -2.48997122302200013522e+00  3.42099856115099996146e+01  1.00000000000000004792e-04  9.91089995203799958290e+02  2.07761249939700006507e+05  2.00000000000000000000e+00  6.67008384323364029306e-03
9.10277777777800025660e+01  -2.53997761790499998469e+00  3.37400287769799973603e+01  5.24918666666699968576e-03  9.91129987210200056325e+02  1.73452822980600001756e+05  2.00000000000000000000e+00  9.95468202558734069352e-03
9.10347222222199974340e+01  -2.34998721023199985680e+00  3.33799616306899977758e+01  5.35022833333300036618e-03  9.91139977617899944562e+02  1.39144395769399998244e+05  2.00000000000000000000e+00  1.56448813756588991919e-02
9.10416666666699967436e+01  -1.98999520383699990411e+00  3.17800959232599993243e+01  5.45127000000000024732e-03  9.91070004796200009878e+02  1.04835968888300005347e+05  2.00000000000000000000e+00  2.93536451197046015238e-03
9.10486111111100058224e+01  -2.00000319744200005800e+00  3.09799968025599987698e+01  5.31278449999999981962e-03  9.91070020783399968423e+02  1.29579088633899998968e+05  2.00000000000000000000e+00  1.82407489283068998710e-03
9.10555555555600051321e+01  -2.05001918465200017039e+00  3.12699872102299991639e+01  5.16222200000000016468e-03  9.91209923261400035699e+02  1.54322208379399991827e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.10625000000000000000e+01  -1.98999999999999999112e+00  3.17399999999999984368e+01  5.01352952380899972301e-03  9.91149999999999977263e+02  1.79065328125000000000e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.10694444444399948679e+01  -1.96002557953599998442e+00  3.21600127897700005519e+01  4.88893957672000001313e-03  9.91099929656299991620e+02  1.59488299515599996084e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.10763888888899941776e+01  -2.22999360511500022142e+00  3.21799920063900017908e+01  4.76434962963000023517e-03  9.91039984012800005075e+02  1.39911270906299992930e+05  2.00000000000000000000e+00  1.28999958432859992280e-02
9.10833333333300032564e+01  -3.21002398081499995541e+00  3.46401534772199966028e+01  4.64384809523799967773e-03  9.90960076738600037061e+02  1.20334242296900003566e+05  2.00000000000000000000e+00  7.50817809896043002887e-03
