#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat
9.40000000000000000000e+01  -4.54000000000000003553e+00  6.63199999999999931788e+01  4.41866499999999957221e-03  9.88279999999999972715e+02  4.01519500000000000000e+05  9.73463673432890352899e+00
9.40069444444444428655e+01  -4.51006394884008443569e+00  6.71201087130281450754e+01  4.63923212962957104422e-03  9.88290051159072049813e+02  4.23297781209429842420e+05  1.10586679596372015055e+01
9.40138888888888857309e+01  -4.76998561150960043165e+00  6.85599088728941410409e+01  4.85979925925914164886e-03  9.88330003197442351848e+02  4.45076062418859684840e+05  9.68136763067136030259e+00
9.40208333333333285964e+01  -4.66005755395668863628e+00  6.88899952038369463025e+01  5.08036638888871312086e-03  9.88300071942445811146e+02  4.66854343628289527260e+05  9.40827939452841910395e+00
9.40277777777777714618e+01  -4.76999680255789293426e+00  6.98499360511578686328e+01  5.09663677248676019738e-03  9.88429984012789418557e+02  4.11837135519194242079e+05  9.64714497635056034142e+00
9.40347222222222285382e+01  -5.09998081534736069642e+00  7.08300607514000262199e+01  5.10788346560847334593e-03  9.88450054356515806830e+02  3.56819926980805757921e+05  9.22289717833838373906e+00
9.40416666666666714036e+01  -5.13002877697834414050e+00  7.16000191846522255901e+01  5.11913015873016394308e-03  9.88560033573141367924e+02  3.01802718728932784870e+05  7.58746186033329195197e+00
9.40486111111111142691e+01  -5.57000159872115574444e+00  7.32600383693077361613e+01  5.22759969444449093534e-03  9.88749987210230756318e+02  2.98033052069288503844e+05  4.50532273521605119981e+00
9.40555555555555571345e+01  -5.43002557953603393059e+00  7.34300063948840175954e+01  5.34097122222226567551e-03  9.88669929656275826346e+02  2.94263385409644281026e+05  1.06747294020647238710e+01
9.40625000000000000000e+01  -5.24000000000000021316e+00  7.34399999999999977263e+01  5.43168261904755037689e-03  9.88559999999999945430e+02  2.90493718750000000000e+05  1.28647807291631544047e+01
9.40694444444444428655e+01  -5.29002557953603425034e+00  7.39301023181441365750e+01  5.23033010582009058598e-03  9.88769993605115928403e+02  2.70812447953330352902e+05  8.41274505981087372675e+00
9.40763888888888857309e+01  -5.58998081534613433519e+00  7.47899648281345861278e+01  5.02897759259263079507e-03  9.88729993605115396349e+02  2.51131177156660734909e+05  5.93338028034123343701e+00
9.40833333333333285964e+01  -5.77000479616305739228e+00  7.60400575539567000760e+01  4.84390666666660411888e-03  9.88910014388489116754e+02  2.31449906359991087811e+05  5.72975804178328651517e+00
9.40902777777777714618e+01  -6.00000319744210663941e+00  7.73700031974421165160e+01  4.98175388888879005361e-03  9.88970000000000027285e+02  2.01669531305497366702e+05  1.16407782936810324514e+01
9.40972222222222285382e+01  -5.87999040767368086335e+00  7.81000063948842040418e+01  5.11960111111125701355e-03  9.88999984012789468579e+02  1.71889156194502662402e+05  8.23126260167573420290e+00
9.41041666666666714036e+01  -6.02002398081528689033e+00  7.89799760191847184387e+01  5.25609563492069990776e-03  9.88950033573141467969e+02  1.42108781312774954131e+05  1.17324358280007174926e+01
9.41111111111111142691e+01  -6.21000479616346634515e+00  8.02600239808173370193e+01  5.33758042328046685560e-03  9.89199982414067335412e+02  1.53341427125183312455e+05  7.82421738164457103437e+00
9.41180555555555571345e+01  -6.51999360511599146406e+00  8.20997761790597024856e+01  5.41906521164023293607e-03  9.89140083133492112211e+02  1.64574072937591641676e+05  8.03290220798735710162e+00
9.41250000000000000000e+01  -6.87000000000000010658e+00  8.34599999999999937472e+01  5.50054999999999988392e-03  9.89240000000000009095e+02  1.75806718750000000000e+05  4.87076857639346449957e+00
9.41319444444444428655e+01  -6.80996802557995728478e+00  8.43900511590720725508e+01  5.40281521164023750131e-03  9.89200083133492171328e+02  1.67421687515620258637e+05  7.49602285912893595565e+00
9.41388888888888857309e+01  -6.72000639488462159221e+00  8.45399728217403634289e+01  5.30508042328047511871e-03  9.89229995203836551809e+02  1.59036656281240488170e+05  1.20768376217261099725e+01
9.41458333333333285964e+01  -6.74001438848917278079e+00  8.52300191846522352535e+01  5.20734563492071273610e-03  9.89340009592326168786e+02  1.50651625046860717703e+05  1.05508845780271869330e+01
