#h                      ppt
0.0                                     0.1
0.08333333333333333                     0.1
0.09166666666666667                     1
0.16666666666666666                     1
0.17500000000000002                     10
0.25                                    10
0.25833333333333336                     100
0.3333333333333333                      100
0.3416666666666666                      1000
0.4166666666666667                      1000
0.425                                   10000
0.5                                     10000

