#h                      ppt
0.0                                     -5
0.08333333333333333                     -5
0.09166666666666667                     0
0.16666666666666666                     0
0.17500000000000002                     5
0.25                                    5
0.25833333333333336                     10
0.3333333333333333                      10
0.3416666666666666                      15
0.4166666666666667                      15
0.425                                   20
0.5                                     20

