              c_acid              c_base          J_ACDC_NH3               c_dma          J_ACDC_DMA
           5.000E+13           1.342E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.533E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.767E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.053E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.404E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.838E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           3.374E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           4.037E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           4.861E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           5.886E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           7.163E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           8.761E+09           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.076E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.327E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.643E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.041E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.543E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           3.178E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           3.983E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           5.004E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           6.302E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           7.953E+10           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.006E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.274E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.617E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.056E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           2.618E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           3.337E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           4.260E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           5.443E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           6.961E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           8.910E+11           1.343E-16           3.953-323           1.346-316
           5.000E+13           1.141E+12           3.490E-02           3.953-323           1.346-316
           5.000E+13           1.463E+12           5.164E+00           3.953-323           1.346-316
           5.000E+13           1.875E+12           4.224E+01           3.953-323           1.346-316
           5.000E+13           2.405E+12           1.234E+02           3.953-323           1.346-316
           5.000E+13           3.085E+12           2.417E+02           3.953-323           1.346-316
           5.000E+13           3.958E+12           4.000E+02           3.953-323           1.346-316
           5.000E+13           5.076E+12           6.155E+02           3.953-323           1.346-316
           5.000E+13           6.508E+12           9.174E+02           3.953-323           1.346-316
           5.000E+13           8.341E+12           1.353E+03           3.953-323           1.346-316
           5.000E+13           1.068E+13           2.001E+03           3.953-323           1.346-316
           5.000E+13           1.368E+13           2.998E+03           3.953-323           1.346-316
           5.000E+13           1.749E+13           4.578E+03           3.953-323           1.346-316
           5.000E+13           2.235E+13           7.127E+03           3.953-323           1.346-316
           5.000E+13           2.852E+13           1.127E+04           3.953-323           1.346-316
           5.000E+13           3.634E+13           1.801E+04           3.953-323           1.346-316
           5.000E+13           4.625E+13           2.890E+04           3.953-323           1.346-316
           5.000E+13           5.876E+13           4.630E+04           3.953-323           1.346-316
           5.000E+13           7.451E+13           7.371E+04           3.953-323           1.346-316
           5.000E+13           9.431E+13           1.162E+05           3.953-323           1.346-316
           5.000E+13           1.191E+14           1.806E+05           3.953-323           1.346-316
           5.000E+13           1.501E+14           2.763E+05           3.953-323           1.346-316
           5.000E+13           1.887E+14           4.146E+05           3.953-323           1.346-316
           5.000E+13           2.367E+14           6.085E+05           3.953-323           1.346-316
           5.000E+13           2.960E+14           8.717E+05           3.953-323           1.346-316
           5.000E+13           3.690E+14           1.216E+06           3.953-323           1.346-316
           5.000E+13           4.588E+14           1.649E+06           3.953-323           1.346-316
           5.000E+13           5.685E+14           2.177E+06           3.953-323           1.346-316
           5.000E+13           7.021E+14           2.806E+06           3.953-323           1.346-316
           5.000E+13           8.640E+14           3.554E+06           3.953-323           1.346-316
           5.000E+13           1.059E+15           4.474E+06           3.953-323           1.346-316
           5.000E+13           1.294E+15           5.661E+06           3.953-323           1.346-316
           5.000E+13           1.575E+15           7.265E+06           3.953-323           1.346-316
           5.000E+13           1.908E+15           9.489E+06           3.953-323           1.346-316
           5.000E+13           2.302E+15           1.259E+07           3.953-323           1.346-316
           5.000E+13           2.766E+15           1.690E+07           3.953-323           1.346-316
           5.000E+13           3.307E+15           2.284E+07           3.953-323           1.346-316
           5.000E+13           3.937E+15           3.096E+07           3.953-323           1.346-316
           5.000E+13           4.664E+15           4.195E+07           3.953-323           1.346-316
           5.000E+13           5.498E+15           5.670E+07           3.953-323           1.346-316
           5.000E+13           6.448E+15           7.621E+07           3.953-323           1.346-316
           5.000E+13           7.523E+15           1.016E+08           3.953-323           1.346-316
           5.000E+13           8.731E+15           1.342E+08           3.953-323           1.346-316
           5.000E+13           1.008E+16           1.754E+08           3.953-323           1.346-316
           5.000E+13           1.157E+16           2.264E+08           3.953-323           1.346-316
           5.000E+13           1.321E+16           2.886E+08           3.953-323           1.346-316
           5.000E+13           1.499E+16           3.631E+08           3.953-323           1.346-316
           5.000E+13           1.691E+16           4.508E+08           3.953-323           1.346-316
           5.000E+13           1.897E+16           5.524E+08           3.953-323           1.346-316
           5.000E+13           2.115E+16           6.680E+08           3.953-323           1.346-316
           5.000E+13           2.343E+16           7.973E+08           3.953-323           1.346-316
           5.000E+13           2.580E+16           9.395E+08           3.953-323           1.346-316
           5.000E+13           2.823E+16           1.093E+09           3.953-323           1.346-316
           5.000E+13           3.070E+16           1.256E+09           3.953-323           1.346-316
           5.000E+13           3.316E+16           1.426E+09           3.953-323           1.346-316
           5.000E+13           3.560E+16           1.600E+09           3.953-323           1.346-316
           5.000E+13           3.796E+16           1.775E+09           3.953-323           1.346-316
           5.000E+13           4.021E+16           1.947E+09           3.953-323           1.346-316
           5.000E+13           4.231E+16           2.112E+09           3.953-323           1.346-316
           5.000E+13           4.422E+16           2.267E+09           3.953-323           1.346-316
           5.000E+13           4.591E+16           2.408E+09           3.953-323           1.346-316
           5.000E+13           4.734E+16           2.531E+09           3.953-323           1.346-316
           5.000E+13           4.848E+16           2.633E+09           3.953-323           1.346-316
           5.000E+13           4.932E+16           2.713E+09           3.953-323           1.346-316
           5.000E+13           4.983E+16           2.767E+09           3.953-323           1.346-316
           5.000E+13           5.000E+16           2.794E+09           3.953-323           1.346-316
           5.000E+13           4.983E+16           2.795E+09           3.953-323           1.346-316
           5.000E+13           4.932E+16           2.768E+09           3.953-323           1.346-316
           5.000E+13           4.848E+16           2.714E+09           3.953-323           1.346-316
           5.000E+13           4.734E+16           2.636E+09           3.953-323           1.346-316
           5.000E+13           4.591E+16           2.534E+09           3.953-323           1.346-316
           5.000E+13           4.422E+16           2.413E+09           3.953-323           1.346-316
           5.000E+13           4.231E+16           2.273E+09           3.953-323           1.346-316
           5.000E+13           4.021E+16           2.120E+09           3.953-323           1.346-316
           5.000E+13           3.796E+16           1.957E+09           3.953-323           1.346-316
           5.000E+13           3.560E+16           1.787E+09           3.953-323           1.346-316
           5.000E+13           3.316E+16           1.614E+09           3.953-323           1.346-316
           5.000E+13           3.070E+16           1.441E+09           3.953-323           1.346-316
           5.000E+13           2.823E+16           1.273E+09           3.953-323           1.346-316
           5.000E+13           2.580E+16           1.111E+09           3.953-323           1.346-316
           5.000E+13           2.343E+16           9.576E+08           3.953-323           1.346-316
           5.000E+13           2.115E+16           8.158E+08           3.953-323           1.346-316
           5.000E+13           1.897E+16           6.864E+08           3.953-323           1.346-316
           5.000E+13           1.691E+16           5.702E+08           3.953-323           1.346-316
           5.000E+13           1.499E+16           4.678E+08           3.953-323           1.346-316
           5.000E+13           1.321E+16           3.788E+08           3.953-323           1.346-316
           5.000E+13           1.157E+16           3.029E+08           3.953-323           1.346-316
           5.000E+13           1.008E+16           2.391E+08           3.953-323           1.346-316
           5.000E+13           8.731E+15           1.864E+08           3.953-323           1.346-316
           5.000E+13           7.523E+15           1.435E+08           3.953-323           1.346-316
           5.000E+13           6.448E+15           1.092E+08           3.953-323           1.346-316
           5.000E+13           5.498E+15           8.225E+07           3.953-323           1.346-316
           5.000E+13           4.664E+15           6.131E+07           3.953-323           1.346-316
           5.000E+13           3.937E+15           4.531E+07           3.953-323           1.346-316
           5.000E+13           3.307E+15           3.324E+07           3.953-323           1.346-316
           5.000E+13           2.766E+15           2.426E+07           3.953-323           1.346-316
           5.000E+13           2.302E+15           1.767E+07           3.953-323           1.346-316
           5.000E+13           1.908E+15           1.287E+07           3.953-323           1.346-316
           5.000E+13           1.575E+15           9.426E+06           3.953-323           1.346-316
           5.000E+13           1.294E+15           6.964E+06           3.953-323           1.346-316
           5.000E+13           1.059E+15           5.206E+06           3.953-323           1.346-316
           5.000E+13           8.640E+14           3.942E+06           3.953-323           1.346-316
           5.000E+13           7.021E+14           3.015E+06           3.953-323           1.346-316
           5.000E+13           5.685E+14           2.314E+06           3.953-323           1.346-316
           5.000E+13           4.588E+14           1.768E+06           3.953-323           1.346-316
           5.000E+13           3.690E+14           1.333E+06           3.953-323           1.346-316
           5.000E+13           2.960E+14           9.856E+05           3.953-323           1.346-316
           5.000E+13           2.367E+14           7.119E+05           3.953-323           1.346-316
           5.000E+13           1.887E+14           5.020E+05           3.953-323           1.346-316
           5.000E+13           1.501E+14           3.460E+05           3.953-323           1.346-316
           5.000E+13           1.191E+14           2.335E+05           3.953-323           1.346-316
           5.000E+13           9.431E+13           1.548E+05           3.953-323           1.346-316
           5.000E+13           7.451E+13           1.010E+05           3.953-323           1.346-316
           5.000E+13           5.876E+13           6.510E+04           3.953-323           1.346-316
           5.000E+13           4.625E+13           4.157E+04           3.953-323           1.346-316
           5.000E+13           3.634E+13           2.641E+04           3.953-323           1.346-316
           5.000E+13           2.852E+13           1.678E+04           3.953-323           1.346-316
           5.000E+13           2.235E+13           1.071E+04           3.953-323           1.346-316
           5.000E+13           1.749E+13           6.925E+03           3.953-323           1.346-316
           5.000E+13           1.368E+13           4.557E+03           3.953-323           1.346-316
           5.000E+13           1.068E+13           3.068E+03           3.953-323           1.346-316
           5.000E+13           8.341E+12           2.119E+03           3.953-323           1.346-316
           5.000E+13           6.508E+12           1.498E+03           3.953-323           1.346-316
           5.000E+13           5.076E+12           1.080E+03           3.953-323           1.346-316
           5.000E+13           3.958E+12           7.883E+02           3.953-323           1.346-316
           5.000E+13           3.085E+12           5.784E+02           3.953-323           1.346-316
           5.000E+13           2.405E+12           4.239E+02           3.953-323           1.346-316
           5.000E+13           1.875E+12           3.087E+02           3.953-323           1.346-316
           5.000E+13           1.463E+12           2.224E+02           3.953-323           1.346-316
           5.000E+13           1.141E+12           1.582E+02           3.953-323           1.346-316
           5.000E+13           8.910E+11           1.108E+02           3.953-323           1.346-316
           5.000E+13           6.961E+11           7.640E+01           3.953-323           1.346-316
           5.000E+13           5.443E+11           5.176E+01           3.953-323           1.346-316
           5.000E+13           4.260E+11           3.444E+01           3.953-323           1.346-316
           5.000E+13           3.337E+11           2.251E+01           3.953-323           1.346-316
           5.000E+13           2.618E+11           1.444E+01           3.953-323           1.346-316
           5.000E+13           2.056E+11           9.109E+00           3.953-323           1.346-316
           5.000E+13           1.617E+11           5.647E+00           3.953-323           1.346-316
           5.000E+13           1.274E+11           3.445E+00           3.953-323           1.346-316
           5.000E+13           1.006E+11           2.070E+00           3.953-323           1.346-316
           5.000E+13           7.953E+10           1.226E+00           3.953-323           1.346-316
           5.000E+13           6.302E+10           7.172E-01           3.953-323           1.346-316
           5.000E+13           5.004E+10           4.145E-01           3.953-323           1.346-316
           5.000E+13           3.983E+10           2.371E-01           3.953-323           1.346-316
           5.000E+13           3.178E+10           1.344E-01           3.953-323           1.346-316
           5.000E+13           2.543E+10           7.552E-02           3.953-323           1.346-316
           5.000E+13           2.041E+10           4.215E-02           3.953-323           1.346-316
           5.000E+13           1.643E+10           2.338E-02           3.953-323           1.346-316
           5.000E+13           1.327E+10           1.291E-02           3.953-323           1.346-316
           5.000E+13           1.076E+10           7.097E-03           3.953-323           1.346-316
           5.000E+13           8.761E+09           3.891E-03           3.953-323           1.346-316
           5.000E+13           7.163E+09           2.129E-03           3.953-323           1.346-316
           5.000E+13           5.886E+09           1.165E-03           3.953-323           1.346-316
           5.000E+13           4.861E+09           6.371E-04           3.953-323           1.346-316
           5.000E+13           4.037E+09           3.491E-04           3.953-323           1.346-316
           5.000E+13           3.374E+09           1.918E-04           3.953-323           1.346-316
           5.000E+13           2.838E+09           1.059E-04           3.953-323           1.346-316
           5.000E+13           2.404E+09           5.877E-05           3.953-323           1.346-316
           5.000E+13           2.053E+09           3.289E-05           3.953-323           1.346-316
           5.000E+13           1.767E+09           1.858E-05           3.953-323           1.346-316
