101325
298.15

#################################################################
######              Neutral                                ######
#################################################################

2D	-3.278	-27.329
3D	-11.864	-71.068
4D	-17.935	-93.100
2A	-17.060	-34.895
3A	-33.728	-75.053
4A	-50.317	-104.448
1A1D	-21.603	-28.937
1A2D	-35.334	-68.452
1A3D	-50.339	-106.156
1A4D	-62.415	-150.593
2A1D	-52.957	-73.226
2A2D	-78.988	-114.033
2A3D	-98.720	-156.132
2A4D	-112.768	-188.962
3A1D	-76.335		-116.810
3A2D	-107.699	-154.733
3A3D	-136.338	-195.832
3A4D	-158.404	-241.213
4A1D	-93.864		-155.847
4A2D	-130.544	-203.306
4A3D	-161.029	-240.577
4A4D	-189.302	-270.547
4A5D	-215.070	-322.889
5A1D	-111.262	-196.546
