# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
H2O                             18.01500000  0  2  1  0  0  0  0  0   0
O                               15.99900000  0  0  1  0  0  0  0  0   0
O3                              47.99700000  0  0  3  0  0  0  0  0   0
NO                              30.00600000  0  0  1  1  0  0  0  0   0
NO2                             46.00500000  0  0  2  1  0  0  0  0   0
NO3                             62.00400000  0  0  3  1  0  0  0  0   0
O1D                             15.99900000  0  0  1  0  0  0  0  0   0
N2O5                           108.00900000  0  0  5  2  0  0  0  0   0
OH                              17.00700000  0  1  1  0  0  0  0  0   0
HO2                             33.00600000  0  1  2  0  0  0  0  0   0
H2                               2.01600000  0  2  0  0  0  0  0  0   0
CO                              28.01000000  1  0  1  0  0  0  0  0   0
H2O2                            34.01400000  0  2  2  0  0  0  0  0   0
HONO                            47.01300000  0  1  2  1  0  0  0  0   0
HNO3                            63.01200000  0  1  3  1  0  0  0  0   0
HO2NO2                          79.01100000  0  1  4  1  0  0  0  0   0
SO2                             64.05800000  0  0  2  0  1  0  0  0   0
SO3                             80.05700000  0  0  3  0  1  0  0  0   0
HSO3                            81.06500000  0  1  3  0  1  0  0  0   0
NA                               0.00000000  0  0  0  0  0  0  0  0   0
SA                               0.00000000  0  0  0  0  0  0  0  0   0
CH3O2                           47.03300000  1  3  2  0  0  0  0  0   1
CH4                             16.04300000  1  4  0  0  0  0  0  0   0
CH3O                            31.03400000  1  3  1  0  0  0  0  0   0
CH3NO3                          77.03900000  1  3  3  1  0  0  0  0   0
HCHO                            30.02600000  1  2  1  0  0  0  0  0   0
CH3O2NO2                        93.03800000  1  3  4  1  0  0  0  0   0
CH3OOH                          48.04100000  1  4  2  0  0  0  0  0   0
CH3OH                           32.04200000  1  4  1  0  0  0  0  0   0
C2H5O                           45.06100000  2  5  1  0  0  0  0  0   0
C2H5O2                          61.06000000  2  5  2  0  0  0  0  0   1
C2H5NO3                         91.06600000  2  5  3  1  0  0  0  0   0
CH3CHO                          44.05300000  2  4  1  0  0  0  0  0   0
C2H5OOH                         62.06800000  2  6  2  0  0  0  0  0   0
C2H5OH                          46.06900000  2  6  1  0  0  0  0  0   0
HOC2H4CHO                       74.07900000  3  6  2  0  0  0  0  0   0
HOCH2CH2O2                      77.05900000  2  5  3  0  0  0  0  0   1
HOC2H4CO3                      105.06900000  3  5  4  0  0  0  0  0   1
C3PAN1                         151.07400000  3  5  6  1  0  0  0  0   0
HOC2H4CO3H                     106.07700000  3  6  4  0  0  0  0  0   0
HOC2H4CO2H                      90.07800000  3  6  3  0  0  0  0  0   0
HOCH2CHO                        60.05200000  2  4  2  0  0  0  0  0   0
C51O                           117.12400000  5  9  3  0  0  0  0  0   0
C51O2                          133.12300000  5  9  4  0  0  0  0  0   1
C51NO3                         163.12900000  5  9  5  1  0  0  0  0   0
CO2C3CHO                        86.09000000  4  6  2  0  0  0  0  0   0
C51OOH                         134.13100000  5 10  4  0  0  0  0  0   0
HO1CO24C5                      116.11600000  5  8  3  0  0  0  0  0   0
C51OH                          118.13200000  5 10  3  0  0  0  0  0   0
CH3COCH2O2                      89.07000000  3  5  3  0  0  0  0  0   1
HOCH2CO3                        91.04200000  2  3  4  0  0  0  0  0   1
CO24C4CHO                      114.10000000  5  6  3  0  0  0  0  0   0
CO2C3CO3                       117.08000000  4  5  4  0  0  0  0  0   1
CO2C4CHO                       100.11700000  5  8  2  0  0  0  0  0   0
MEKAO2                         103.09700000  4  7  3  0  0  0  0  0   1
CO2C4CO3                       131.10700000  5  7  4  0  0  0  0  0   1
C5PAN2                         177.11200000  5  7  6  1  0  0  0  0   0
CO2C4CO3H                      132.11500000  5  8  4  0  0  0  0  0   0
CO2C4CO2H                      116.11600000  5  8  3  0  0  0  0  0   0
CH3CO3                          75.04300000  2  3  3  0  0  0  0  0   1
HO13CO4C5                      118.13200000  5 10  3  0  0  0  0  0   0
HO1CO34C5                      116.11600000  5  8  3  0  0  0  0  0   0
CO23C4CHO                      114.10000000  5  6  3  0  0  0  0  0   0
BIACETO2                       117.08000000  4  5  4  0  0  0  0  0   1
HCOCH2CO3                      103.05300000  3  3  4  0  0  0  0  0   1
CO23C4CO3                      145.09000000  5  5  5  0  0  0  0  0   1
C5PAN9                         191.09500000  5  5  7  1  0  0  0  0   0
CO23C4CO3H                     146.09800000  5  6  5  0  0  0  0  0   0
CO23C3CHO                      100.07300000  4  4  3  0  0  0  0  0   0
H2M2C3CHO                      102.13300000  5 10  2  0  0  0  0  0   0
TBUTOLO2                       105.11300000  4  9  3  0  0  0  0  0   1
H2M2C3CO3                      133.12300000  5  9  4  0  0  0  0  0   1
C5PAN11                        179.12800000  5  9  6  1  0  0  0  0   0
H2M2C3CO3H                     134.13100000  5 10  4  0  0  0  0  0   0
IBUTALOH                        88.10600000  4  8  2  0  0  0  0  0   0
C55O2                          133.12300000  5  9  4  0  0  0  0  0   1
C67CHO                         130.14300000  6 10  3  0  0  0  0  0   0
C67CO3                         161.13300000  6  9  5  0  0  0  0  0   1
C55O                           117.12400000  5  9  3  0  0  0  0  0   0
IPRHOCO3                       119.09600000  4  7  4  0  0  0  0  0   1
CH3COCH3                        58.08000000  3  6  1  0  0  0  0  0   0
C6PAN9                         207.13800000  6  9  7  1  0  0  0  0   0
C67CO3H                        162.14100000  6 10  5  0  0  0  0  0   0
MIBKHO4CHO                     130.14300000  6 10  3  0  0  0  0  0   0
C55OOH                         134.13100000  5 10  4  0  0  0  0  0   0
C4PAN5                         165.10100000  4  7  6  1  0  0  0  0   0
IPRHOCO3H                      120.10400000  4  8  4  0  0  0  0  0   0
HCOCH2CHO                       72.06300000  3  4  2  0  0  0  0  0   0
HCOCH2O2                        75.04300000  2  3  3  0  0  0  0  0   1
C3PAN2                         149.05800000  3  3  6  1  0  0  0  0   0
HCOCH2CO3H                     104.06100000  3  4  4  0  0  0  0  0   0
HCOCH2CO2H                      88.06200000  3  4  3  0  0  0  0  0   0
GLYOX                           58.03600000  2  2  2  0  0  0  0  0   0
BIACET                          86.09000000  4  6  2  0  0  0  0  0   0
BIACETO                        101.08100000  4  5  3  0  0  0  0  0   0
BIACETOOH                      118.08800000  4  6  4  0  0  0  0  0   0
BIACETOH                       102.08900000  4  6  3  0  0  0  0  0   0
HM22CO3                        133.12300000  5  9  4  0  0  0  0  0   1
IBUTOLBO2                      105.11300000  4  9  3  0  0  0  0  0   1
C5PAN15                        179.12800000  5  9  6  1  0  0  0  0   0
HM22CO3H                       134.13100000  5 10  4  0  0  0  0  0   0
HM22CO2H                       118.13200000  5 10  3  0  0  0  0  0   0
ACETOL                          74.07900000  3  6  2  0  0  0  0  0   0
C2H5CO3                         89.07000000  3  5  3  0  0  0  0  0   1
EGLYOX                          86.09000000  4  6  2  0  0  0  0  0   0
CL                              35.45000000  0  0  0  0  0  1  0  0   0
C2H4                            28.05400000  2  4  0  0  0  0  0  0   0
HOCH2CH2O                       61.06000000  2  5  2  0  0  0  0  0   0
ETHOHNO3                       107.06500000  2  5  4  1  0  0  0  0   0
HYETHO2H                        78.06700000  2  6  3  0  0  0  0  0   0
ETHGLY                          62.06800000  2  6  2  0  0  0  0  0   0
PHAN                           137.04700000  2  3  6  1  0  0  0  0   0
HOCH2CO3H                       92.05000000  2  4  4  0  0  0  0  0   0
HOCH2CO2H                       76.05100000  2  4  3  0  0  0  0  0   0
CH2OOA                          46.02500000  1  2  2  0  0  0  0  0   0
CH2OO                           46.02500000  1  2  2  0  0  0  0  0   0
HCOOH                           46.02500000  1  2  2  0  0  0  0  0   0
ETHENO3O2                      122.05600000  2  4  5  1  0  0  0  0   1
ETHENO3O                       106.05700000  2  4  4  1  0  0  0  0   0
NO3CH2CHO                      105.04900000  2  3  4  1  0  0  0  0   0
ETHO2HNO3                      123.06400000  2  5  5  1  0  0  0  0   0
HCOCH2O                         59.04400000  2  3  2  0  0  0  0  0   0
NO3CH2CO3                      136.03900000  2  2  6  1  0  0  0  0   1
NO3CH2PAN                      182.04400000  2  2  8  2  0  0  0  0   0
NO3CH2CO3H                     137.04700000  2  3  6  1  0  0  0  0   0
NO3CH2CO2H                     121.04800000  2  3  5  1  0  0  0  0   0
C3H6                            42.08100000  3  6  0  0  0  0  0  0   0
HYPROPO2                        91.08600000  3  7  3  0  0  0  0  0   1
IPROPOLO2                       91.08600000  3  7  3  0  0  0  0  0   1
HYPROPO                         75.08700000  3  7  2  0  0  0  0  0   0
PROPOLNO3                      121.09200000  3  7  4  1  0  0  0  0   0
HYPROPO2H                       92.09400000  3  8  3  0  0  0  0  0   0
PROPGLY                         76.09500000  3  8  2  0  0  0  0  0   0
MGLYOX                          72.06300000  3  4  2  0  0  0  0  0   0
CH2OOB                          46.02500000  1  2  2  0  0  0  0  0   0
