# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
H2O                             18.01500000  0  2  1  0  0  0  0  0   0
O                               15.99900000  0  0  1  0  0  0  0  0   0
O3                              47.99700000  0  0  3  0  0  0  0  0   0
NO                              30.00600000  0  0  1  1  0  0  0  0   0
NO2                             46.00500000  0  0  2  1  0  0  0  0   0
NO3                             62.00400000  0  0  3  1  0  0  0  0   0
O1D                             15.99900000  0  0  1  0  0  0  0  0   0
N2O5                           108.00900000  0  0  5  2  0  0  0  0   0
OH                              17.00700000  0  1  1  0  0  0  0  0   0
HO2                             33.00600000  0  1  2  0  0  0  0  0   0
H2                               2.01600000  0  2  0  0  0  0  0  0   0
CO                              28.01000000  1  0  1  0  0  0  0  0   0
H2O2                            34.01400000  0  2  2  0  0  0  0  0   0
HONO                            47.01300000  0  1  2  1  0  0  0  0   0
HNO3                            63.01200000  0  1  3  1  0  0  0  0   0
HO2NO2                          79.01100000  0  1  4  1  0  0  0  0   0
SO2                             64.05800000  0  0  2  0  1  0  0  0   0
SO3                             80.05700000  0  0  3  0  1  0  0  0   0
HSO3                            81.06500000  0  1  3  0  1  0  0  0   0
NA                               0.00000000  0  0  0  0  0  0  0  0   0
SA                               0.00000000  0  0  0  0  0  0  0  0   0
CH3O2                           47.03300000  1  3  2  0  0  0  0  0   1
CH4                             16.04300000  1  4  0  0  0  0  0  0   0
CH3O                            31.03400000  1  3  1  0  0  0  0  0   0
CH3NO3                          77.03900000  1  3  3  1  0  0  0  0   0
HCHO                            30.02600000  1  2  1  0  0  0  0  0   0
CH3O2NO2                        93.03800000  1  3  4  1  0  0  0  0   0
CH3OOH                          48.04100000  1  4  2  0  0  0  0  0   0
CH3OH                           32.04200000  1  4  1  0  0  0  0  0   0
C2H5O2                          61.06000000  2  5  2  0  0  0  0  0   1
C2H6                            30.07000000  2  6  0  0  0  0  0  0   0
C2H5O                           45.06100000  2  5  1  0  0  0  0  0   0
C2H5NO3                         91.06600000  2  5  3  1  0  0  0  0   0
CH3CHO                          44.05300000  2  4  1  0  0  0  0  0   0
C2H5OOH                         62.06800000  2  6  2  0  0  0  0  0   0
C2H5OH                          46.06900000  2  6  1  0  0  0  0  0   0
C3H8                            44.09700000  3  8  0  0  0  0  0  0   0
NC3H7O2                         75.08700000  3  7  2  0  0  0  0  0   1
IC3H7O2                         75.08700000  3  7  2  0  0  0  0  0   1
NC3H7O                          59.08800000  3  7  1  0  0  0  0  0   0
NC3H7NO3                       105.09300000  3  7  3  1  0  0  0  0   0
C2H5CHO                         58.08000000  3  6  1  0  0  0  0  0   0
NC3H7OOH                        76.09500000  3  8  2  0  0  0  0  0   0
NPROPOL                         60.09600000  3  8  1  0  0  0  0  0   0
IC3H7O                          59.08800000  3  7  1  0  0  0  0  0   0
IC3H7NO3                       105.09300000  3  7  3  1  0  0  0  0   0
CH3COCH3                        58.08000000  3  6  1  0  0  0  0  0   0
IC3H7OOH                        76.09500000  3  8  2  0  0  0  0  0   0
IPROPOL                         60.09600000  3  8  1  0  0  0  0  0   0
NC4H10                          58.12400000  4 10  0  0  0  0  0  0   0
NC4H9O2                         89.11400000  4  9  2  0  0  0  0  0   1
SC4H9O2                         89.11400000  4  9  2  0  0  0  0  0   1
NC4H9O                          73.11500000  4  9  1  0  0  0  0  0   0
NC4H9NO3                       119.12000000  4  9  3  1  0  0  0  0   0
C3H7CHO                         72.10700000  4  8  1  0  0  0  0  0   0
HO1C4O2                        105.11300000  4  9  3  0  0  0  0  0   1
HO1C4O                          89.11400000  4  9  2  0  0  0  0  0   0
HO1C4NO3                       135.11900000  4  9  4  1  0  0  0  0   0
HOC3H6CHO                       88.10600000  4  8  2  0  0  0  0  0   0
NC4H9OOH                        90.12200000  4 10  2  0  0  0  0  0   0
NBUTOL                          74.12300000  4 10  1  0  0  0  0  0   0
HO1C4OOH                       106.12100000  4 10  3  0  0  0  0  0   0
HOC4H8OH                        90.12200000  4 10  2  0  0  0  0  0   0
HO1C3O2                         91.08600000  3  7  3  0  0  0  0  0   1
HOC3H6CO3                      119.09600000  4  7  4  0  0  0  0  0   1
HO1C3O                          75.08700000  3  7  2  0  0  0  0  0   0
HO1C3NO3                       121.09200000  3  7  4  1  0  0  0  0   0
HOC2H4CHO                       74.07900000  3  6  2  0  0  0  0  0   0
C4PAN1                         165.10100000  4  7  6  1  0  0  0  0   0
HOC3H6CO3H                     120.10400000  4  8  4  0  0  0  0  0   0
HOC3H6CO2H                     104.10500000  4  8  3  0  0  0  0  0   0
HO1C3OOH                        92.09400000  3  8  3  0  0  0  0  0   0
HOC3H6OH                        76.09500000  3  8  2  0  0  0  0  0   0
HOCH2CH2O2                      77.05900000  2  5  3  0  0  0  0  0   1
HOC2H4CO3                      105.06900000  3  5  4  0  0  0  0  0   1
C3PAN1                         151.07400000  3  5  6  1  0  0  0  0   0
HOC2H4CO3H                     106.07700000  3  6  4  0  0  0  0  0   0
HOC2H4CO2H                      90.07800000  3  6  3  0  0  0  0  0   0
HOCH2CHO                        60.05200000  2  4  2  0  0  0  0  0   0
SC4H9O                          73.11500000  4  9  1  0  0  0  0  0   0
SC4H9NO3                       119.12000000  4  9  3  1  0  0  0  0   0
MEK                             72.10700000  4  8  1  0  0  0  0  0   0
SC4H9OOH                        90.12200000  4 10  2  0  0  0  0  0   0
BUT2OL                          74.12300000  4 10  1  0  0  0  0  0   0
IC4H10                          58.12400000  4 10  0  0  0  0  0  0   0
IC4H9O2                         89.11400000  4  9  2  0  0  0  0  0   1
TC4H9O2                         89.11400000  4  9  2  0  0  0  0  0   1
IC4H9O                          73.11500000  4  9  1  0  0  0  0  0   0
IC4H9NO3                       119.12000000  4  9  3  1  0  0  0  0   0
IPRCHO                          72.10700000  4  8  1  0  0  0  0  0   0
IC4H9OOH                        90.12200000  4 10  2  0  0  0  0  0   0
IBUTOL                          74.12300000  4 10  1  0  0  0  0  0   0
TC4H9O                          73.11500000  4  9  1  0  0  0  0  0   0
TC4H9NO3                       119.12000000  4  9  3  1  0  0  0  0   0
TC4H9OOH                        90.12200000  4 10  2  0  0  0  0  0   0
TBUTOL                          74.12300000  4 10  1  0  0  0  0  0   0
NC5H12                          72.15100000  5 12  0  0  0  0  0  0   0
PEAO2                          103.14100000  5 11  2  0  0  0  0  0   1
PEBO2                          103.14100000  5 11  2  0  0  0  0  0   1
PECO2                          103.14100000  5 11  2  0  0  0  0  0   1
PEAO                            87.14200000  5 11  1  0  0  0  0  0   0
PEANO3                         133.14700000  5 11  3  1  0  0  0  0   0
HO1C5O2                        119.14000000  5 11  3  0  0  0  0  0   1
HO1C5O                         103.14100000  5 11  2  0  0  0  0  0   0
HO1C5NO3                       149.14600000  5 11  4  1  0  0  0  0   0
HO2C4CHO                       102.13300000  5 10  2  0  0  0  0  0   0
PEAOOH                         104.14900000  5 12  2  0  0  0  0  0   0
C4H9CHO                         86.13400000  5 10  1  0  0  0  0  0   0
PEAOH                           88.15000000  5 12  1  0  0  0  0  0   0
HO1C5OOH                       120.14800000  5 12  3  0  0  0  0  0   0
CO2C5OH                        102.13300000  5 10  2  0  0  0  0  0   0
HO2C5OH                        104.14900000  5 12  2  0  0  0  0  0   0
HO2C4O2                        105.11300000  4  9  3  0  0  0  0  0   1
HO2C4CO3                       133.12300000  5  9  4  0  0  0  0  0   1
HO2C4O                          89.11400000  4  9  2  0  0  0  0  0   0
HO2C4NO3                       135.11900000  4  9  4  1  0  0  0  0   0
HO2C3CHO                        88.10600000  4  8  2  0  0  0  0  0   0
HO13C4O2                       121.11200000  4  9  4  0  0  0  0  0   1
HO13C4O                        105.11300000  4  9  3  0  0  0  0  0   0
HO13C4NO3                      151.11800000  4  9  5  1  0  0  0  0   0
C5PAN1                         179.12800000  5  9  6  1  0  0  0  0   0
HO2C4CO3H                      134.13100000  5 10  4  0  0  0  0  0   0
HO2C4CO2H                      118.13200000  5 10  3  0  0  0  0  0   0
HO2C4OOH                       106.12100000  4 10  3  0  0  0  0  0   0
HO2C4OH                         90.12200000  4 10  2  0  0  0  0  0   0
HO13C4OOH                      122.12000000  4 10  4  0  0  0  0  0   0
HO13C3CHO                      104.10500000  4  8  3  0  0  0  0  0   0
HO13C4OH                       106.12100000  4 10  3  0  0  0  0  0   0
MEKAOH                          88.10600000  4  8  2  0  0  0  0  0   0
HO13C3CO3                      135.09500000  4  7  5  0  0  0  0  0   1
C4PAN2                         181.10000000  4  7  7  1  0  0  0  0   0
HO13C3CO3H                     136.10300000  4  8  5  0  0  0  0  0   0
IPROPOLO2                       91.08600000  3  7  3  0  0  0  0  0   1
CO2C3CHO                        86.09000000  4  6  2  0  0  0  0  0   0
HO2C3CO3                       119.09600000  4  7  4  0  0  0  0  0   1
